년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,충청남도,계룡시,일반용,1885,64022389,48.11
202007-202012,충청남도,계룡시,합계,1401,133087683,
202007-202012,충청남도,공주시,일반용,10210,127008394,22.43
202007-202012,충청남도,공주시,합계,15726,566266351,
202007-202012,충청남도,금산군,일반용,5379,51086069,10.73
202007-202012,충청남도,금산군,합계,10176,476005921,
202007-202012,충청남도,논산시,일반용,10680,127977997,19.05
202007-202012,충청남도,논산시,합계,17876,671663119,
202007-202012,충청남도,당진시,일반용,14336,171658155,3.81
202007-202012,충청남도,당진시,합계,21446,4510556162,
202007-202012,충청남도,보령시,일반용,10985,136849912,20.94
202007-202012,충청남도,보령시,합계,15048,653588496,
202007-202012,충청남도,부여군,일반용,5177,54112119,17.84
202007-202012,충청남도,부여군,합계,12987,303261502,
202007-202012,충청남도,서산시,일반용,14497,207851850,4.89
202007-202012,충청남도,서산시,합계,20168,4249167694,
202007-202012,충청남도,서천군,일반용,5211,57806603,10.69
202007-202012,충청남도,서천군,합계,9470,540760708,
202007-202012,충청남도,아산시,일반용,22455,301387761,4.13
202007-202012,충청남도,아산시,합계,27215,7298248702,
202007-202012,충청남도,예산군,일반용,7749,81305544,13.56
202007-202012,충청남도,예산군,합계,13318,599515087,
202007-202012,충청남도,천안시,일반용,42125,672812466,17.01
202007-202012,충청남도,천안시,합계,47167,3956092431,
202007-202012,충청남도,청양군,일반용,2964,24276034,14.09
202007-202012,충청남도,청양군,합계,7089,172341247,
202007-202012,충청남도,태안군,일반용,9289,102524301,25.14
202007-202012,충청남도,태안군,합계,11621,407761689,
202007-202012,충청남도,홍성군,일반용,7924,103155589,21.6
202007-202012,충청남도,홍성군,합계,13421,477656709,
