계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,강원도,전체(시 / 군 / 구),주택용,"618,327 ","227,246,195 ","26,955,651,763 ",118.6 
202101,강원도,전체(시 / 군 / 구),일반용,"152,413 ","493,397,443 ","62,321,881,894 ",126.3 
202101,강원도,전체(시 / 군 / 구),교육용,"1,061 ","41,413,887 ","3,909,542,188 ",94.4 
202101,강원도,전체(시 / 군 / 구),산업용,"14,345 ","533,361,061 ","59,613,508,699 ",111.8 
202101,강원도,전체(시 / 군 / 구),농사용,"115,482 ","67,586,268 ","3,177,299,997 ",47.0 
202101,강원도,전체(시 / 군 / 구),가로등,"126,130 ","17,427,965 ","1,868,643,036 ",107.2 
202101,강원도,전체(시 / 군 / 구),심 야,"87,060 ","249,378,699 ","17,972,165,489 ",72.1 
202102,강원도,전체(시 / 군 / 구),주택용,"619,003 ","220,535,806 ","25,520,093,709 ",115.7 
202102,강원도,전체(시 / 군 / 구),일반용,"152,327 ","459,624,210 ","59,254,466,666 ",128.9 
202102,강원도,전체(시 / 군 / 구),교육용,"1,061 ","36,258,473 ","3,518,519,110 ",97.0 
202102,강원도,전체(시 / 군 / 구),산업용,"14,350 ","506,406,239 ","56,698,454,160 ",112.0 
202102,강원도,전체(시 / 군 / 구),농사용,"115,521 ","66,043,260 ","3,122,388,495 ",47.3 
202102,강원도,전체(시 / 군 / 구),가로등,"126,687 ","16,717,110 ","1,872,906,545 ",112.0 
202102,강원도,전체(시 / 군 / 구),심 야,"86,854 ","234,020,292 ","16,897,927,896 ",72.2 
202103,강원도,전체(시 / 군 / 구),주택용,"619,437 ","185,777,135 ","19,076,608,433 ",102.7 
