계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,강원도,전체(시 / 군 / 구),주택용,"623,622 ","191,086,604 ","18,920,818,251 ",99.0 
202107,강원도,전체(시 / 군 / 구),일반용,"153,638 ","398,964,121 ","57,770,750,228 ",144.8 
202107,강원도,전체(시 / 군 / 구),교육용,"1,050 ","22,562,381 ","2,814,466,821 ",124.7 
202107,강원도,전체(시 / 군 / 구),산업용,"14,421 ","587,997,485 ","68,095,118,275 ",115.8 
202107,강원도,전체(시 / 군 / 구),농사용,"119,310 ","63,298,378 ","3,029,201,624 ",47.9 
202107,강원도,전체(시 / 군 / 구),가로등,"128,881 ","15,385,142 ","1,804,557,983 ",117.3 
202107,강원도,전체(시 / 군 / 구),심 야,"85,723 ","41,527,392 ","2,249,116,160 ",54.2 
202108,강원도,전체(시 / 군 / 구),주택용,"624,670 ","253,976,656 ","27,849,850,927 ",109.7 
202108,강원도,전체(시 / 군 / 구),일반용,"154,092 ","457,828,874 ","63,750,211,213 ",139.2 
202108,강원도,전체(시 / 군 / 구),교육용,"1,050 ","22,355,425 ","2,843,452,342 ",127.2 
202108,강원도,전체(시 / 군 / 구),산업용,"14,432 ","580,310,465 ","64,856,825,725 ",111.8 
202108,강원도,전체(시 / 군 / 구),농사용,"120,104 ","85,930,916 ","3,884,792,737 ",45.2 
202108,강원도,전체(시 / 군 / 구),가로등,"129,287 ","16,174,640 ","1,849,618,865 ",114.4 
202108,강원도,전체(시 / 군 / 구),심 야,"85,529 ","32,557,849 ","1,800,353,924 ",55.3 
202109,강원도,전체(시 / 군 / 구),주택용,"625,615 ","201,495,293 ","19,798,891,200 ",98.3 
202109,강원도,전체(시 / 군 / 구),일반용,"154,461 ","381,097,139 ","48,738,961,240 ",127.9 
202109,강원도,전체(시 / 군 / 구),교육용,"1,049 ","22,169,233 ","2,433,117,721 ",109.8 
202109,강원도,전체(시 / 군 / 구),산업용,"14,450 ","562,168,312 ","52,103,428,333 ",92.7 
202109,강원도,전체(시 / 군 / 구),농사용,"121,093 ","91,358,489 ","4,129,854,005 ",45.2 
202109,강원도,전체(시 / 군 / 구),가로등,"129,779 ","15,974,736 ","1,807,046,502 ",113.1 
202109,강원도,전체(시 / 군 / 구),심 야,"85,374 ","38,289,832 ","2,619,360,887 ",68.4 
202110,강원도,전체(시 / 군 / 구),주택용,"626,421 ","182,742,908 ","19,258,859,881 ",105.4 
202110,강원도,전체(시 / 군 / 구),일반용,"154,785 ","348,119,623 ","40,840,320,345 ",117.3 
202110,강원도,전체(시 / 군 / 구),교육용,"1,046 ","20,127,176 ","1,975,277,697 ",98.1 
202110,강원도,전체(시 / 군 / 구),산업용,"14,496 ","583,984,850 ","53,307,224,602 ",91.3 
202110,강원도,전체(시 / 군 / 구),농사용,"121,557 ","78,428,964 ","3,901,964,864 ",49.8 
202110,강원도,전체(시 / 군 / 구),가로등,"130,014 ","16,298,621 ","1,840,700,047 ",112.9 
202110,강원도,전체(시 / 군 / 구),심 야,"85,230 ","51,178,402 ","2,297,521,884 ",44.9 
202111,강원도,전체(시 / 군 / 구),주택용,"627,478 ","193,418,829 ","21,142,561,137 ",109.3 
202111,강원도,전체(시 / 군 / 구),일반용,"155,659 ","379,510,412 ","49,403,041,266 ",130.2 
202111,강원도,전체(시 / 군 / 구),교육용,"1,044 ","27,023,539 ","2,886,050,030 ",106.8 
202111,강원도,전체(시 / 군 / 구),산업용,"14,545 ","588,617,004 ","67,097,357,776 ",114.0 
202111,강원도,전체(시 / 군 / 구),농사용,"143,721 ","84,182,397 ","3,873,123,300 ",46.0 
202111,강원도,전체(시 / 군 / 구),가로등,"130,467 ","16,958,330 ","1,887,016,957 ",111.3 
202111,강원도,전체(시 / 군 / 구),심 야,"85,079 ","116,467,255 ","7,368,281,007 ",63.3 
202112,강원도,전체(시 / 군 / 구),주택용,"628,284 ","201,007,603 ","22,494,168,528 ",111.9 
202112,강원도,전체(시 / 군 / 구),일반용,"156,403 ","447,917,924 ","60,222,931,262 ",134.5 
