계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,경기도,전체(시 / 군 / 구),주택용,"3,022,730 ","1,881,372,025 ","223,583,388,621 ",118.8 
202101,경기도,전체(시 / 군 / 구),일반용,"708,113 ","3,034,698,761 ","385,578,993,725 ",127.1 
202101,경기도,전체(시 / 군 / 구),교육용,"4,532 ","202,960,431 ","18,508,160,674 ",91.2 
202101,경기도,전체(시 / 군 / 구),산업용,"133,001 ","6,398,473,417 ","719,747,563,555 ",112.5 
202101,경기도,전체(시 / 군 / 구),농사용,"237,710 ","301,196,370 ","13,412,229,410 ",44.5 
202101,경기도,전체(시 / 군 / 구),가로등,"371,221 ","81,444,942 ","8,662,756,050 ",106.4 
202101,경기도,전체(시 / 군 / 구),심 야,"134,878 ","419,443,230 ","30,493,761,129 ",72.7 
202102,경기도,전체(시 / 군 / 구),주택용,"3,024,122 ","1,814,356,149 ","209,738,032,163 ",115.6 
202102,경기도,전체(시 / 군 / 구),일반용,"708,695 ","2,865,372,717 ","369,785,214,367 ",129.1 
202102,경기도,전체(시 / 군 / 구),교육용,"4,555 ","162,845,439 ","15,749,688,078 ",96.7 
202102,경기도,전체(시 / 군 / 구),산업용,"133,247 ","5,870,630,052 ","667,270,548,120 ",113.7 
202102,경기도,전체(시 / 군 / 구),농사용,"237,799 ","283,292,921 ","12,757,834,625 ",45.0 
202102,경기도,전체(시 / 군 / 구),가로등,"370,106 ","76,352,030 ","8,476,865,124 ",111.0 
202102,경기도,전체(시 / 군 / 구),심 야,"134,388 ","391,325,043 ","28,501,351,170 ",72.8 
202103,경기도,전체(시 / 군 / 구),주택용,"3,026,154 ","1,560,797,581 ","161,469,953,816 ",103.5 
202103,경기도,전체(시 / 군 / 구),일반용,"709,067 ","2,414,700,789 ","289,854,950,145 ",120.0 
202103,경기도,전체(시 / 군 / 구),교육용,"4,561 ","145,872,020 ","14,580,302,184 ",100.0 
202103,경기도,전체(시 / 군 / 구),산업용,"133,420 ","5,973,031,290 ","571,215,879,763 ",95.6 
202103,경기도,전체(시 / 군 / 구),농사용,"309,019 ","221,096,222 ","10,269,064,336 ",46.4 
202103,경기도,전체(시 / 군 / 구),가로등,"371,987 ","69,505,526 ","7,842,672,516 ",112.8 
202103,경기도,전체(시 / 군 / 구),심 야,"133,852 ","283,283,181 ","18,248,808,169 ",64.4 
202104,경기도,전체(시 / 군 / 구),주택용,"3,032,944 ","1,602,034,086 ","168,555,149,148 ",105.2 
202104,경기도,전체(시 / 군 / 구),일반용,"711,355 ","2,266,415,201 ","256,998,371,867 ",113.4 
202104,경기도,전체(시 / 군 / 구),교육용,"4,552 ","118,689,107 ","10,873,609,961 ",91.6 
202104,경기도,전체(시 / 군 / 구),산업용,"133,726 ","5,873,685,151 ","549,632,455,560 ",93.6 
202104,경기도,전체(시 / 군 / 구),농사용,"248,106 ","200,140,743 ","9,291,785,712 ",46.4 
202104,경기도,전체(시 / 군 / 구),가로등,"372,776 ","69,059,489 ","7,996,812,014 ",115.8 
202104,경기도,전체(시 / 군 / 구),심 야,"133,399 ","208,315,329 ","10,986,836,596 ",52.7 
202105,경기도,전체(시 / 군 / 구),주택용,"3,035,116 ","1,525,515,035 ","154,989,729,094 ",101.6 
202105,경기도,전체(시 / 군 / 구),일반용,"712,683 ","2,169,671,359 ","248,171,247,408 ",114.4 
202105,경기도,전체(시 / 군 / 구),교육용,"4,549 ","94,310,222 ","8,843,062,487 ",93.8 
202105,경기도,전체(시 / 군 / 구),산업용,"133,939 ","5,838,649,785 ","538,711,662,823 ",92.3 
202105,경기도,전체(시 / 군 / 구),농사용,"241,396 ","190,286,301 ","8,628,227,662 ",45.3 
202105,경기도,전체(시 / 군 / 구),가로등,"375,271 ","63,635,526 ","7,606,419,725 ",119.5 
202105,경기도,전체(시 / 군 / 구),심 야,"132,822 ","142,861,428 ","7,713,337,689 ",54.0 
202106,경기도,전체(시 / 군 / 구),주택용,"3,037,134 ","1,596,020,991 ","167,767,233,011 ",105.1 
202106,경기도,전체(시 / 군 / 구),일반용,"714,779 ","2,437,733,964 ","322,168,007,171 ",132.2 
202106,경기도,전체(시 / 군 / 구),교육용,"4,542 ","106,575,791 ","12,272,963,224 ",115.2 
202106,경기도,전체(시 / 군 / 구),산업용,"134,179 ","6,013,273,444 ","699,730,871,484 ",116.4 
202106,경기도,전체(시 / 군 / 구),농사용,"242,385 ","191,769,746 ","8,724,880,469 ",45.5 
202106,경기도,전체(시 / 군 / 구),가로등,"386,095 ","60,415,635 ","7,448,509,031 ",123.3 
202106,경기도,전체(시 / 군 / 구),심 야,"132,326 ","107,009,176 ","6,018,380,011 ",56.2 
합계,합계,합계,합계,"27,837,231","65,328,117,645","6,998,877,569,887",107.1
,,,,,,,
