계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,경상남도,전체(시 / 군 / 구),주택용,"1,184,603 ","433,513,289 ","44,688,454,243 ",103.1 
202107,경상남도,전체(시 / 군 / 구),일반용,"227,132 ","588,694,307 ","85,452,259,132 ",145.2 
202107,경상남도,전체(시 / 군 / 구),교육용,"1,688 ","38,433,192 ","4,627,291,531 ",120.4 
202107,경상남도,전체(시 / 군 / 구),산업용,"38,734 ","1,741,737,513 ","220,786,360,826 ",126.8 
202107,경상남도,전체(시 / 군 / 구),농사용,"223,843 ","162,332,879 ","7,718,426,288 ",47.5 
202107,경상남도,전체(시 / 군 / 구),가로등,"191,779 ","21,006,652 ","2,566,096,122 ",122.2 
202107,경상남도,전체(시 / 군 / 구),심 야,"79,767 ","22,893,333 ","1,270,715,264 ",55.5 
202108,경상남도,전체(시 / 군 / 구),주택용,"1,184,518 ","558,062,475 ","63,510,089,900 ",113.8 
202108,경상남도,전체(시 / 군 / 구),일반용,"227,740 ","673,798,680 ","94,434,413,376 ",140.2 
202108,경상남도,전체(시 / 군 / 구),교육용,"1,687 ","32,791,022 ","4,211,950,680 ",128.4 
202108,경상남도,전체(시 / 군 / 구),산업용,"38,789 ","1,609,305,075 ","202,535,119,271 ",125.9 
202108,경상남도,전체(시 / 군 / 구),농사용,"224,743 ","213,493,427 ","9,682,932,355 ",45.4 
202108,경상남도,전체(시 / 군 / 구),가로등,"192,170 ","22,441,762 ","2,634,064,312 ",117.4 
202108,경상남도,전체(시 / 군 / 구),심 야,"79,498 ","18,925,346 ","1,074,943,422 ",56.8 
202109,경상남도,전체(시 / 군 / 구),주택용,"1,185,192 ","450,798,758 ","47,162,154,023 ",104.6 
202109,경상남도,전체(시 / 군 / 구),일반용,"228,228 ","591,530,381 ","75,190,699,149 ",127.1 
202109,경상남도,전체(시 / 군 / 구),교육용,"1,687 ","36,074,910 ","3,888,241,059 ",107.8 
202109,경상남도,전체(시 / 군 / 구),산업용,"38,829 ","1,603,090,084 ","167,601,438,130 ",104.5 
202109,경상남도,전체(시 / 군 / 구),농사용,"225,365 ","182,758,592 ","8,555,667,458 ",46.8 
202109,경상남도,전체(시 / 군 / 구),가로등,"192,715 ","22,568,394 ","2,608,721,302 ",115.6 
202109,경상남도,전체(시 / 군 / 구),심 야,"79,088 ","19,625,035 ","1,090,076,901 ",55.5 
202110,경상남도,전체(시 / 군 / 구),주택용,"1,185,705 ","384,713,785 ","40,916,335,972 ",106.4 
202110,경상남도,전체(시 / 군 / 구),일반용,"228,403 ","521,048,880 ","60,427,993,622 ",116.0 
202110,경상남도,전체(시 / 군 / 구),교육용,"1,687 ","32,161,090 ","3,180,951,487 ",98.9 
202110,경상남도,전체(시 / 군 / 구),산업용,"38,861 ","1,565,273,242 ","159,412,855,558 ",101.8 
202110,경상남도,전체(시 / 군 / 구),농사용,"226,249 ","147,142,224 ","7,722,667,339 ",52.5 
202110,경상남도,전체(시 / 군 / 구),가로등,"192,809 ","24,012,626 ","2,719,703,492 ",113.3 
202110,경상남도,전체(시 / 군 / 구),심 야,"78,868 ","23,522,276 ","1,341,983,706 ",57.1 
202111,경상남도,전체(시 / 군 / 구),주택용,"1,186,263 ","389,238,220 ","42,221,893,316 ",108.5 
202111,경상남도,전체(시 / 군 / 구),일반용,"229,082 ","510,152,475 ","67,143,983,544 ",131.6 
202111,경상남도,전체(시 / 군 / 구),교육용,"1,687 ","35,542,717 ","3,865,362,917 ",108.8 
202111,경상남도,전체(시 / 군 / 구),산업용,"38,878 ","1,649,394,054 ","201,730,168,265 ",122.3 
202111,경상남도,전체(시 / 군 / 구),농사용,"252,911 ","205,094,057 ","10,201,327,224 ",49.7 
202111,경상남도,전체(시 / 군 / 구),가로등,"194,140 ","25,340,535 ","2,810,520,498 ",110.9 
202111,경상남도,전체(시 / 군 / 구),심 야,"78,682 ","54,161,236 ","3,500,026,130 ",64.6 
202112,경상남도,전체(시 / 군 / 구),주택용,"1,186,322 ","408,114,504 ","45,302,147,516 ",111.0 
202112,경상남도,전체(시 / 군 / 구),일반용,"229,832 ","566,264,988 ","79,543,569,067 ",140.5 
202112,경상남도,전체(시 / 군 / 구),교육용,"1,688 ","47,860,393 ","5,089,276,119 ",106.3 
