년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202107-202112,경상남도,거제시,일반용,17660,239053196,22.96
202107-202112,경상남도,거제시,합계,21153,1041168861,
202107-202112,경상남도,거창군,일반용,5225,59839708,25.4
202107-202112,경상남도,거창군,합계,10464,235602805,
202107-202112,경상남도,고성군,일반용,4697,52935132,13.6
202107-202112,경상남도,고성군,합계,9803,389369834,
202107-202112,경상남도,김해시,일반용,31872,526270105,19.36
202107-202112,경상남도,김해시,합계,35050,2718403779,
202107-202112,경상남도,남해군,일반용,5070,54928170,38.64
202107-202112,경상남도,남해군,합계,8980,142151493,
202107-202112,경상남도,밀양시,일반용,9849,110431140,18.23
202107-202112,경상남도,밀양시,합계,18185,605800713,
202107-202112,경상남도,사천시,일반용,9825,126830620,17.71
202107-202112,경상남도,사천시,합계,13841,716035858,
202107-202112,경상남도,산청군,일반용,3726,36117426,20.48
202107-202112,경상남도,산청군,합계,8516,176390455,
202107-202112,경상남도,양산시,일반용,20006,353489978,18.41
202107-202112,경상남도,양산시,합계,21243,1920596355,
202107-202112,경상남도,의령군,일반용,2447,28124639,14.17
202107-202112,경상남도,의령군,합계,6339,198480386,
202107-202112,경상남도,진주시,일반용,25843,365998793,27.58
202107-202112,경상남도,진주시,합계,33976,1327243855,
202107-202112,경상남도,창녕군,일반용,5562,67896390,13.14
202107-202112,경상남도,창녕군,합계,11274,516764351,
202107-202112,경상남도,창원시,일반용,57311,1071158891,20.09
202107-202112,경상남도,창원시,합계,76089,5333050015,
202107-202112,경상남도,통영시,일반용,11550,162819261,33.88
202107-202112,경상남도,통영시,합계,14124,480639617,
202107-202112,경상남도,하동군,일반용,4533,42322370,21.73
202107-202112,경상남도,하동군,합계,9810,194763729,
202107-202112,경상남도,함안군,일반용,5330,69440000,4.99
202107-202112,경상남도,함안군,합계,9758,1391809744,
202107-202112,경상남도,함양군,일반용,3808,35252502,23.68
202107-202112,경상남도,함양군,합계,7786,148877174,
202107-202112,경상남도,합천군,일반용,4083,48581390,23.41
202107-202112,경상남도,합천군,합계,9723,207533027,
