계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,경상북도,전체(시 / 군 / 구),주택용,"1,172,544 ","358,828,130 ","40,900,227,968 ",114.0 
202101,경상북도,전체(시 / 군 / 구),일반용,"222,465 ","557,672,561 ","72,112,743,061 ",129.3 
202101,경상북도,전체(시 / 군 / 구),교육용,"1,500 ","67,791,754 ","6,444,463,602 ",95.1 
202101,경상북도,전체(시 / 군 / 구),산업용,"33,201 ","2,600,160,318 ","282,567,396,296 ",108.7 
202101,경상북도,전체(시 / 군 / 구),농사용,"369,750 ","214,221,944 ","9,892,676,018 ",46.2 
202101,경상북도,전체(시 / 군 / 구),가로등,"216,498 ","29,044,643 ","3,008,865,789 ",103.6 
202101,경상북도,전체(시 / 군 / 구),심 야,"72,041 ","170,761,598 ","12,300,306,721 ",72.0 
202102,경상북도,전체(시 / 군 / 구),주택용,"1,173,960 ","344,430,550 ","38,134,308,617 ",110.7 
202102,경상북도,전체(시 / 군 / 구),일반용,"222,587 ","522,442,026 ","68,797,289,525 ",131.7 
202102,경상북도,전체(시 / 군 / 구),교육용,"1,499 ","55,366,953 ","5,523,500,338 ",99.8 
202102,경상북도,전체(시 / 군 / 구),산업용,"33,226 ","2,355,562,198 ","260,483,417,536 ",110.6 
202102,경상북도,전체(시 / 군 / 구),농사용,"369,534 ","207,684,461 ","9,679,392,931 ",46.6 
202102,경상북도,전체(시 / 군 / 구),가로등,"216,914 ","27,129,404 ","2,984,654,047 ",110.0 
202102,경상북도,전체(시 / 군 / 구),심 야,"71,843 ","160,758,765 ","11,590,972,040 ",72.1 
202103,경상북도,전체(시 / 군 / 구),주택용,"1,174,498 ","297,825,973 ","29,626,114,957 ",99.5 
202103,경상북도,전체(시 / 군 / 구),일반용,"222,628 ","436,784,063 ","55,048,644,212 ",126.0 
202103,경상북도,전체(시 / 군 / 구),교육용,"1,503 ","59,861,315 ","5,272,088,711 ",88.1 
202103,경상북도,전체(시 / 군 / 구),산업용,"33,196 ","2,508,442,129 ","227,707,559,303 ",90.8 
202103,경상북도,전체(시 / 군 / 구),농사용,"442,971 ","172,360,309 ","8,276,860,084 ",48.0 
202103,경상북도,전체(시 / 군 / 구),가로등,"217,140 ","25,596,427 ","2,838,677,848 ",110.9 
202103,경상북도,전체(시 / 군 / 구),심 야,"71,509 ","120,601,634 ","7,635,141,691 ",63.3 
202104,경상북도,전체(시 / 군 / 구),주택용,"1,175,216 ","304,872,406 ","31,268,457,335 ",102.6 
202104,경상북도,전체(시 / 군 / 구),일반용,"223,227 ","420,278,929 ","48,771,908,939 ",116.0 
202104,경상북도,전체(시 / 군 / 구),교육용,"1,501 ","53,276,745 ","4,397,991,734 ",82.5 
202104,경상북도,전체(시 / 군 / 구),산업용,"33,199 ","2,558,499,397 ","227,252,681,226 ",88.8 
202104,경상북도,전체(시 / 군 / 구),농사용,"374,190 ","164,258,111 ","7,983,558,342 ",48.6 
202104,경상북도,전체(시 / 군 / 구),가로등,"217,720 ","25,758,015 ","2,958,198,436 ",114.8 
202104,경상북도,전체(시 / 군 / 구),심 야,"71,303 ","92,667,825 ","4,757,660,721 ",51.3 
202105,경상북도,전체(시 / 군 / 구),주택용,"1,175,624 ","287,900,470 ","28,515,940,407 ",99.0 
