년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202107-202112,경상북도,경산시,일반용,18472,249346017,18.12
202107-202112,경상북도,경산시,합계,27330,1376131466,
202107-202112,경상북도,경주시,일반용,26069,351570973,17.73
202107-202112,경상북도,경주시,합계,35117,1982704295,
202107-202112,경상북도,고령군,일반용,3287,35543955,5.4
202107-202112,경상북도,고령군,합계,5904,658554246,
202107-202112,경상북도,구미시,일반용,27978,373290464,7.39
202107-202112,경상북도,구미시,합계,35163,5049051201,
202107-202112,경상북도,군위군,일반용,2337,27240060,16.51
202107-202112,경상북도,군위군,합계,5628,164950654,
202107-202112,경상북도,김천시,일반용,10621,150609100,12.44
202107-202112,경상북도,김천시,합계,19340,1211067749,
202107-202112,경상북도,문경시,일반용,6738,76220317,25.88
202107-202112,경상북도,문경시,합계,11547,294556142,
202107-202112,경상북도,봉화군,일반용,3039,25552731,2.89
202107-202112,경상북도,봉화군,합계,7871,884100814,
202107-202112,경상북도,상주시,일반용,8198,85627611,21.75
202107-202112,경상북도,상주시,합계,18343,393679704,
202107-202112,경상북도,성주군,일반용,4473,47635097,9.02
202107-202112,경상북도,성주군,합계,10376,528390170,
202107-202112,경상북도,안동시,일반용,14169,185844924,31.53
202107-202112,경상북도,안동시,합계,22632,589409614,
202107-202112,경상북도,영덕군,일반용,5377,61478501,41.52
202107-202112,경상북도,영덕군,합계,7404,148071922,
202107-202112,경상북도,영양군,일반용,1607,14066529,24.03
202107-202112,경상북도,영양군,합계,4431,58530535,
202107-202112,경상북도,영주시,일반용,9991,101679507,12.06
202107-202112,경상북도,영주시,합계,15052,842835888,
202107-202112,경상북도,영천시,일반용,8807,99228056,12.61
202107-202112,경상북도,영천시,합계,16070,786742129,
202107-202112,경상북도,예천군,일반용,3943,50116705,25.68
202107-202112,경상북도,예천군,합계,10469,195138181,
202107-202112,경상북도,울릉군,일반용,1942,21624774,61.44
202107-202112,경상북도,울릉군,합계,1440,35194225,
202107-202112,경상북도,울진군,일반용,5640,72805652,19.76
202107-202112,경상북도,울진군,합계,9634,368527636,
202107-202112,경상북도,의성군,일반용,4332,40090908,17.83
202107-202112,경상북도,의성군,합계,12986,224856750,
202107-202112,경상북도,청도군,일반용,4032,46683759,18.73
202107-202112,경상북도,청도군,합계,10410,249238924,
202107-202112,경상북도,청송군,일반용,2806,29489078,29.61
202107-202112,경상북도,청송군,합계,6901,99593202,
202107-202112,경상북도,칠곡군,일반용,11091,160970662,15.92
202107-202112,경상북도,칠곡군,합계,14653,1011429422,
202107-202112,경상북도,포항시,일반용,41257,540651594,10.63
202107-202112,경상북도,포항시,합계,46291,5086000687,
