계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,대전광역시,전체(시 / 군 / 구),주택용,"441,231 ","195,182,881 ","21,226,092,447 ",108.7 
202101,대전광역시,전체(시 / 군 / 구),일반용,"82,689 ","349,806,431 ","44,590,453,357 ",127.5 
202101,대전광역시,전체(시 / 군 / 구),교육용,616 ,"45,305,430 ","4,149,666,067 ",91.6 
202101,대전광역시,전체(시 / 군 / 구),산업용,"5,598 ","282,391,468 ","32,472,788,099 ",115.0 
202101,대전광역시,전체(시 / 군 / 구),농사용,"7,900 ","4,106,395 ","195,492,181 ",47.6 
202101,대전광역시,전체(시 / 군 / 구),가로등,"38,714 ","7,412,115 ","777,468,148 ",104.9 
202101,대전광역시,전체(시 / 군 / 구),심 야,"14,693 ","28,598,956 ","2,070,211,022 ",72.4 
202102,대전광역시,전체(시 / 군 / 구),주택용,"441,580 ","191,629,041 ","20,607,632,691 ",107.5 
202102,대전광역시,전체(시 / 군 / 구),일반용,"82,673 ","325,817,300 ","42,388,603,687 ",130.1 
202102,대전광역시,전체(시 / 군 / 구),교육용,618 ,"39,612,914 ","3,757,460,595 ",94.9 
202102,대전광역시,전체(시 / 군 / 구),산업용,"5,586 ","252,313,262 ","29,516,980,754 ",117.0 
202102,대전광역시,전체(시 / 군 / 구),농사용,"7,926 ","3,774,686 ","181,978,393 ",48.2 
202102,대전광역시,전체(시 / 군 / 구),가로등,"38,738 ","6,979,765 ","756,230,252 ",108.3 
202102,대전광역시,전체(시 / 군 / 구),심 야,"14,656 ","27,013,975 ","1,963,259,280 ",72.7 
202103,대전광역시,전체(시 / 군 / 구),주택용,"441,810 ","162,635,163 ","15,520,050,219 ",95.4 
202103,대전광역시,전체(시 / 군 / 구),일반용,"82,794 ","279,985,721 ","33,836,523,808 ",120.9 
202103,대전광역시,전체(시 / 군 / 구),교육용,614 ,"34,013,909 ","3,122,349,447 ",91.8 
202103,대전광역시,전체(시 / 군 / 구),산업용,"5,582 ","266,617,543 ","25,577,272,852 ",95.9 
202103,대전광역시,전체(시 / 군 / 구),농사용,"9,285 ","2,886,590 ","149,159,405 ",51.7 
202103,대전광역시,전체(시 / 군 / 구),가로등,"38,824 ","6,187,019 ","686,812,535 ",111.0 
202103,대전광역시,전체(시 / 군 / 구),심 야,"14,610 ","19,628,976 ","1,269,100,244 ",64.7 
202104,대전광역시,전체(시 / 군 / 구),주택용,"441,670 ","169,291,435 ","16,628,667,019 ",98.2 
202104,대전광역시,전체(시 / 군 / 구),일반용,"83,011 ","266,711,455 ","29,892,201,120 ",112.1 
202104,대전광역시,전체(시 / 군 / 구),교육용,612 ,"29,870,037 ","2,559,375,534 ",85.7 
202104,대전광역시,전체(시 / 군 / 구),산업용,"5,595 ","262,423,691 ","24,690,004,178 ",94.1 
202104,대전광역시,전체(시 / 군 / 구),농사용,"8,061 ","2,578,372 ","137,553,789 ",53.3 
202104,대전광역시,전체(시 / 군 / 구),가로등,"38,822 ","6,221,842 ","697,954,414 ",112.2 
202104,대전광역시,전체(시 / 군 / 구),심 야,"14,569 ","14,227,337 ","753,625,029 ",53.0 
202105,대전광역시,전체(시 / 군 / 구),주택용,"441,997 ","157,957,623 ","14,787,672,637 ",93.6 
202105,대전광역시,전체(시 / 군 / 구),일반용,"83,045 ","255,185,553 ","28,974,778,277 ",113.5 
202105,대전광역시,전체(시 / 군 / 구),교육용,612 ,"25,995,050 ","2,211,576,251 ",85.1 
202105,대전광역시,전체(시 / 군 / 구),산업용,"5,585 ","252,676,987 ","23,644,824,724 ",93.6 
202105,대전광역시,전체(시 / 군 / 구),농사용,"8,109 ","2,292,363 ","126,341,179 ",55.1 
202105,대전광역시,전체(시 / 군 / 구),가로등,"38,706 ","5,630,358 ","655,386,979 ",116.4 
202105,대전광역시,전체(시 / 군 / 구),심 야,"14,500 ","9,235,626 ","507,124,021 ",54.9 
202106,대전광역시,전체(시 / 군 / 구),주택용,"442,141 ","165,857,339 ","15,902,954,330 ",95.9 
202106,대전광역시,전체(시 / 군 / 구),일반용,"83,217 ","288,747,948 ","37,530,867,993 ",130.0 
202106,대전광역시,전체(시 / 군 / 구),교육용,611 ,"30,010,675 ","3,175,445,441 ",105.8 
202106,대전광역시,전체(시 / 군 / 구),산업용,"5,585 ","274,179,103 ","32,354,700,848 ",118.0 
202106,대전광역시,전체(시 / 군 / 구),농사용,"8,145 ","2,410,936 ","130,557,507 ",54.2 
202106,대전광역시,전체(시 / 군 / 구),가로등,"38,712 ","5,398,937 ","642,563,709 ",119.0 
202106,대전광역시,전체(시 / 군 / 구),심 야,"14,404 ","8,104,257 ","474,514,728 ",58.6 
합계,합계,합계,합계,"3,554,446","4,766,906,464","521,294,275,190",109.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,대전광역시,대덕구,가로등,"6,312 ","1,021,161 ","103,577,902 ",101.4 
202101,대전광역시,대덕구,교육용,72 ,"3,475,248 ","322,001,626 ",92.7 
202101,대전광역시,대덕구,농사용,840 ,"365,858 ","17,388,674 ",47.5 
202101,대전광역시,대덕구,산업용,"1,953 ","181,289,908 ","20,341,065,358 ",112.2 
202101,대전광역시,대덕구,심 야,"2,048 ","3,204,489 ","231,329,424 ",72.2 
202101,대전광역시,대덕구,일반용,"12,336 ","37,026,833 ","4,790,341,876 ",129.4 
202101,대전광역시,대덕구,주택용,"59,931 ","22,635,077 ","2,443,136,932 ",107.9 
202101,대전광역시,대덕구,합계,"83,492 ","249,018,574 ","28,248,841,792 ",113.4 
202101,대전광역시,동구,가로등,"8,627 ","1,097,342 ","111,971,546 ",102 
202101,대전광역시,동구,교육용,111 ,"6,261,442 ","582,794,251 ",93.1 
202101,대전광역시,동구,농사용,"1,715 ","450,118 ","22,731,655 ",50.5 
202101,대전광역시,동구,산업용,"1,348 ","8,821,129 ","1,060,526,330 ",120.2 
202101,대전광역시,동구,심 야,"4,348 ","7,518,059 ","537,552,172 ",71.5 
202101,대전광역시,동구,일반용,"14,781 ","39,514,712 ","5,103,663,433 ",129.2 
202101,대전광역시,동구,주택용,"90,349 ","30,623,364 ","3,310,032,476 ",108.1 
202101,대전광역시,동구,합계,"121,279 ","94,286,166 ","10,729,271,863 ",113.8 
202101,대전광역시,서구,가로등,"9,531 ","1,879,851 ","194,799,636 ",103.6 
202101,대전광역시,서구,교육용,175 ,"7,786,193 ","737,248,503 ",94.7 
202101,대전광역시,서구,농사용,"1,384 ","629,299 ","30,666,179 ",48.7 
202101,대전광역시,서구,산업용,683 ,"5,032,536 ","635,725,838 ",126.3 
202101,대전광역시,서구,심 야,"3,170 ","6,365,274 ","458,492,790 ",72 
202101,대전광역시,서구,일반용,"22,181 ","99,630,054 ","12,932,194,373 ",129.8 
202101,대전광역시,서구,주택용,"134,861 ","62,654,051 ","6,663,338,342 ",106.4 
202101,대전광역시,서구,합계,"171,985 ","183,977,258 ","21,652,465,661 ",117.7 
202101,대전광역시,유성구,가로등,"6,694 ","2,472,319 ","269,345,098 ",108.9 
202101,대전광역시,유성구,교육용,149 ,"23,854,500 ","2,155,479,780 ",90.4 
202101,대전광역시,유성구,농사용,"3,174 ","2,381,271 ","110,562,210 ",46.4 
202101,대전광역시,유성구,산업용,"1,048 ","84,263,127 ","10,045,163,439 ",119.2 
202101,대전광역시,유성구,심 야,"2,127 ","4,660,571 ","349,102,975 ",74.9 
202101,대전광역시,유성구,일반용,"17,485 ","123,646,507 ","15,320,266,861 ",123.9 
202101,대전광역시,유성구,주택용,"80,156 ","48,179,747 ","5,351,911,448 ",111.1 
202101,대전광역시,유성구,합계,"110,833 ","289,458,042 ","33,601,831,811 ",116.1 
202101,대전광역시,중구,가로등,"7,550 ","941,442 ","97,773,966 ",103.9 
202101,대전광역시,중구,교육용,109 ,"3,928,047 ","352,141,907 ",89.6 
202101,대전광역시,중구,농사용,787 ,"279,849 ","14,143,463 ",50.5 
202101,대전광역시,중구,산업용,566 ,"2,984,768 ","390,307,134 ",130.8 
202101,대전광역시,중구,심 야,"3,000 ","6,850,563 ","493,733,661 ",72.1 
202101,대전광역시,중구,일반용,"15,906 ","49,988,325 ","6,443,986,814 ",128.9 
202101,대전광역시,중구,주택용,"75,934 ","31,090,642 ","3,457,673,249 ",111.2 
202101,대전광역시,중구,합계,"103,852 ","96,063,636 ","11,249,760,194 ",117.1 
202102,대전광역시,대덕구,가로등,"6,302 ","960,885 ","101,862,022 ",106 
202102,대전광역시,대덕구,교육용,72 ,"3,335,398 ","314,910,492 ",94.4 
202102,대전광역시,대덕구,농사용,843 ,"382,772 ","18,453,701 ",48.2 
202102,대전광역시,대덕구,산업용,"1,950 ","161,024,042 ","18,357,214,102 ",114 
202102,대전광역시,대덕구,심 야,"2,042 ","3,338,473 ","241,745,687 ",72.4 
202102,대전광역시,대덕구,일반용,"12,330 ","35,832,547 ","4,669,890,521 ",130.3 
202102,대전광역시,대덕구,주택용,"59,955 ","22,716,802 ","2,459,156,220 ",108.3 
202102,대전광역시,대덕구,합계,"83,494 ","227,590,919 ","26,163,232,745 ",115 
202102,대전광역시,동구,가로등,"8,622 ","1,000,174 ","105,966,924 ",105.9 
202102,대전광역시,동구,교육용,112 ,"5,705,982 ","547,766,601 ",96 
202102,대전광역시,동구,농사용,"1,719 ","495,833 ","24,484,614 ",49.4 
202102,대전광역시,동구,산업용,"1,344 ","8,261,614 ","1,016,426,965 ",123 
202102,대전광역시,동구,심 야,"4,337 ","7,136,440 ","511,366,155 ",71.7 
202102,대전광역시,동구,일반용,"14,754 ","37,094,928 ","4,868,096,175 ",131.2 
202102,대전광역시,동구,주택용,"90,468 ","30,009,920 ","3,186,670,765 ",106.2 
202102,대전광역시,동구,합계,"121,356 ","89,704,891 ","10,260,778,199 ",114.4 
202102,대전광역시,서구,가로등,"9,570 ","1,768,180 ","190,256,278 ",107.6 
202102,대전광역시,서구,교육용,176 ,"6,806,741 ","675,048,902 ",99.2 
202102,대전광역시,서구,농사용,"1,390 ","563,764 ","28,194,799 ",50 
202102,대전광역시,서구,산업용,679 ,"4,702,374 ","604,039,396 ",128.5 
202102,대전광역시,서구,심 야,"3,166 ","5,996,207 ","433,105,817 ",72.2 
202102,대전광역시,서구,일반용,"22,219 ","94,663,364 ","12,552,056,205 ",132.6 
202102,대전광역시,서구,주택용,"134,914 ","61,851,614 ","6,526,874,900 ",105.5 
202102,대전광역시,서구,합계,"172,114 ","176,352,244 ","21,009,576,297 ",119.1 
202102,대전광역시,유성구,가로등,"6,688 ","2,355,660 ","261,622,826 ",111.1 
202102,대전광역시,유성구,교육용,149 ,"20,116,219 ","1,884,670,581 ",93.7 
202102,대전광역시,유성구,농사용,"3,185 ","2,101,275 ","99,004,619 ",47.1 
202102,대전광역시,유성구,산업용,"1,047 ","75,489,639 ","9,163,020,633 ",121.4 
202102,대전광역시,유성구,심 야,"2,116 ","4,103,818 ","311,887,197 ",76 
202102,대전광역시,유성구,일반용,"17,451 ","110,477,052 ","14,023,565,300 ",126.9 
202102,대전광역시,유성구,주택용,"80,214 ","46,972,632 ","5,161,353,233 ",109.9 
202102,대전광역시,유성구,합계,"110,850 ","261,616,295 ","30,905,124,389 ",118.1 
202102,대전광역시,중구,가로등,"7,556 ","894,866 ","96,522,202 ",107.9 
202102,대전광역시,중구,교육용,109 ,"3,648,574 ","335,064,019 ",91.8 
202102,대전광역시,중구,농사용,789 ,"231,042 ","11,840,660 ",51.2 
202102,대전광역시,중구,산업용,566 ,"2,835,593 ","376,279,658 ",132.7 
202102,대전광역시,중구,심 야,"2,995 ","6,439,037 ","465,154,424 ",72.2 
202102,대전광역시,중구,일반용,"15,919 ","47,749,409 ","6,274,995,486 ",131.4 
202102,대전광역시,중구,주택용,"76,029 ","30,078,073 ","3,273,577,573 ",108.8 
202102,대전광역시,중구,합계,"103,963 ","91,876,594 ","10,833,434,022 ",117.9 
202103,대전광역시,대덕구,가로등,"6,296 ","852,752 ","91,892,874 ",107.8 
202103,대전광역시,대덕구,교육용,71 ,"2,449,924 ","259,522,450 ",105.9 
202103,대전광역시,대덕구,농사용,964 ,"334,295 ","16,495,874 ",49.3 
202103,대전광역시,대덕구,산업용,"1,945 ","178,391,104 ","16,284,138,818 ",91.3 
202103,대전광역시,대덕구,심 야,"2,035 ","2,476,883 ","171,506,149 ",69.2 
202103,대전광역시,대덕구,일반용,"12,337 ","29,738,528 ","3,822,200,394 ",128.5 
202103,대전광역시,대덕구,주택용,"59,945 ","19,252,502 ","1,862,370,306 ",96.7 
202103,대전광역시,대덕구,합계,"83,593 ","233,495,988 ","22,508,126,865 ",96.4 
202103,대전광역시,동구,가로등,"8,614 ","910,240 ","98,173,499 ",107.9 
202103,대전광역시,동구,교육용,112 ,"4,687,029 ","465,197,180 ",99.3 
202103,대전광역시,동구,농사용,"1,943 ","381,985 ","20,489,615 ",53.6 
202103,대전광역시,동구,산업용,"1,342 ","7,107,386 ","827,335,550 ",116.4 
202103,대전광역시,동구,심 야,"4,331 ","5,266,899 ","339,295,602 ",64.4 
202103,대전광역시,동구,일반용,"14,777 ","30,617,255 ","3,898,614,446 ",127.3 
202103,대전광역시,동구,주택용,"90,601 ","25,506,196 ","2,384,473,968 ",93.5 
202103,대전광역시,동구,합계,"121,720 ","74,476,990 ","8,033,579,860 ",107.9 
202103,대전광역시,서구,가로등,"9,622 ","1,551,350 ","172,553,651 ",111.2 
202103,대전광역시,서구,교육용,174 ,"5,247,622 ","569,314,431 ",108.5 
202103,대전광역시,서구,농사용,"1,768 ","436,847 ","23,714,983 ",54.3 
202103,대전광역시,서구,산업용,681 ,"4,179,625 ","504,936,314 ",120.8 
202103,대전광역시,서구,심 야,"3,158 ","4,289,327 ","274,351,359 ",64 
202103,대전광역시,서구,일반용,"22,259 ","79,453,858 ","9,925,382,558 ",124.9 
202103,대전광역시,서구,주택용,"134,905 ","52,527,468 ","4,959,219,988 ",94.4 
202103,대전광역시,서구,합계,"172,567 ","147,686,097 ","16,429,473,284 ",111.2 
202103,대전광역시,유성구,가로등,"6,775 ","2,086,373 ","237,039,895 ",113.6 
202103,대전광역시,유성구,교육용,150 ,"18,833,794 ","1,528,131,580 ",81.1 
202103,대전광역시,유성구,농사용,"3,714 ","1,553,433 ","78,782,303 ",50.7 
202103,대전광역시,유성구,산업용,"1,048 ","74,417,623 ","7,637,852,262 ",102.6 
202103,대전광역시,유성구,심 야,"2,110 ","3,035,495 ","197,101,784 ",64.9 
202103,대전광역시,유성구,일반용,"17,488 ","100,566,844 ","11,248,723,331 ",111.9 
202103,대전광역시,유성구,주택용,"80,342 ","39,930,868 ","3,880,060,660 ",97.2 
202103,대전광역시,유성구,합계,"111,627 ","240,424,430 ","24,807,691,815 ",103.2 
202103,대전광역시,중구,가로등,"7,517 ","786,304 ","87,152,616 ",110.8 
