년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202101-202106,대전광역시,대덕구,일반용,12342,184964014,13.42
202101-202106,대전광역시,대덕구,합계,13926,1377849259,
202101-202106,대전광역시,동구,일반용,14790,194300962,41.8
202101-202106,대전광역시,동구,합계,20233,464784713,
202101-202106,대전광역시,서구,일반용,22303,503427311,53.94
202101-202106,대전광역시,서구,합계,28724,933294078,
202101-202106,대전광역시,유성구,일반용,17540,632098130,41.77
202101-202106,대전광역시,유성구,합계,18529,1513259148,
202101-202106,대전광역시,중구,일반용,15928,251463991,52.64
202101-202106,대전광역시,중구,합계,17319,477719266,
