계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,부산광역시,전체(시 / 군 / 구),주택용,"954,501 ","461,241,639 ","52,841,511,084 ",114.6 
202101,부산광역시,전체(시 / 군 / 구),일반용,"189,868 ","585,762,157 ","78,577,155,442 ",134.1 
202101,부산광역시,전체(시 / 군 / 구),교육용,"1,140 ","46,087,711 ","4,718,020,171 ",102.4 
202101,부산광역시,전체(시 / 군 / 구),산업용,"24,858 ","703,997,152 ","89,526,688,287 ",127.2 
202101,부산광역시,전체(시 / 군 / 구),농사용,"12,058 ","14,380,143 ","653,644,217 ",45.5 
202101,부산광역시,전체(시 / 군 / 구),가로등,"87,327 ","16,211,181 ","1,679,660,007 ",103.6 
202101,부산광역시,전체(시 / 군 / 구),심 야,"18,672 ","34,599,558 ","2,531,794,346 ",73.2 
202102,부산광역시,전체(시 / 군 / 구),주택용,"954,242 ","445,134,316 ","49,664,153,655 ",111.6 
202102,부산광역시,전체(시 / 군 / 구),일반용,"189,943 ","553,258,253 ","75,179,426,136 ",135.9 
202102,부산광역시,전체(시 / 군 / 구),교육용,"1,140 ","41,694,853 ","4,356,514,374 ",104.5 
202102,부산광역시,전체(시 / 군 / 구),산업용,"24,845 ","662,287,938 ","82,705,545,836 ",124.9 
202102,부산광역시,전체(시 / 군 / 구),농사용,"12,082 ","12,590,459 ","585,100,663 ",46.5 
202102,부산광역시,전체(시 / 군 / 구),가로등,"87,466 ","15,357,756 ","1,653,954,568 ",107.7 
202102,부산광역시,전체(시 / 군 / 구),심 야,"18,596 ","32,011,524 ","2,343,532,821 ",73.2 
202103,부산광역시,전체(시 / 군 / 구),주택용,"954,087 ","383,660,829 ","38,278,960,802 ",99.8 
