년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202107-202112,부산광역시,강서구,일반용,10752,296608447,13.44
202107-202112,부산광역시,강서구,합계,9472,2207628905,
202107-202112,부산광역시,금정구,일반용,15571,197039728,35.4
202107-202112,부산광역시,금정구,합계,18700,556582631,
202107-202112,부산광역시,기장군,일반용,9309,188485504,28.89
202107-202112,부산광역시,기장군,합계,9680,652497700,
202107-202112,부산광역시,남구,일반용,12332,214751144,28.31
202107-202112,부산광역시,남구,합계,16464,758529136,
202107-202112,부산광역시,동구,일반용,7416,148784749,54.89
202107-202112,부산광역시,동구,합계,8851,271042804,
202107-202112,부산광역시,동래구,일반용,15867,216339822,43.54
202107-202112,부산광역시,동래구,합계,15648,496822445,
202107-202112,부산광역시,부산진구,일반용,23137,410978493,46.66
202107-202112,부산광역시,부산진구,합계,22831,880830172,
202107-202112,부산광역시,북구,일반용,10914,172060430,37.09
202107-202112,부산광역시,북구,합계,12957,463959185,
202107-202112,부산광역시,사상구,일반용,13228,214892732,26.8
202107-202112,부산광역시,사상구,합계,14003,801974189,
202107-202112,부산광역시,사하구,일반용,14629,219564658,16.91
202107-202112,부산광역시,사하구,합계,19461,1298078843,
202107-202112,부산광역시,서구,일반용,6534,124721720,38.08
202107-202112,부산광역시,서구,합계,10153,327526105,
202107-202112,부산광역시,수영구,일반용,11385,165133374,49.56
202107-202112,부산광역시,수영구,합계,12853,333166539,
202107-202112,부산광역시,연제구,일반용,11606,201706410,48.09
202107-202112,부산광역시,연제구,합계,12084,419392862,
202107-202112,부산광역시,영도구,일반용,6242,82160362,34.01
202107-202112,부산광역시,영도구,합계,9617,241543157,
202107-202112,부산광역시,중구,일반용,8200,145232508,77.6
202107-202112,부산광역시,중구,합계,6423,187164063,
202107-202112,부산광역시,해운대구,일반용,15003,467691148,47.41
202107-202112,부산광역시,해운대구,합계,15809,986472186,
