계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,서울특별시,전체(시 / 군 / 구),주택용,"2,869,649 ","1,331,688,210 ","157,244,336,747 ",118.1 
202101,서울특별시,전체(시 / 군 / 구),일반용,"546,529 ","2,371,896,050 ","306,812,112,115 ",129.4 
202101,서울특별시,전체(시 / 군 / 구),교육용,"2,628 ","193,016,224 ","17,548,052,933 ",90.9 
202101,서울특별시,전체(시 / 군 / 구),산업용,"43,658 ","448,731,955 ","53,891,207,212 ",120.1 
202101,서울특별시,전체(시 / 군 / 구),농사용,"1,928 ","2,068,194 ","93,678,872 ",45.3 
202101,서울특별시,전체(시 / 군 / 구),가로등,"216,650 ","28,185,756 ","2,900,599,973 ",102.9 
202101,서울특별시,전체(시 / 군 / 구),심 야,"13,200 ","24,823,906 ","2,022,255,088 ",81.5 
202102,서울특별시,전체(시 / 군 / 구),주택용,"2,872,040 ","1,272,211,063 ","145,583,631,575 ",114.4 
202102,서울특별시,전체(시 / 군 / 구),일반용,"546,938 ","2,212,642,378 ","293,331,926,139 ",132.6 
202102,서울특별시,전체(시 / 군 / 구),교육용,"2,629 ","173,793,842 ","16,230,643,434 ",93.4 
202102,서울특별시,전체(시 / 군 / 구),산업용,"43,613 ","423,732,610 ","51,737,782,080 ",122.1 
202102,서울특별시,전체(시 / 군 / 구),농사용,"1,928 ","2,027,286 ","92,502,851 ",45.6 
202102,서울특별시,전체(시 / 군 / 구),가로등,"217,180 ","26,182,592 ","2,831,341,774 ",108.1 
202102,서울특별시,전체(시 / 군 / 구),심 야,"13,137 ","23,455,668 ","1,914,662,937 ",81.6 
202103,서울특별시,전체(시 / 군 / 구),주택용,"2,873,585 ","1,090,281,733 ","111,500,312,943 ",102.3 
202103,서울특별시,전체(시 / 군 / 구),일반용,"546,555 ","1,886,032,118 ","230,667,423,863 ",122.3 
202103,서울특별시,전체(시 / 군 / 구),교육용,"2,623 ","142,623,936 ","13,435,113,172 ",94.2 
202103,서울특별시,전체(시 / 군 / 구),산업용,"43,633 ","387,108,944 ","42,212,405,753 ",109.0 
202103,서울특별시,전체(시 / 군 / 구),농사용,"2,188 ","1,845,102 ","83,978,206 ",45.5 
202103,서울특별시,전체(시 / 군 / 구),가로등,"217,301 ","23,846,954 ","2,610,330,605 ",109.5 
202103,서울특별시,전체(시 / 군 / 구),심 야,"13,061 ","19,012,005 ","1,425,223,007 ",75.0 
202104,서울특별시,전체(시 / 군 / 구),주택용,"2,876,341 ","1,112,408,343 ","114,647,317,936 ",103.1 
202104,서울특별시,전체(시 / 군 / 구),일반용,"546,478 ","1,781,885,892 ","206,726,398,604 ",116.0 
