계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,서울특별시,전체(시 / 군 / 구),주택용,"2,880,812 ","1,391,209,916 ","161,420,259,249 ",116.0 
202107,서울특별시,전체(시 / 군 / 구),일반용,"547,647 ","2,339,594,127 ","331,367,781,395 ",141.6 
202107,서울특별시,전체(시 / 군 / 구),교육용,"2,607 ","143,020,516 ","16,025,213,515 ",112.0 
202107,서울특별시,전체(시 / 군 / 구),산업용,"43,525 ","438,177,238 ","56,055,820,515 ",127.9 
202107,서울특별시,전체(시 / 군 / 구),농사용,"1,948 ","1,726,274 ","81,426,911 ",47.2 
202107,서울특별시,전체(시 / 군 / 구),가로등,"217,242 ","19,431,537 ","2,361,022,811 ",121.5 
202107,서울특별시,전체(시 / 군 / 구),심 야,"12,747 ","73,393,257 ","5,230,295,955 ",71.3 
202108,서울특별시,전체(시 / 군 / 구),주택용,"2,880,888 ","1,844,125,479 ","242,649,572,167 ",131.6 
202108,서울특별시,전체(시 / 군 / 구),일반용,"548,712 ","2,556,403,493 ","351,753,199,605 ",137.6 
202108,서울특별시,전체(시 / 군 / 구),교육용,"2,605 ","135,899,020 ","15,383,041,040 ",113.2 
202108,서울특별시,전체(시 / 군 / 구),산업용,"43,474 ","473,615,046 ","58,460,316,669 ",123.4 
202108,서울특별시,전체(시 / 군 / 구),농사용,"1,945 ","1,959,487 ","90,360,196 ",46.1 
202108,서울특별시,전체(시 / 군 / 구),가로등,"217,370 ","20,626,076 ","2,413,949,317 ",117.0 
202108,서울특별시,전체(시 / 군 / 구),심 야,"12,642 ","71,239,002 ","5,053,415,177 ",70.9 
202109,서울특별시,전체(시 / 군 / 구),주택용,"2,881,884 ","1,336,305,520 ","146,237,365,340 ",109.4 
202109,서울특별시,전체(시 / 군 / 구),일반용,"549,221 ","2,172,660,512 ","263,214,641,978 ",121.1 
202109,서울특별시,전체(시 / 군 / 구),교육용,"2,601 ","132,750,580 ","12,861,386,171 ",96.9 
202109,서울특별시,전체(시 / 군 / 구),산업용,"43,419 ","427,580,442 ","46,948,797,835 ",109.8 
