년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202101-202106,전라남도,강진군,일반용,3243,34561931,17.48
202101-202106,전라남도,강진군,합계,7146,197690383,
202101-202106,전라남도,고흥군,일반용,5850,54609857,18.29
202101-202106,전라남도,고흥군,합계,14483,298587029,
202101-202106,전라남도,곡성군,일반용,2370,25238889,12.31
202101-202106,전라남도,곡성군,합계,6315,205036889,
202101-202106,전라남도,광양시,일반용,11524,136819733,7.0
202101-202106,전라남도,광양시,합계,13758,1954169983,
202101-202106,전라남도,구례군,일반용,2690,31291122,35.12
202101-202106,전라남도,구례군,합계,5445,89106435,
202101-202106,전라남도,나주시,일반용,8150,148413962,22.25
202101-202106,전라남도,나주시,합계,15429,666930821,
202101-202106,전라남도,담양군,일반용,4278,60298911,22.04
202101-202106,전라남도,담양군,합계,8607,273618564,
202101-202106,전라남도,목포시,일반용,19422,244353091,46.91
202101-202106,전라남도,목포시,합계,16546,520907484,
202101-202106,전라남도,무안군,일반용,6411,89068566,26.41
202101-202106,전라남도,무안군,합계,11821,337299099,
202101-202106,전라남도,보성군,일반용,3846,39521419,25.7
202101-202106,전라남도,보성군,합계,9076,153790922,
202101-202106,전라남도,순천시,일반용,21223,266028238,25.84
202101-202106,전라남도,순천시,합계,26751,1029502364,
202101-202106,전라남도,신안군,일반용,3914,35833019,24.37
202101-202106,전라남도,신안군,합계,8966,147061137,
202101-202106,전라남도,여수시,일반용,23977,322123600,4.43
202101-202106,전라남도,여수시,합계,27397,7274027116,
202101-202106,전라남도,영광군,일반용,5023,55295832,11.85
202101-202106,전라남도,영광군,합계,9589,466803031,
202101-202106,전라남도,영암군,일반용,4625,65559845,10.76
202101-202106,전라남도,영암군,합계,10130,609237756,
202101-202106,전라남도,완도군,일반용,5712,52292061,9.57
202101-202106,전라남도,완도군,합계,8610,546467952,
202101-202106,전라남도,장성군,일반용,3758,53473454,15.97
202101-202106,전라남도,장성군,합계,7117,334780810,
202101-202106,전라남도,장흥군,일반용,3494,36118557,19.27
202101-202106,전라남도,장흥군,합계,7834,187454654,
202101-202106,전라남도,진도군,일반용,3058,33245868,18.41
202101-202106,전라남도,진도군,합계,7004,180629210,
202101-202106,전라남도,함평군,일반용,2529,27748201,13.93
202101-202106,전라남도,함평군,합계,6977,199147540,
202101-202106,전라남도,해남군,일반용,6481,69784306,17.27
202101-202106,전라남도,해남군,합계,14364,403982213,
202101-202106,전라남도,화순군,일반용,4779,73423201,26.99
202101-202106,전라남도,화순군,합계,7527,272032890,
