계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,전라북도,전체(시 / 군 / 구),주택용,"679,034 ","245,214,143 ","28,181,639,636 ",114.9 
202101,전라북도,전체(시 / 군 / 구),일반용,"144,604 ","374,566,781 ","48,848,634,242 ",130.4 
202101,전라북도,전체(시 / 군 / 구),교육용,"1,233 ","43,552,607 ","4,230,595,047 ",97.1 
202101,전라북도,전체(시 / 군 / 구),산업용,"16,103 ","1,009,741,345 ","111,884,234,197 ",110.8 
202101,전라북도,전체(시 / 군 / 구),농사용,"160,171 ","182,383,879 ","8,227,547,806 ",45.1 
202101,전라북도,전체(시 / 군 / 구),가로등,"163,425 ","18,945,180 ","1,959,953,917 ",103.5 
202101,전라북도,전체(시 / 군 / 구),심 야,"58,839 ","122,732,449 ","8,761,213,188 ",71.4 
202102,전라북도,전체(시 / 군 / 구),주택용,"679,713 ","237,460,081 ","26,784,127,041 ",112.8 
202102,전라북도,전체(시 / 군 / 구),일반용,"144,640 ","354,597,612 ","47,062,726,231 ",132.7 
202102,전라북도,전체(시 / 군 / 구),교육용,"1,234 ","36,478,108 ","3,754,074,533 ",102.9 
202102,전라북도,전체(시 / 군 / 구),산업용,"16,128 ","892,887,812 ","100,838,256,511 ",112.9 
202102,전라북도,전체(시 / 군 / 구),농사용,"160,168 ","174,052,380 ","7,932,693,679 ",45.6 
202102,전라북도,전체(시 / 군 / 구),가로등,"157,817 ","17,616,571 ","1,900,656,166 ",107.9 
202102,전라북도,전체(시 / 군 / 구),심 야,"58,705 ","117,141,703 ","8,377,643,330 ",71.5 
202103,전라북도,전체(시 / 군 / 구),주택용,"680,394 ","202,960,726 ","20,569,961,584 ",101.3 
202103,전라북도,전체(시 / 군 / 구),일반용,"144,584 ","295,152,001 ","37,609,592,138 ",127.4 
202103,전라북도,전체(시 / 군 / 구),교육용,"1,235 ","33,081,583 ","3,282,795,180 ",99.2 
202103,전라북도,전체(시 / 군 / 구),산업용,"16,165 ","987,116,910 ","90,238,192,358 ",91.4 
202103,전라북도,전체(시 / 군 / 구),농사용,"233,397 ","148,142,708 ","6,876,502,172 ",46.4 
202103,전라북도,전체(시 / 군 / 구),가로등,"158,024 ","16,724,118 ","1,812,998,150 ",108.4 
202103,전라북도,전체(시 / 군 / 구),심 야,"58,506 ","87,974,693 ","5,565,666,733 ",63.3 
202104,전라북도,전체(시 / 군 / 구),주택용,"681,158 ","210,566,303 ","22,369,266,188 ",106.2 
202104,전라북도,전체(시 / 군 / 구),일반용,"144,651 ","282,113,575 ","33,152,767,702 ",117.5 
202104,전라북도,전체(시 / 군 / 구),교육용,"1,232 ","29,674,797 ","2,654,063,546 ",89.4 
202104,전라북도,전체(시 / 군 / 구),산업용,"16,199 ","980,262,579 ","88,843,308,616 ",90.6 
202104,전라북도,전체(시 / 군 / 구),농사용,"199,824 ","138,530,005 ","6,446,288,116 ",46.5 
202104,전라북도,전체(시 / 군 / 구),가로등,"158,351 ","16,550,757 ","1,877,329,247 ",113.4 
202104,전라북도,전체(시 / 군 / 구),심 야,"58,322 ","67,773,469 ","3,466,583,481 ",51.1 
202105,전라북도,전체(시 / 군 / 구),주택용,"681,770 ","197,170,860 ","20,144,024,815 ",102.2 
202105,전라북도,전체(시 / 군 / 구),일반용,"144,804 ","263,078,054 ","31,808,039,746 ",120.9 
202105,전라북도,전체(시 / 군 / 구),교육용,"1,230 ","23,199,242 ","2,136,267,857 ",92.1 
