년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202101-202106,전라북도,고창군,일반용,4886,55836678,16.82
202101-202106,전라북도,고창군,합계,10763,331914217,
202101-202106,전라북도,군산시,일반용,20925,301133246,9.99
202101-202106,전라북도,군산시,합계,23751,3015304706,
202101-202106,전라북도,김제시,일반용,6780,83041886,14.61
202101-202106,전라북도,김제시,합계,15365,568409284,
202101-202106,전라북도,남원시,일반용,7697,82351790,25.51
202101-202106,전라북도,남원시,합계,14161,322796119,
202101-202106,전라북도,무주군,일반용,2820,42127862,37.64
202101-202106,전라북도,무주군,합계,5044,111919361,
202101-202106,전라북도,부안군,일반용,5798,68279152,27.73
202101-202106,전라북도,부안군,합계,9383,246224884,
202101-202106,전라북도,순창군,일반용,2380,23571397,17.59
202101-202106,전라북도,순창군,합계,6200,133969121,
202101-202106,전라북도,완주군,일반용,7849,123776269,13.85
202101-202106,전라북도,완주군,합계,12180,893425781,
202101-202106,전라북도,익산시,일반용,20931,252777747,16.2
202101-202106,전라북도,익산시,합계,29029,1559893778,
202101-202106,전라북도,임실군,일반용,2396,29830527,18.93
202101-202106,전라북도,임실군,합계,5961,157579428,
202101-202106,전라북도,장수군,일반용,1863,20542922,17.12
202101-202106,전라북도,장수군,합계,4842,120026380,
202101-202106,전라북도,전주시,일반용,48644,649925734,29.14
202101-202106,전라북도,전주시,합계,47310,2230178808,
202101-202106,전라북도,정읍시,일반용,9476,99960199,11.28
202101-202106,전라북도,정읍시,합계,17219,885838445,
202101-202106,전라북도,진안군,일반용,2264,24433355,21.88
202101-202106,전라북도,진안군,합계,5531,111658263,
