계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,제주특별자치도,전체(시 / 군 / 구),주택용,"302,251 ","91,345,430 ","11,478,799,858 ",125.7 
202101,제주특별자치도,전체(시 / 군 / 구),일반용,"81,645 ","182,025,780 ","24,690,397,716 ",135.6 
202101,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"13,207,786 ","1,363,729,517 ",103.3 
202101,제주특별자치도,전체(시 / 군 / 구),산업용,"3,751 ","55,064,868 ","6,870,458,820 ",124.8 
202101,제주특별자치도,전체(시 / 군 / 구),농사용,"48,264 ","157,672,763 ","6,848,881,977 ",43.4 
202101,제주특별자치도,전체(시 / 군 / 구),가로등,"43,619 ","4,819,637 ","479,140,584 ",99.4 
202101,제주특별자치도,전체(시 / 군 / 구),심 야,"6,586 ","14,121,324 ","1,021,817,202 ",72.4 
202102,제주특별자치도,전체(시 / 군 / 구),주택용,"303,040 ","85,931,186 ","10,384,787,250 ",120.9 
202102,제주특별자치도,전체(시 / 군 / 구),일반용,"81,838 ","176,251,881 ","24,062,363,039 ",136.5 
202102,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"10,199,510 ","1,093,506,192 ",107.2 
202102,제주특별자치도,전체(시 / 군 / 구),산업용,"3,761 ","52,616,232 ","6,648,090,805 ",126.4 
202102,제주특별자치도,전체(시 / 군 / 구),농사용,"48,379 ","160,382,817 ","6,994,161,929 ",43.6 
202102,제주특별자치도,전체(시 / 군 / 구),가로등,"43,741 ","4,340,780 ","472,742,030 ",108.9 
202102,제주특별자치도,전체(시 / 군 / 구),심 야,"6,570 ","13,601,242 ","981,214,739 ",72.1 
202103,제주특별자치도,전체(시 / 군 / 구),주택용,"303,173 ","74,142,383 ","7,994,643,249 ",107.8 
202103,제주특별자치도,전체(시 / 군 / 구),일반용,"81,949 ","160,613,320 ","20,247,751,424 ",126.1 
202103,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"10,278,485 ","982,601,501 ",95.6 
202103,제주특별자치도,전체(시 / 군 / 구),산업용,"3,757 ","51,998,739 ","5,774,059,981 ",111.0 
202103,제주특별자치도,전체(시 / 군 / 구),농사용,"48,507 ","139,080,079 ","6,075,272,075 ",43.7 
202103,제주특별자치도,전체(시 / 군 / 구),가로등,"43,877 ","4,075,850 ","447,459,878 ",109.8 
202103,제주특별자치도,전체(시 / 군 / 구),심 야,"6,552 ","10,615,747 ","662,883,008 ",62.4 
202104,제주특별자치도,전체(시 / 군 / 구),주택용,"303,695 ","74,934,626 ","8,329,812,954 ",111.2 
202104,제주특별자치도,전체(시 / 군 / 구),일반용,"82,174 ","165,440,553 ","18,914,564,053 ",114.3 
202104,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"9,885,183 ","877,171,935 ",88.7 
202104,제주특별자치도,전체(시 / 군 / 구),산업용,"3,749 ","54,961,043 ","5,689,846,278 ",103.5 
202104,제주특별자치도,전체(시 / 군 / 구),농사용,"48,696 ","143,720,461 ","6,184,414,369 ",43.0 
202104,제주특별자치도,전체(시 / 군 / 구),가로등,"43,962 ","3,824,822 ","450,795,216 ",117.9 
202104,제주특별자치도,전체(시 / 군 / 구),심 야,"6,533 ","9,056,256 ","483,782,346 ",53.4 
202105,제주특별자치도,전체(시 / 군 / 구),주택용,"304,095 ","69,573,196 ","7,466,962,208 ",107.3 
202105,제주특별자치도,전체(시 / 군 / 구),일반용,"82,519 ","161,785,897 ","18,629,938,390 ",115.2 
202105,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"8,552,277 ","788,394,049 ",92.2 
202105,제주특별자치도,전체(시 / 군 / 구),산업용,"3,683 ","56,585,590 ","5,759,780,825 ",101.8 
202105,제주특별자치도,전체(시 / 군 / 구),농사용,"48,889 ","124,244,902 ","5,445,395,612 ",43.8 
202105,제주특별자치도,전체(시 / 군 / 구),가로등,"44,140 ","3,473,084 ","428,039,760 ",123.2 
202105,제주특별자치도,전체(시 / 군 / 구),심 야,"6,513 ","6,743,392 ","372,941,275 ",55.3 
