계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,제주특별자치도,전체(시 / 군 / 구),주택용,"304,948 ","90,244,638 ","10,408,518,919 ",115.3 
202107,제주특별자치도,전체(시 / 군 / 구),일반용,"83,362 ","207,035,979 ","29,477,611,921 ",142.4 
202107,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"12,980,149 ","1,464,218,064 ",112.8 
202107,제주특별자치도,전체(시 / 군 / 구),산업용,"3,649 ","59,747,085 ","7,673,152,733 ",128.4 
202107,제주특별자치도,전체(시 / 군 / 구),농사용,"48,829 ","106,697,268 ","4,812,221,946 ",45.1 
202107,제주특별자치도,전체(시 / 군 / 구),가로등,"49,145 ","3,212,886 ","405,170,303 ",126.1 
202107,제주특별자치도,전체(시 / 군 / 구),심 야,"6,475 ","6,920,477 ","426,630,919 ",61.6 
202108,제주특별자치도,전체(시 / 군 / 구),주택용,"305,207 ","115,842,299 ","14,691,906,977 ",126.8 
202108,제주특별자치도,전체(시 / 군 / 구),일반용,"83,770 ","232,544,903 ","32,206,106,860 ",138.5 
202108,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"11,948,519 ","1,400,333,002 ",117.2 
202108,제주특별자치도,전체(시 / 군 / 구),산업용,"3,656 ","60,097,702 ","7,402,335,746 ",123.2 
202108,제주특별자치도,전체(시 / 군 / 구),농사용,"48,853 ","113,324,173 ","5,063,221,671 ",44.7 
202108,제주특별자치도,전체(시 / 군 / 구),가로등,"49,298 ","3,536,591 ","419,476,253 ",118.6 
202108,제주특별자치도,전체(시 / 군 / 구),심 야,"6,455 ","7,015,411 ","442,692,165 ",63.1 
202109,제주특별자치도,전체(시 / 군 / 구),주택용,"305,626 ","101,396,534 ","12,504,239,717 ",123.3 
202109,제주특별자치도,전체(시 / 군 / 구),일반용,"84,129 ","205,383,977 ","25,288,027,402 ",123.1 
202109,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"12,797,140 ","1,288,350,359 ",100.7 
202109,제주특별자치도,전체(시 / 군 / 구),산업용,"3,662 ","56,374,237 ","6,121,500,885 ",108.6 
202109,제주특별자치도,전체(시 / 군 / 구),농사용,"48,982 ","109,437,805 ","4,838,715,484 ",44.2 
202109,제주특별자치도,전체(시 / 군 / 구),가로등,"49,737 ","3,778,322 ","428,038,052 ",113.3 
202109,제주특별자치도,전체(시 / 군 / 구),심 야,"6,447 ","6,381,000 ","399,528,984 ",62.6 
202110,제주특별자치도,전체(시 / 군 / 구),주택용,"306,081 ","80,817,201 ","9,599,577,354 ",118.8 
202110,제주특별자치도,전체(시 / 군 / 구),일반용,"84,385 ","187,813,094 ","21,083,177,864 ",112.3 
202110,제주특별자치도,전체(시 / 군 / 구),교육용,351 ,"11,285,533 ","1,066,728,842 ",94.5 
202110,제주특별자치도,전체(시 / 군 / 구),산업용,"3,687 ","56,277,823 ","5,775,717,163 ",102.6 
202110,제주특별자치도,전체(시 / 군 / 구),농사용,"49,056 ","101,709,839 ","4,775,052,580 ",46.9 
202110,제주특별자치도,전체(시 / 군 / 구),가로등,"49,947 ","4,150,922 ","448,673,178 ",108.1 
202110,제주특별자치도,전체(시 / 군 / 구),심 야,"6,432 ","4,894,154 ","319,130,325 ",65.2 
202111,제주특별자치도,전체(시 / 군 / 구),주택용,"306,435 ","75,650,414 ","8,644,932,864 ",114.3 
202111,제주특별자치도,전체(시 / 군 / 구),일반용,"84,909 ","177,947,112 ","23,369,816,260 ",131.3 
202111,제주특별자치도,전체(시 / 군 / 구),교육용,349 ,"10,406,056 ","1,137,882,931 ",109.3 
202111,제주특별자치도,전체(시 / 군 / 구),산업용,"3,721 ","56,544,566 ","6,857,734,989 ",121.3 
202111,제주특별자치도,전체(시 / 군 / 구),농사용,"49,281 ","106,085,629 ","5,041,867,932 ",47.5 
202111,제주특별자치도,전체(시 / 군 / 구),가로등,"50,310 ","4,497,808 ","471,842,035 ",104.9 
202111,제주특별자치도,전체(시 / 군 / 구),심 야,"6,422 ","7,047,238 ","482,545,961 ",68.5 
202112,제주특별자치도,전체(시 / 군 / 구),주택용,"306,699 ","79,802,904 ","9,389,965,480 ",117.7 
202112,제주특별자치도,전체(시 / 군 / 구),일반용,"85,475 ","187,693,513 ","26,390,669,019 ",140.6 
202112,제주특별자치도,전체(시 / 군 / 구),교육용,349 ,"12,515,207 ","1,360,839,047 ",108.7 
202112,제주특별자치도,전체(시 / 군 / 구),산업용,"3,773 ","57,662,106 ","7,362,932,846 ",127.7 
202112,제주특별자치도,전체(시 / 군 / 구),농사용,"49,544 ","120,195,942 ","5,772,989,929 ",48.0 
202112,제주특별자치도,전체(시 / 군 / 구),가로등,"50,485 ","4,732,364 ","476,946,281 ",100.8 
