계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,충청남도,전체(시 / 군 / 구),주택용,"808,169 ","274,470,246 ","28,331,024,131 ",103.2 
202107,충청남도,전체(시 / 군 / 구),일반용,"174,313 ","413,143,897 ","60,625,441,911 ",146.7 
202107,충청남도,전체(시 / 군 / 구),교육용,"1,136 ","35,839,053 ","4,314,889,715 ",120.4 
202107,충청남도,전체(시 / 군 / 구),산업용,"22,977 ","3,180,744,395 ","363,611,347,411 ",114.3 
202107,충청남도,전체(시 / 군 / 구),농사용,"212,471 ","191,011,892 ","8,494,165,339 ",44.5 
202107,충청남도,전체(시 / 군 / 구),가로등,"166,168 ","12,019,113 ","1,488,084,255 ",123.8 
202107,충청남도,전체(시 / 군 / 구),심 야,"84,137 ","29,987,709 ","1,640,373,831 ",54.7 
202108,충청남도,전체(시 / 군 / 구),주택용,"808,598 ","375,503,240 ","43,664,173,081 ",116.3 
202108,충청남도,전체(시 / 군 / 구),일반용,"174,973 ","482,355,017 ","67,631,318,437 ",140.2 
202108,충청남도,전체(시 / 군 / 구),교육용,"1,136 ","31,564,560 ","4,043,336,204 ",128.1 
202108,충청남도,전체(시 / 군 / 구),산업용,"23,006 ","3,061,668,448 ","343,113,632,959 ",112.1 
202108,충청남도,전체(시 / 군 / 구),농사용,"213,517 ","269,486,229 ","11,458,228,111 ",42.5 
202108,충청남도,전체(시 / 군 / 구),가로등,"166,602 ","12,919,319 ","1,532,758,756 ",118.6 
202108,충청남도,전체(시 / 군 / 구),심 야,"83,922 ","23,902,661 ","1,335,117,806 ",55.9 
202109,충청남도,전체(시 / 군 / 구),주택용,"809,734 ","295,791,247 ","30,434,059,250 ",102.9 
202109,충청남도,전체(시 / 군 / 구),일반용,"175,583 ","405,229,163 ","52,789,646,200 ",130.3 
202109,충청남도,전체(시 / 군 / 구),교육용,"1,136 ","32,232,300 ","3,386,841,618 ",105.1 
202109,충청남도,전체(시 / 군 / 구),산업용,"23,060 ","2,974,324,456 ","268,196,564,058 ",90.2 
202109,충청남도,전체(시 / 군 / 구),농사용,"214,683 ","230,025,646 ","10,028,073,762 ",43.6 
202109,충청남도,전체(시 / 군 / 구),가로등,"166,906 ","13,682,786 ","1,576,999,861 ",115.3 
202109,충청남도,전체(시 / 군 / 구),심 야,"83,747 ","27,036,126 ","1,482,568,001 ",54.8 
202110,충청남도,전체(시 / 군 / 구),주택용,"810,679 ","250,732,832 ","26,772,123,501 ",106.8 
202110,충청남도,전체(시 / 군 / 구),일반용,"175,875 ","359,178,020 ","42,717,623,811 ",118.9 
202110,충청남도,전체(시 / 군 / 구),교육용,"1,135 ","29,510,540 ","2,909,137,884 ",98.6 
202110,충청남도,전체(시 / 군 / 구),산업용,"23,081 ","2,987,805,442 ","271,169,661,059 ",90.8 
202110,충청남도,전체(시 / 군 / 구),농사용,"215,230 ","177,832,272 ","8,868,781,556 ",49.9 
202110,충청남도,전체(시 / 군 / 구),가로등,"167,239 ","14,585,999 ","1,626,512,142 ",111.5 
202110,충청남도,전체(시 / 군 / 구),심 야,"83,549 ","35,577,059 ","2,006,266,073 ",56.4 
202111,충청남도,전체(시 / 군 / 구),주택용,"812,310 ","257,092,536 ","27,966,745,113 ",108.8 
202111,충청남도,전체(시 / 군 / 구),일반용,"176,593 ","368,501,416 ","48,682,167,077 ",132.1 
202111,충청남도,전체(시 / 군 / 구),교육용,"1,135 ","37,101,529 ","4,000,420,030 ",107.8 
202111,충청남도,전체(시 / 군 / 구),산업용,"23,102 ","3,058,614,982 ","351,189,290,509 ",114.8 
202111,충청남도,전체(시 / 군 / 구),농사용,"328,417 ","282,339,758 ","11,227,989,460 ",39.8 
202111,충청남도,전체(시 / 군 / 구),가로등,"167,841 ","15,619,941 ","1,697,650,130 ",108.7 
202111,충청남도,전체(시 / 군 / 구),심 야,"83,385 ","89,424,087 ","5,773,580,000 ",64.6 
202112,충청남도,전체(시 / 군 / 구),주택용,"813,332 ","268,533,334 ","29,843,716,531 ",111.1 
202112,충청남도,전체(시 / 군 / 구),일반용,"177,478 ","431,606,736 ","60,515,436,903 ",140.2 
202112,충청남도,전체(시 / 군 / 구),교육용,"1,136 ","52,884,747 ","5,344,501,173 ",101.1 
202112,충청남도,전체(시 / 군 / 구),산업용,"23,172 ","3,274,832,892 ","372,919,004,686 ",113.9 
202112,충청남도,전체(시 / 군 / 구),농사용,"215,543 ","203,181,010 ","10,138,884,906 ",49.9 
202112,충청남도,전체(시 / 군 / 구),가로등,"168,207 ","16,458,779 ","1,734,821,405 ",105.4 
202112,충청남도,전체(시 / 군 / 구),심 야,"83,202 ","141,280,632 ","10,679,573,266 ",75.6 
합계,합계,합계,합계,"8,967,615","24,725,632,046","2,606,962,531,912",105.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,충청남도,계룡시,가로등,"1,341 ","181,917 ","22,046,652 ",121.2 
202107,충청남도,계룡시,교육용,17 ,"328,636 ","42,176,330 ",128.3 
202107,충청남도,계룡시,농사용,608 ,"296,177 ","14,910,954 ",50.3 
202107,충청남도,계룡시,산업용,133 ,"5,033,609 ","679,505,572 ",135 
202107,충청남도,계룡시,심 야,275 ,"713,707 ","46,032,035 ",64.5 
202107,충청남도,계룡시,일반용,"1,942 ","12,506,695 ","1,715,995,202 ",137.2 
202107,충청남도,계룡시,주택용,"4,260 ","5,932,726 ","616,765,739 ",104 
202107,충청남도,계룡시,합계,"8,576 ","24,993,467 ","3,137,432,484 ",125.5 
202107,충청남도,공주시,가로등,"10,593 ","1,247,064 ","149,862,522 ",120.2 
202107,충청남도,공주시,교육용,83 ,"2,315,595 ","283,043,312 ",122.2 
202107,충청남도,공주시,농사용,"16,363 ","11,588,134 ","535,254,249 ",46.2 
202107,충청남도,공주시,산업용,"1,284 ","44,868,544 ","5,671,453,619 ",126.4 
202107,충청남도,공주시,심 야,"6,424 ","2,193,467 ","118,004,931 ",53.8 
202107,충청남도,공주시,일반용,"10,447 ","21,732,419 ","3,263,790,164 ",150.2 
202107,충청남도,공주시,주택용,"49,728 ","12,384,114 ","1,262,733,246 ",102 
202107,충청남도,공주시,합계,"94,922 ","96,329,337 ","11,284,142,043 ",117.1 
202107,충청남도,금산군,가로등,"9,228 ","468,658 ","53,544,179 ",114.3 
202107,충청남도,금산군,교육용,43 ,"750,239 ","94,275,195 ",125.7 
202107,충청남도,금산군,농사용,"12,624 ","5,021,308 ","265,586,961 ",52.9 
202107,충청남도,금산군,산업용,"1,493 ","54,594,173 ","6,855,677,092 ",125.6 
202107,충청남도,금산군,심 야,"3,002 ","893,430 ","46,143,776 ",51.6 
202107,충청남도,금산군,일반용,"5,464 ","8,724,198 ","1,362,260,928 ",156.1 
202107,충청남도,금산군,주택용,"29,774 ","5,393,268 ","580,990,318 ",107.7 
202107,충청남도,금산군,합계,"61,628 ","75,845,274 ","9,258,478,449 ",122.1 
202107,충청남도,논산시,가로등,"8,703 ","646,392 ","83,381,387 ",129 
202107,충청남도,논산시,교육용,76 ,"2,796,832 ","329,291,613 ",117.7 
202107,충청남도,논산시,농사용,"20,831 ","19,202,272 ","896,582,151 ",46.7 
202107,충청남도,논산시,산업용,"1,617 ","52,248,786 ","6,972,185,955 ",133.4 
202107,충청남도,논산시,심 야,"6,632 ","1,935,870 ","104,207,904 ",53.8 
202107,충청남도,논산시,일반용,"10,806 ","22,715,219 ","3,365,156,730 ",148.1 
202107,충청남도,논산시,주택용,"58,986 ","13,651,195 ","1,370,048,300 ",100.4 
202107,충청남도,논산시,합계,"107,651 ","113,196,566 ","13,120,854,040 ",115.9 
202107,충청남도,당진시,가로등,"10,956 ","907,258 ","114,442,689 ",126.1 
202107,충청남도,당진시,교육용,82 ,"1,815,327 ","230,341,977 ",126.9 
