계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,충청북도,전체(시 / 군 / 구),주택용,"627,833 ","228,058,017 ","26,644,504,465 ",116.8 
202101,충청북도,전체(시 / 군 / 구),일반용,"126,582 ","371,318,609 ","47,971,398,397 ",129.2 
202101,충청북도,전체(시 / 군 / 구),교육용,788 ,"42,033,135 ","3,796,164,258 ",90.3 
202101,충청북도,전체(시 / 군 / 구),산업용,"17,899 ","1,653,737,884 ","184,666,143,361 ",111.7 
202101,충청북도,전체(시 / 군 / 구),농사용,"141,072 ","93,068,375 ","4,314,102,522 ",46.4 
202101,충청북도,전체(시 / 군 / 구),가로등,"109,869 ","17,016,718 ","1,745,927,147 ",102.6 
202101,충청북도,전체(시 / 군 / 구),심 야,"85,606 ","191,176,449 ","13,676,014,918 ",71.5 
202102,충청북도,전체(시 / 군 / 구),주택용,"628,676 ","221,105,108 ","25,253,632,725 ",114.2 
202102,충청북도,전체(시 / 군 / 구),일반용,"126,588 ","352,335,595 ","46,292,727,596 ",131.4 
202102,충청북도,전체(시 / 군 / 구),교육용,788 ,"34,155,573 ","3,309,246,211 ",96.9 
202102,충청북도,전체(시 / 군 / 구),산업용,"17,930 ","1,485,602,022 ","168,500,788,039 ",113.4 
202102,충청북도,전체(시 / 군 / 구),농사용,"141,051 ","88,611,283 ","4,157,445,795 ",46.9 
202102,충청북도,전체(시 / 군 / 구),가로등,"110,223 ","15,910,090 ","1,735,178,047 ",109.1 
202102,충청북도,전체(시 / 군 / 구),심 야,"85,483 ","175,881,501 ","12,605,779,235 ",71.7 
202103,충청북도,전체(시 / 군 / 구),주택용,"629,248 ","185,521,532 ","18,860,523,160 ",101.7 
202103,충청북도,전체(시 / 군 / 구),일반용,"126,573 ","289,510,441 ","36,646,713,028 ",126.6 
202103,충청북도,전체(시 / 군 / 구),교육용,788 ,"28,750,068 ","2,866,573,615 ",99.7 
202103,충청북도,전체(시 / 군 / 구),산업용,"17,949 ","1,623,419,044 ","148,432,492,491 ",91.4 
202103,충청북도,전체(시 / 군 / 구),농사용,"175,637 ","73,608,022 ","3,564,942,270 ",48.4 
202103,충청북도,전체(시 / 군 / 구),가로등,"110,485 ","15,324,649 ","1,673,036,586 ",109.2 
202103,충청북도,전체(시 / 군 / 구),심 야,"85,352 ","128,777,543 ","8,101,502,238 ",62.9 
202104,충청북도,전체(시 / 군 / 구),주택용,"630,298 ","190,650,322 ","20,088,989,742 ",105.4 
202104,충청북도,전체(시 / 군 / 구),일반용,"126,802 ","273,903,622 ","32,070,059,602 ",117.1 
202104,충청북도,전체(시 / 군 / 구),교육용,788 ,"24,063,796 ","2,221,124,435 ",92.3 
202104,충청북도,전체(시 / 군 / 구),산업용,"17,986 ","1,608,084,020 ","147,387,207,467 ",91.7 
202104,충청북도,전체(시 / 군 / 구),농사용,"142,379 ","67,565,911 ","3,347,402,102 ",49.5 
202104,충청북도,전체(시 / 군 / 구),가로등,"110,882 ","15,244,355 ","1,729,633,798 ",113.5 
202104,충청북도,전체(시 / 군 / 구),심 야,"85,172 ","94,492,033 ","4,851,552,101 ",51.3 
202105,충청북도,전체(시 / 군 / 구),주택용,"630,917 ","178,677,120 ","18,056,065,921 ",101.1 
202105,충청북도,전체(시 / 군 / 구),일반용,"127,096 ","256,744,332 ","31,110,898,642 ",121.2 
202105,충청북도,전체(시 / 군 / 구),교육용,786 ,"18,196,890 ","1,773,226,015 ",97.4 
202105,충청북도,전체(시 / 군 / 구),산업용,"18,043 ","1,641,254,403 ","145,932,567,106 ",88.9 
202105,충청북도,전체(시 / 군 / 구),농사용,"143,228 ","63,805,428 ","3,162,593,742 ",49.6 
202105,충청북도,전체(시 / 군 / 구),가로등,"111,278 ","14,323,996 ","1,676,646,683 ",117.1 
202105,충청북도,전체(시 / 군 / 구),심 야,"84,929 ","59,677,230 ","3,081,698,422 ",51.6 
202106,충청북도,전체(시 / 군 / 구),주택용,"631,991 ","186,034,234 ","19,043,627,301 ",102.4 
202106,충청북도,전체(시 / 군 / 구),일반용,"127,358 ","279,087,602 ","37,955,166,417 ",136.0 
202106,충청북도,전체(시 / 군 / 구),교육용,786 ,"19,810,816 ","2,249,173,258 ",113.5 
202106,충청북도,전체(시 / 군 / 구),산업용,"18,088 ","1,675,997,764 ","192,234,680,670 ",114.7 
202106,충청북도,전체(시 / 군 / 구),농사용,"144,074 ","69,705,197 ","3,359,330,535 ",48.2 
202106,충청북도,전체(시 / 군 / 구),가로등,"111,710 ","13,699,616 ","1,655,771,694 ",120.9 
202106,충청북도,전체(시 / 군 / 구),심 야,"84,732 ","39,204,674 ","2,075,995,542 ",53.0 
합계,합계,합계,합계,"6,715,743","14,105,145,019","1,439,878,247,299",102.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,충청북도,괴산군,가로등,"4,208 ","1,332,698 ","135,746,407 ",101.9 
202101,충청북도,괴산군,교육용,29 ,"2,963,151 ","251,775,081 ",85 
