계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,충청북도,전체(시 / 군 / 구),주택용,"632,963 ","204,376,598 ","21,054,672,338 ",103.0 
202107,충청북도,전체(시 / 군 / 구),일반용,"127,780 ","319,077,718 ","46,695,183,346 ",146.3 
202107,충청북도,전체(시 / 군 / 구),교육용,784 ,"23,102,229 ","2,856,527,939 ",123.6 
202107,충청북도,전체(시 / 군 / 구),산업용,"18,151 ","1,741,909,104 ","202,893,095,946 ",116.5 
202107,충청북도,전체(시 / 군 / 구),농사용,"144,689 ","77,726,873 ","3,743,638,238 ",48.2 
202107,충청북도,전체(시 / 군 / 구),가로등,"112,520 ","13,727,829 ","1,644,221,050 ",119.8 
202107,충청북도,전체(시 / 군 / 구),심 야,"84,578 ","24,517,041 ","1,414,235,039 ",57.7 
202108,충청북도,전체(시 / 군 / 구),주택용,"633,494 ","279,496,695 ","32,448,174,316 ",116.1 
202108,충청북도,전체(시 / 군 / 구),일반용,"128,213 ","364,301,964 ","51,422,615,766 ",141.2 
202108,충청북도,전체(시 / 군 / 구),교육용,784 ,"21,303,396 ","2,711,813,019 ",127.3 
202108,충청북도,전체(시 / 군 / 구),산업용,"18,199 ","1,698,233,495 ","193,856,075,316 ",114.2 
202108,충청북도,전체(시 / 군 / 구),농사용,"145,466 ","109,684,868 ","4,941,853,240 ",45.1 
202108,충청북도,전체(시 / 군 / 구),가로등,"112,715 ","14,653,425 ","1,678,320,286 ",114.5 
202108,충청북도,전체(시 / 군 / 구),심 야,"84,377 ","20,189,604 ","1,209,325,054 ",59.9 
202109,충청북도,전체(시 / 군 / 구),주택용,"634,427 ","215,180,277 ","21,771,903,445 ",101.2 
202109,충청북도,전체(시 / 군 / 구),일반용,"128,452 ","307,217,692 ","40,232,536,303 ",131.0 
