계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,경기도,전체(시 / 군 / 구),주택용,"3,055,110 ","1,890,031,706 ","228,902,706,131 ",121.1 
202201,경기도,전체(시 / 군 / 구),일반용,"734,540 ","3,325,095,546 ","426,585,035,118 ",128.3 
202201,경기도,전체(시 / 군 / 구),교육용,"4,555 ","219,838,431 ","20,941,949,559 ",95.3 
202201,경기도,전체(시 / 군 / 구),산업용,"135,270 ","6,755,104,068 ","774,233,468,585 ",114.6 
202201,경기도,전체(시 / 군 / 구),농사용,"246,715 ","311,019,088 ","14,882,811,696 ",47.9 
202201,경기도,전체(시 / 군 / 구),가로등,"382,148 ","80,047,151 ","8,812,703,471 ",110.1 
202201,경기도,전체(시 / 군 / 구),심 야,"129,228 ","382,829,415 ","28,979,808,001 ",75.7 
202202,경기도,전체(시 / 군 / 구),주택용,"3,055,412 ","1,873,170,590 ","225,865,422,730 ",120.6 
202202,경기도,전체(시 / 군 / 구),일반용,"736,096 ","3,198,597,152 ","413,523,838,563 ",129.3 
202202,경기도,전체(시 / 군 / 구),교육용,"4,560 ","174,564,897 ","17,232,852,383 ",98.7 
202202,경기도,전체(시 / 군 / 구),산업용,"135,380 ","6,191,464,495 ","720,513,209,955 ",116.4 
202202,경기도,전체(시 / 군 / 구),농사용,"246,743 ","312,977,986 ","14,979,788,515 ",47.9 
202202,경기도,전체(시 / 군 / 구),가로등,"382,643 ","75,872,683 ","8,673,750,310 ",114.3 
202202,경기도,전체(시 / 군 / 구),심 야,"128,758 ","387,891,584 ","29,354,323,078 ",75.7 
202203,경기도,전체(시 / 군 / 구),주택용,"3,057,823 ","1,659,739,824 ","183,590,898,884 ",110.6 
202203,경기도,전체(시 / 군 / 구),일반용,"737,832 ","2,792,430,289 ","332,957,631,070 ",119.2 
202203,경기도,전체(시 / 군 / 구),교육용,"4,564 ","168,690,309 ","17,120,996,447 ",101.5 
202203,경기도,전체(시 / 군 / 구),산업용,"135,462 ","6,392,467,357 ","621,176,599,418 ",97.2 
202203,경기도,전체(시 / 군 / 구),농사용,"318,505 ","252,349,688 ","12,318,254,982 ",48.8 
202203,경기도,전체(시 / 군 / 구),가로등,"382,847 ","68,789,552 ","7,989,292,243 ",116.1 
202203,경기도,전체(시 / 군 / 구),심 야,"128,306 ","298,812,731 ","20,120,220,767 ",67.3 
202204,경기도,전체(시 / 군 / 구),주택용,"3,059,716 ","1,673,396,200 ","191,063,741,606 ",114.2 
202204,경기도,전체(시 / 군 / 구),일반용,"740,901 ","2,541,417,886 ","298,495,777,693 ",117.5 
202204,경기도,전체(시 / 군 / 구),교육용,"4,557 ","137,898,096 ","13,569,477,510 ",98.4 
202204,경기도,전체(시 / 군 / 구),산업용,"135,698 ","6,195,289,803 ","628,510,477,016 ",101.4 
202204,경기도,전체(시 / 군 / 구),농사용,"256,645 ","223,529,183 ","11,592,552,350 ",51.9 
202204,경기도,전체(시 / 군 / 구),가로등,"384,092 ","68,448,916 ","8,381,427,129 ",122.4 
202204,경기도,전체(시 / 군 / 구),심 야,"127,917 ","220,798,014 ","12,843,872,223 ",58.2 
202205,경기도,전체(시 / 군 / 구),주택용,"3,062,101 ","1,534,455,799 ","173,226,635,562 ",112.9 
202205,경기도,전체(시 / 군 / 구),일반용,"743,252 ","2,444,196,230 ","297,910,120,194 ",121.9 
202205,경기도,전체(시 / 군 / 구),교육용,"4,554 ","100,524,057 ","10,428,151,019 ",103.7 
202205,경기도,전체(시 / 군 / 구),산업용,"135,879 ","6,156,015,216 ","631,040,368,903 ",102.5 
202205,경기도,전체(시 / 군 / 구),농사용,"249,860 ","209,214,383 ","11,388,603,757 ",54.4 
202205,경기도,전체(시 / 군 / 구),가로등,"384,733 ","63,448,234 ","8,252,069,873 ",130.1 
202205,경기도,전체(시 / 군 / 구),심 야,"127,454 ","124,819,268 ","7,941,253,332 ",63.6 
202206,경기도,전체(시 / 군 / 구),주택용,"3,064,756 ","1,596,338,597 ","185,532,102,524 ",116.2 
202206,경기도,전체(시 / 군 / 구),일반용,"746,296 ","2,696,822,107 ","371,124,160,127 ",137.6 
202206,경기도,전체(시 / 군 / 구),교육용,"4,547 ","115,575,907 ","14,337,422,335 ",124.1 
202206,경기도,전체(시 / 군 / 구),산업용,"136,023 ","6,093,955,137 ","752,910,117,733 ",123.6 
202206,경기도,전체(시 / 군 / 구),농사용,"251,066 ","207,339,850 ","11,424,835,945 ",55.1 
202206,경기도,전체(시 / 군 / 구),가로등,"385,555 ","60,170,215 ","8,051,592,096 ",133.8 
202206,경기도,전체(시 / 군 / 구),심 야,"127,001 ","88,898,562 ","5,951,536,900 ",66.9 
합계,합계,합계,합계,"28,275,100","69,364,336,202","7,782,731,857,733",112.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,경기도,가평군,가로등,"10,401 ","779,678 ","81,610,948 ",104.7 
202201,경기도,가평군,교육용,47 ,"1,606,057 ","150,414,956 ",93.7 
202201,경기도,가평군,농사용,"8,139 ","3,593,788 ","187,444,881 ",52.2 
202201,경기도,가평군,산업용,"1,215 ","8,605,671 ","1,145,438,080 ",133.1 
202201,경기도,가평군,심 야,"5,248 ","16,486,869 ","1,248,708,125 ",75.7 
202201,경기도,가평군,일반용,"11,204 ","44,747,451 ","5,629,617,608 ",125.8 
202201,경기도,가평군,주택용,"35,500 ","9,094,009 ","1,274,962,379 ",140.2 
202201,경기도,가평군,합계,"71,754 ","84,913,523 ","9,718,196,977 ",114.4 
202201,경기도,고양시,가로등,"18,680 ","5,140,151 ","557,948,198 ",108.5 
202201,경기도,고양시,교육용,341 ,"13,134,888 ","1,266,699,873 ",96.4 
