년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202201-202206,경기도,가평군,일반용,11271,207122036,52.51
202201-202206,경기도,가평군,합계,12028,394456744,
202201-202206,경기도,고양시,일반용,45361,1226075910,46.65
202201-202206,경기도,고양시,합계,41390,2628453003,
202201-202206,경기도,과천시,일반용,2792,113442572,53.15
202201-202206,경기도,과천시,합계,2758,213427714,
202201-202206,경기도,광명시,일반용,10714,255965015,42.87
202201-202206,경기도,광명시,합계,10034,597063919,
202201-202206,경기도,광주시,일반용,30036,426527067,29.26
202201-202206,경기도,광주시,합계,33449,1457798559,
202201-202206,경기도,구리시,일반용,10695,191980807,47.26
202201-202206,경기도,구리시,합계,8790,406254560,
202201-202206,경기도,군포시,일반용,9589,228764292,29.87
202201-202206,경기도,군포시,합계,10903,765747829,
202201-202206,경기도,김포시,일반용,26934,569789971,24.94
202201-202206,경기도,김포시,합계,22871,2284799809,
202201-202206,경기도,남양주시,일반용,41957,621547225,34.42
202201-202206,경기도,남양주시,합계,33823,1805809708,
202201-202206,경기도,동두천시,일반용,6738,121507381,36.29
202201-202206,경기도,동두천시,합계,7354,334779082,
202201-202206,경기도,부천시,일반용,37522,702817658,32.82
202201-202206,경기도,부천시,합계,48396,2141294652,
202201-202206,경기도,성남시,일반용,34813,1442063566,53.05
202201-202206,경기도,성남시,합계,44419,2718379799,
202201-202206,경기도,수원시,일반용,55926,1565699021,52.16
202201-202206,경기도,수원시,합계,62475,3001934438,
202201-202206,경기도,시흥시,일반용,27016,502219044,20.35
202201-202206,경기도,시흥시,합계,28438,2468351376,
202201-202206,경기도,안산시,일반용,31189,615803051,15.08
202201-202206,경기도,안산시,합계,49080,4083961630,
202201-202206,경기도,안성시,일반용,17076,354466546,19.38
202201-202206,경기도,안성시,합계,23266,1828897061,
202201-202206,경기도,안양시,일반용,23607,787120981,53.57
202201-202206,경기도,안양시,합계,21894,1469243429,
202201-202206,경기도,양주시,일반용,17743,323939260,26.19
202201-202206,경기도,양주시,합계,16305,1237013837,
202201-202206,경기도,양평군,일반용,14438,172305866,31.11
202201-202206,경기도,양평군,합계,21515,553852973,
202201-202206,경기도,여주시,일반용,11427,201642804,25.88
202201-202206,경기도,여주시,합계,16977,779265816,
202201-202206,경기도,연천군,일반용,5332,89520131,27.51
202201-202206,경기도,연천군,합계,8152,325367617,
202201-202206,경기도,오산시,일반용,12511,236943743,32.37
202201-202206,경기도,오산시,합계,12544,732021971,
202201-202206,경기도,용인시,일반용,46146,1483237615,27.05
202201-202206,경기도,용인시,합계,44388,5482660743,
202201-202206,경기도,의왕시,일반용,6504,209525128,48.54
202201-202206,경기도,의왕시,합계,5745,431612548,
202201-202206,경기도,의정부시,일반용,22813,382704011,42.41
202201-202206,경기도,의정부시,합계,20344,902466031,
202201-202206,경기도,이천시,일반용,18854,443759348,10.12
202201-202206,경기도,이천시,합계,24069,4386472881,
202201-202206,경기도,파주시,일반용,31340,642975853,13.37
202201-202206,경기도,파주시,합계,30799,4810313224,
202201-202206,경기도,평택시,일반용,43255,845339506,10.4
202201-202206,경기도,평택시,합계,43234,8128718772,
202201-202206,경기도,포천시,일반용,19750,298188704,19.71
202201-202206,경기도,포천시,합계,21618,1512797029,
202201-202206,경기도,하남시,일반용,15842,358000947,37.74
202201-202206,경기도,하남시,합계,9779,948687554,
202201-202206,경기도,화성시,일반용,50616,1377564151,13.08
202201-202206,경기도,화성시,합계,48568,10532431894,
