년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202201-202206,경상북도,경산시,일반용,18795,252114679,17.85
202201-202206,경상북도,경산시,합계,27520,1412063649,
202201-202206,경상북도,경주시,일반용,26519,363119997,17.98
202201-202206,경상북도,경주시,합계,35402,2019765115,
202201-202206,경상북도,고령군,일반용,3398,38004515,5.56
202201-202206,경상북도,고령군,합계,5993,683091210,
202201-202206,경상북도,구미시,일반용,28477,380656256,7.84
202201-202206,경상북도,구미시,합계,35358,4857249677,
202201-202206,경상북도,군위군,일반용,2400,30343713,17.71
202201-202206,경상북도,군위군,합계,5675,171377146,
202201-202206,경상북도,김천시,일반용,10863,153839156,12.52
202201-202206,경상북도,김천시,합계,19546,1229017233,
202201-202206,경상북도,문경시,일반용,6896,82428502,26.12
202201-202206,경상북도,문경시,합계,11641,315571827,
202201-202206,경상북도,봉화군,일반용,3087,29439714,3.0
202201-202206,경상북도,봉화군,합계,7881,981653616,
202201-202206,경상북도,상주시,일반용,8345,93102877,22.53
202201-202206,경상북도,상주시,합계,18521,413201551,
202201-202206,경상북도,성주군,일반용,4573,52436082,9.25
202201-202206,경상북도,성주군,합계,10522,567168962,
202201-202206,경상북도,안동시,일반용,14378,199410754,32.0
202201-202206,경상북도,안동시,합계,22742,623179800,
202201-202206,경상북도,영덕군,일반용,5444,63795988,41.72
202201-202206,경상북도,영덕군,합계,7464,152914940,
202201-202206,경상북도,영양군,일반용,1662,16210682,27.58
202201-202206,경상북도,영양군,합계,4446,58785963,
202201-202206,경상북도,영주시,일반용,10150,108664425,12.24
202201-202206,경상북도,영주시,합계,15165,888041007,
202201-202206,경상북도,영천시,일반용,8949,106029455,13.02
202201-202206,경상북도,영천시,합계,16223,814529020,
202201-202206,경상북도,예천군,일반용,4001,53085743,26.04
202201-202206,경상북도,예천군,합계,10524,203871724,
202201-202206,경상북도,울릉군,일반용,1972,22818541,62.91
202201-202206,경상북도,울릉군,합계,1457,36274554,
202201-202206,경상북도,울진군,일반용,5653,81571124,19.11
202201-202206,경상북도,울진군,합계,9655,426761274,
202201-202206,경상북도,의성군,일반용,4401,44640817,19.23
202201-202206,경상북도,의성군,합계,13078,232154515,
202201-202206,경상북도,청도군,일반용,4097,52598393,20.47
202201-202206,경상북도,청도군,합계,10518,256974614,
202201-202206,경상북도,청송군,일반용,2824,32899237,30.11
202201-202206,경상북도,청송군,합계,6931,109271317,
202201-202206,경상북도,칠곡군,일반용,11317,166657221,15.98
202201-202206,경상북도,칠곡군,합계,14806,1042838816,
202201-202206,경상북도,포항시,일반용,41957,543575837,10.12
202201-202206,경상북도,포항시,합계,46744,5372453811,
