계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,부산광역시,전체(시 / 군 / 구),주택용,"952,410 ","450,660,091 ","52,059,024,370 ",115.5 
202201,부산광역시,전체(시 / 군 / 구),일반용,"193,617 ","624,407,111 ","84,004,785,020 ",134.5 
202201,부산광역시,전체(시 / 군 / 구),교육용,"1,147 ","44,999,397 ","4,882,512,581 ",108.5 
202201,부산광역시,전체(시 / 군 / 구),산업용,"24,690 ","740,664,531 ","91,621,624,355 ",123.7 
202201,부산광역시,전체(시 / 군 / 구),농사용,"12,591 ","14,153,521 ","698,549,144 ",49.4 
202201,부산광역시,전체(시 / 군 / 구),가로등,"89,116 ","15,787,359 ","1,687,855,028 ",106.9 
202201,부산광역시,전체(시 / 군 / 구),심 야,"17,659 ","30,247,093 ","2,313,360,262 ",76.5 
202202,부산광역시,전체(시 / 군 / 구),주택용,"952,336 ","452,812,046 ","52,452,443,358 ",115.8 
202202,부산광역시,전체(시 / 군 / 구),일반용,"193,814 ","603,724,086 ","81,776,491,462 ",135.5 
202202,부산광역시,전체(시 / 군 / 구),교육용,"1,147 ","44,204,920 ","4,804,764,577 ",108.7 
202202,부산광역시,전체(시 / 군 / 구),산업용,"24,672 ","656,486,665 ","85,078,087,830 ",129.6 
202202,부산광역시,전체(시 / 군 / 구),농사용,"12,608 ","13,655,067 ","682,066,700 ",49.9 
202202,부산광역시,전체(시 / 군 / 구),가로등,"89,175 ","15,095,225 ","1,671,684,451 ",110.7 
202202,부산광역시,전체(시 / 군 / 구),심 야,"17,589 ","30,669,995 ","2,339,307,816 ",76.3 
202203,부산광역시,전체(시 / 군 / 구),주택용,"952,080 ","399,985,188 ","42,476,042,097 ",106.2 
202203,부산광역시,전체(시 / 군 / 구),일반용,"193,985 ","532,001,873 ","66,682,327,004 ",125.3 
202203,부산광역시,전체(시 / 군 / 구),교육용,"1,143 ","41,024,086 ","4,225,504,685 ",103.0 
202203,부산광역시,전체(시 / 군 / 구),산업용,"24,672 ","722,698,441 ","75,218,638,214 ",104.1 
202203,부산광역시,전체(시 / 군 / 구),농사용,"12,758 ","10,833,718 ","551,165,774 ",50.9 
202203,부산광역시,전체(시 / 군 / 구),가로등,"89,264 ","14,031,033 ","1,558,626,620 ",111.1 
202203,부산광역시,전체(시 / 군 / 구),심 야,"17,536 ","24,025,615 ","1,624,174,788 ",67.6 
202204,부산광역시,전체(시 / 군 / 구),주택용,"951,991 ","409,111,850 ","44,963,063,729 ",109.9 
202204,부산광역시,전체(시 / 군 / 구),일반용,"194,267 ","509,783,283 ","61,712,285,208 ",121.1 
202204,부산광역시,전체(시 / 군 / 구),교육용,"1,136 ","37,514,130 ","3,595,352,407 ",95.8 
202204,부산광역시,전체(시 / 군 / 구),산업용,"24,682 ","697,468,303 ","76,515,191,749 ",109.7 
202204,부산광역시,전체(시 / 군 / 구),농사용,"12,729 ","8,989,304 ","498,864,300 ",55.5 
202204,부산광역시,전체(시 / 군 / 구),가로등,"89,376 ","13,247,265 ","1,556,613,457 ",117.5 
202204,부산광역시,전체(시 / 군 / 구),심 야,"17,477 ","18,267,118 ","1,101,952,287 ",60.3 
