년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202201-202206,부산광역시,강서구,일반용,11020,309338954,13.85
202201-202206,부산광역시,강서구,합계,9583,2234074392,
202201-202206,부산광역시,금정구,일반용,15681,194154372,35.68
202201-202206,부산광역시,금정구,합계,18684,544221741,
202201-202206,부산광역시,기장군,일반용,9615,185742666,28.53
202201-202206,부산광역시,기장군,합계,9784,651106972,
202201-202206,부산광역시,남구,일반용,12475,202923131,28.56
202201-202206,부산광역시,남구,합계,16486,710433411,
202201-202206,부산광역시,동구,일반용,7473,143876284,54.61
202201-202206,부산광역시,동구,합계,8846,263476494,
202201-202206,부산광역시,동래구,일반용,16143,210055777,43.51
202201-202206,부산광역시,동래구,합계,15654,482766632,
202201-202206,부산광역시,부산진구,일반용,23289,394448765,46.62
202201-202206,부산광역시,부산진구,합계,22779,846039289,
202201-202206,부산광역시,북구,일반용,11040,165933176,37.42
202201-202206,부산광역시,북구,합계,12972,443454796,
202201-202206,부산광역시,사상구,일반용,13301,207149857,26.17
202201-202206,부산광역시,사상구,합계,14069,791522621,
202201-202206,부산광역시,사하구,일반용,14752,206467699,16.6
202201-202206,부산광역시,사하구,합계,19478,1243795524,
202201-202206,부산광역시,서구,일반용,6554,115878087,39.86
202201-202206,부산광역시,서구,합계,10123,290678324,
202201-202206,부산광역시,수영구,일반용,11552,153382551,49.75
202201-202206,부산광역시,수영구,합계,12888,308307542,
202201-202206,부산광역시,연제구,일반용,11713,193992055,48.67
202201-202206,부산광역시,연제구,합계,12097,398578412,
202201-202206,부산광역시,영도구,일반용,6290,78995440,34.03
202201-202206,부산광역시,영도구,합계,9596,232138421,
202201-202206,부산광역시,중구,일반용,8157,133725139,76.45
202201-202206,부산광역시,중구,합계,6436,174910502,
202201-202206,부산광역시,해운대구,일반용,15171,432276248,47.2
202201-202206,부산광역시,해운대구,합계,15799,915880547,
