계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,세종특별자치시,전체(시 / 군 / 구),주택용,"54,869 ","54,906,157 ","6,494,019,116 ",118.3 
202201,세종특별자치시,전체(시 / 군 / 구),일반용,"15,169 ","-560,490,206 ","-33,473,868,153 ",59.7 
202201,세종특별자치시,전체(시 / 군 / 구),교육용,152 ,"10,253,868 ","952,309,697 ",92.9 
202201,세종특별자치시,전체(시 / 군 / 구),산업용,"1,692 ","172,207,245 ","19,732,074,280 ",114.6 
202201,세종특별자치시,전체(시 / 군 / 구),농사용,"10,322 ","8,828,997 ","427,691,923 ",48.4 
202201,세종특별자치시,전체(시 / 군 / 구),가로등,"14,424 ","3,395,890 ","366,004,482 ",107.8 
202201,세종특별자치시,전체(시 / 군 / 구),심 야,"6,939 ","12,185,272 ","919,435,423 ",75.5 
202202,세종특별자치시,전체(시 / 군 / 구),주택용,"54,849 ","56,278,167 ","6,775,667,374 ",120.4 
202202,세종특별자치시,전체(시 / 군 / 구),일반용,"15,226 ","75,866,546 ","10,209,796,562 ",134.6 
202202,세종특별자치시,전체(시 / 군 / 구),교육용,152 ,"8,216,480 ","814,581,871 ",99.1 
202202,세종특별자치시,전체(시 / 군 / 구),산업용,"1,694 ","155,383,347 ","18,121,089,845 ",116.6 
202202,세종특별자치시,전체(시 / 군 / 구),농사용,"10,287 ","8,987,458 ","435,193,044 ",48.4 
202202,세종특별자치시,전체(시 / 군 / 구),가로등,"14,449 ","3,257,429 ","363,884,011 ",111.7 
202202,세종특별자치시,전체(시 / 군 / 구),심 야,"6,877 ","12,327,945 ","929,734,843 ",75.4 
202203,세종특별자치시,전체(시 / 군 / 구),주택용,"54,878 ","49,784,481 ","5,398,785,408 ",108.4 
202203,세종특별자치시,전체(시 / 군 / 구),일반용,"15,300 ","67,232,381 ","8,419,046,536 ",125.2 
202203,세종특별자치시,전체(시 / 군 / 구),교육용,153 ,"8,102,836 ","827,202,025 ",102.1 
202203,세종특별자치시,전체(시 / 군 / 구),산업용,"1,699 ","167,916,902 ","15,865,104,093 ",94.5 
202203,세종특별자치시,전체(시 / 군 / 구),농사용,"15,164 ","7,753,441 ","379,291,611 ",48.9 
202203,세종특별자치시,전체(시 / 군 / 구),가로등,"14,466 ","2,964,294 ","335,185,087 ",113.1 
202203,세종특별자치시,전체(시 / 군 / 구),심 야,"6,815 ","9,682,613 ","642,485,378 ",66.4 
202204,세종특별자치시,전체(시 / 군 / 구),주택용,"54,972 ","51,803,273 ","5,881,544,171 ",113.5 
202204,세종특별자치시,전체(시 / 군 / 구),일반용,"15,357 ","61,396,576 ","7,527,348,812 ",122.6 
