계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,제주특별자치도,전체(시 / 군 / 구),주택용,"307,305 ","91,002,129 ","11,674,534,974 ",128.3 
202201,제주특별자치도,전체(시 / 군 / 구),일반용,"86,041 ","212,361,517 ","28,599,575,385 ",134.7 
202201,제주특별자치도,전체(시 / 군 / 구),교육용,349 ,"13,510,235 ","1,462,081,480 ",108.2 
202201,제주특별자치도,전체(시 / 군 / 구),산업용,"3,792 ","57,808,185 ","7,261,398,163 ",125.6 
202201,제주특별자치도,전체(시 / 군 / 구),농사용,"49,784 ","159,793,103 ","7,472,879,726 ",46.8 
202201,제주특별자치도,전체(시 / 군 / 구),가로등,"50,883 ","4,754,753 ","487,609,274 ",102.6 
202201,제주특별자치도,전체(시 / 군 / 구),심 야,"6,401 ","14,123,812 ","1,057,685,627 ",74.9 
202202,제주특별자치도,전체(시 / 군 / 구),주택용,"307,840 ","91,727,830 ","11,885,109,821 ",129.6 
202202,제주특별자치도,전체(시 / 군 / 구),일반용,"86,333 ","210,989,321 ","28,441,849,172 ",134.8 
202202,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"11,698,073 ","1,273,287,769 ",108.8 
202202,제주특별자치도,전체(시 / 군 / 구),산업용,"3,799 ","52,098,697 ","6,689,489,795 ",128.4 
202202,제주특별자치도,전체(시 / 군 / 구),농사용,"49,869 ","175,211,639 ","8,116,042,496 ",46.3 
202202,제주특별자치도,전체(시 / 군 / 구),가로등,"51,026 ","4,326,011 ","481,954,448 ",111.4 
202202,제주특별자치도,전체(시 / 군 / 구),심 야,"6,381 ","14,808,760 ","1,111,989,445 ",75.1 
202203,제주특별자치도,전체(시 / 군 / 구),주택용,"308,254 ","80,510,791 ","9,591,177,172 ",119.1 
202203,제주특별자치도,전체(시 / 군 / 구),일반용,"86,657 ","183,543,160 ","23,112,240,424 ",125.9 
202203,제주특별자치도,전체(시 / 군 / 구),교육용,351 ,"11,484,876 ","1,146,631,851 ",99.8 
202203,제주특별자치도,전체(시 / 군 / 구),산업용,"3,800 ","52,911,457 ","5,934,819,876 ",112.2 
202203,제주특별자치도,전체(시 / 군 / 구),농사용,"49,964 ","157,763,206 ","7,291,615,777 ",46.2 
202203,제주특별자치도,전체(시 / 군 / 구),가로등,"51,172 ","4,044,493 ","450,952,440 ",111.5 
202203,제주특별자치도,전체(시 / 군 / 구),심 야,"6,353 ","11,811,250 ","779,074,865 ",66.0 
202204,제주특별자치도,전체(시 / 군 / 구),주택용,"308,756 ","78,844,091 ","9,639,858,251 ",122.3 
202204,제주특별자치도,전체(시 / 군 / 구),일반용,"87,188 ","180,816,916 ","21,689,509,646 ",120.0 
202204,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"10,461,861 ","1,019,220,936 ",97.4 
202204,제주특별자치도,전체(시 / 군 / 구),산업용,"3,783 ","57,098,746 ","6,195,283,929 ",108.5 
202204,제주특별자치도,전체(시 / 군 / 구),농사용,"50,110 ","154,378,248 ","7,559,201,709 ",49.0 
202204,제주특별자치도,전체(시 / 군 / 구),가로등,"51,345 ","3,790,257 ","467,536,915 ",123.4 
202204,제주특별자치도,전체(시 / 군 / 구),심 야,"6,336 ","9,691,794 ","581,331,661 ",60.0 
202205,제주특별자치도,전체(시 / 군 / 구),주택용,"309,189 ","70,831,434 ","8,520,322,798 ",120.3 
202205,제주특별자치도,전체(시 / 군 / 구),일반용,"87,342 ","174,946,642 ","21,801,974,262 ",124.6 
202205,제주특별자치도,전체(시 / 군 / 구),교육용,347 ,"9,255,451 ","931,658,727 ",100.7 
202205,제주특별자치도,전체(시 / 군 / 구),산업용,"3,746 ","55,942,896 ","6,186,228,420 ",110.6 
202205,제주특별자치도,전체(시 / 군 / 구),농사용,"50,245 ","130,932,268 ","7,039,713,519 ",53.8 
202205,제주특별자치도,전체(시 / 군 / 구),가로등,"51,483 ","3,471,456 ","463,800,045 ",133.6 
202205,제주특별자치도,전체(시 / 군 / 구),심 야,"6,321 ","6,798,132 ","449,169,636 ",66.1 
202206,제주특별자치도,전체(시 / 군 / 구),주택용,"309,480 ","73,214,715 ","8,945,071,332 ",122.2 
202206,제주특별자치도,전체(시 / 군 / 구),일반용,"87,625 ","191,177,554 ","26,775,077,118 ",140.1 
202206,제주특별자치도,전체(시 / 군 / 구),교육용,347 ,"10,655,492 ","1,279,204,418 ",120.1 
