년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202201-202206,충청남도,계룡시,일반용,2047,66700800,48.48
202201-202206,충청남도,계룡시,합계,1462,137572642,
202201-202206,충청남도,공주시,일반용,10863,144904005,23.51
202201-202206,충청남도,공주시,합계,16320,616417875,
202201-202206,충청남도,금산군,일반용,5679,60883430,12.02
202201-202206,충청남도,금산군,합계,10692,506385166,
202201-202206,충청남도,논산시,일반용,11021,140645946,18.55
202201-202206,충청남도,논산시,합계,18472,758216180,
202201-202206,충청남도,당진시,일반용,15103,191381271,5.29
202201-202206,충청남도,당진시,합계,22028,3619778093,
202201-202206,충청남도,보령시,일반용,11384,145156753,20.4
202201-202206,충청남도,보령시,합계,15514,711698077,
202201-202206,충청남도,부여군,일반용,5326,61001288,16.29
202201-202206,충청남도,부여군,합계,13307,374490677,
202201-202206,충청남도,서산시,일반용,15431,224815955,4.5
202201-202206,충청남도,서산시,합계,20944,4991017772,
202201-202206,충청남도,서천군,일반용,5285,61615085,9.7
202201-202206,충청남도,서천군,합계,9742,635509063,
202201-202206,충청남도,아산시,일반용,24335,360846082,5.27
202201-202206,충청남도,아산시,합계,28254,6852017044,
202201-202206,충청남도,예산군,일반용,8061,100048103,14.53
202201-202206,충청남도,예산군,합계,13644,688654647,
202201-202206,충청남도,천안시,일반용,44089,779425662,18.37
202201-202206,충청남도,천안시,합계,47912,4243548323,
202201-202206,충청남도,청양군,일반용,3141,31974733,17.02
202201-202206,충청남도,청양군,합계,7290,187833855,
202201-202206,충청남도,태안군,일반용,9633,115129566,27.65
202201-202206,충청남도,태안군,합계,12138,416353724,
202201-202206,충청남도,홍성군,일반용,8307,114577522,21.61
202201-202206,충청남도,홍성군,합계,13851,530306904,
