계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,충청북도,전체(시 / 군 / 구),주택용,"637,239 ","224,765,161 ","26,949,968,805 ",119.9 
202201,충청북도,전체(시 / 군 / 구),일반용,"130,636 ","398,033,350 ","52,076,147,507 ",130.8 
202201,충청북도,전체(시 / 군 / 구),교육용,792 ,"42,032,133 ","3,965,351,127 ",94.3 
202201,충청북도,전체(시 / 군 / 구),산업용,"18,355 ","1,715,061,059 ","195,793,242,894 ",114.2 
202201,충청북도,전체(시 / 군 / 구),농사용,"146,285 ","95,516,205 ","4,746,431,998 ",49.7 
202201,충청북도,전체(시 / 군 / 구),가로등,"114,457 ","17,152,774 ","1,813,944,172 ",105.8 
202201,충청북도,전체(시 / 군 / 구),심 야,"83,702 ","175,829,538 ","13,060,650,964 ",74.3 
202202,충청북도,전체(시 / 군 / 구),주택용,"637,455 ","225,471,368 ","27,280,730,781 ",121.0 
202202,충청북도,전체(시 / 군 / 구),일반용,"131,143 ","390,667,342 ","51,274,477,519 ",131.2 
202202,충청북도,전체(시 / 군 / 구),교육용,789 ,"35,199,753 ","3,458,174,696 ",98.2 
202202,충청북도,전체(시 / 군 / 구),산업용,"18,395 ","1,551,807,287 ","180,190,427,549 ",116.1 
202202,충청북도,전체(시 / 군 / 구),농사용,"146,211 ","96,159,316 ","4,774,085,289 ",49.6 
202202,충청북도,전체(시 / 군 / 구),가로등,"114,684 ","16,170,897 ","1,811,146,034 ",112.0 
202202,충청북도,전체(시 / 군 / 구),심 야,"83,543 ","176,348,632 ","13,105,078,936 ",74.3 
202203,충청북도,전체(시 / 군 / 구),주택용,"637,882 ","194,471,137 ","21,537,030,378 ",110.7 
202203,충청북도,전체(시 / 군 / 구),일반용,"131,353 ","332,946,078 ","41,672,515,197 ",125.2 
202203,충청북도,전체(시 / 군 / 구),교육용,789 ,"33,524,496 ","3,343,422,890 ",99.7 
202203,충청북도,전체(시 / 군 / 구),산업용,"18,416 ","1,680,004,741 ","158,678,205,564 ",94.5 
202203,충청북도,전체(시 / 군 / 구),농사용,"180,625 ","82,279,632 ","4,181,428,254 ",50.8 
202203,충청북도,전체(시 / 군 / 구),가로등,"114,835 ","15,332,943 ","1,722,118,554 ",112.3 
202203,충청북도,전체(시 / 군 / 구),심 야,"83,465 ","138,749,502 ","9,118,209,765 ",65.7 
202204,충청북도,전체(시 / 군 / 구),주택용,"638,480 ","199,642,593 ","22,958,966,581 ",115.0 
