,년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
3,202201,서울특별시,전체(시 / 군 / 구),주택용,"2,884,708 ","1,303,987,955 ","156,687,439,742 ",120.2 
4,202201,서울특별시,전체(시 / 군 / 구),일반용,"553,491 ","2,500,834,252 ","328,390,432,066 ",131.3 
5,202201,서울특별시,전체(시 / 군 / 구),교육용,"2,602 ","206,767,204 ","19,441,307,587 ",94.0 
6,202201,서울특별시,전체(시 / 군 / 구),산업용,"43,065 ","454,360,497 ","55,040,047,084 ",121.1 
7,202201,서울특별시,전체(시 / 군 / 구),농사용,"1,952 ","2,385,867 ","114,458,313 ",48.0 
8,202201,서울특별시,전체(시 / 군 / 구),가로등,"218,527 ","26,845,408 ","2,850,643,445 ",106.2 
9,202201,서울특별시,전체(시 / 군 / 구),심 야,"12,260 ","22,836,284 ","1,929,658,531 ",84.5 
10,202202,서울특별시,전체(시 / 군 / 구),주택용,"2,885,321 ","1,283,978,502 ","152,901,568,429 ",119.1 
11,202202,서울특별시,전체(시 / 군 / 구),일반용,"554,337 ","2,370,563,890 ","315,006,986,596 ",132.9 
12,202202,서울특별시,전체(시 / 군 / 구),교육용,"2,605 ","188,852,554 ","18,078,680,076 ",95.7 
13,202202,서울특별시,전체(시 / 군 / 구),산업용,"43,053 ","433,826,306 ","52,880,282,748 ",121.9 
14,202202,서울특별시,전체(시 / 군 / 구),농사용,"1,957 ","2,409,922 ","116,162,144 ",48.2 
15,202202,서울특별시,전체(시 / 군 / 구),가로등,"218,819 ","25,056,386 ","2,802,923,695 ",111.9 
16,202202,서울특별시,전체(시 / 군 / 구),심 야,"12,190 ","22,686,443 ","1,906,992,977 ",84.1 
17,202203,서울특별시,전체(시 / 군 / 구),주택용,"2,886,065 ","1,137,991,446 ","124,597,697,564 ",109.5 
18,202203,서울특별시,전체(시 / 군 / 구),일반용,"554,860 ","2,069,189,330 ","252,192,329,174 ",121.9 
19,202203,서울특별시,전체(시 / 군 / 구),교육용,"2,608 ","163,317,699 ","15,571,253,204 ",95.3 
20,202203,서울특별시,전체(시 / 군 / 구),산업용,"43,046 ","398,998,807 ","43,576,929,120 ",109.2 
21,202203,서울특별시,전체(시 / 군 / 구),농사용,"2,216 ","2,099,533 ","100,920,248 ",48.1 
22,202203,서울특별시,전체(시 / 군 / 구),가로등,"219,686 ","22,723,826 ","2,571,518,616 ",113.2 
23,202203,서울특별시,전체(시 / 군 / 구),심 야,"12,145 ","18,682,210 ","1,442,981,286 ",77.2 
24,202204,서울특별시,전체(시 / 군 / 구),주택용,"2,888,402 ","1,123,194,089 ","125,479,633,075 ",111.7 
25,202204,서울특별시,전체(시 / 군 / 구),일반용,"555,604 ","1,891,608,151 ","228,460,496,816 ",120.8 
26,202204,서울특별시,전체(시 / 군 / 구),교육용,"2,608 ","138,000,290 ","12,782,772,555 ",92.6 
27,202204,서울특별시,전체(시 / 군 / 구),산업용,"43,015 ","388,596,924 ","42,102,222,270 ",108.3 
28,202204,서울특별시,전체(시 / 군 / 구),농사용,"1,979 ","1,738,529 ","92,605,768 ",53.3 
29,202204,서울특별시,전체(시 / 군 / 구),가로등,"229,771 ","21,850,148 ","2,636,516,403 ",120.7 
30,202204,서울특별시,전체(시 / 군 / 구),심 야,"12,096 ","21,990,405 ","1,815,477,443 ",82.6 
31,202205,서울특별시,전체(시 / 군 / 구),주택용,"2,887,111 ","1,065,676,206 ","118,093,542,108 ",110.8 
32,202205,서울특별시,전체(시 / 군 / 구),일반용,"556,334 ","1,876,932,783 ","232,332,481,177 ",123.8 
33,202205,서울특별시,전체(시 / 군 / 구),교육용,"2,606 ","111,789,293 ","10,647,402,222 ",95.2 
34,202205,서울특별시,전체(시 / 군 / 구),산업용,"42,986 ","376,121,654 ","42,459,508,403 ",112.9 
35,202205,서울특별시,전체(시 / 군 / 구),농사용,"1,989 ","1,597,310 ","91,348,383 ",57.2 
36,202205,서울특별시,전체(시 / 군 / 구),가로등,"230,186 ","20,084,619 ","2,595,196,277 ",129.2 
37,202205,서울특별시,전체(시 / 군 / 구),심 야,"12,036 ","32,081,288 ","2,641,785,318 ",82.3 
38,합계,합계,합계,합계,"18,622,236","19,729,656,010","2,370,432,200,863",120.1
