계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,경상북도,전체(시 / 군 / 구),주택용,"1,008,754 ","302,521,388 ","38,925,452,377 ",128.7 
201301,경상북도,전체(시 / 군 / 구),일반용,"195,330 ","499,727,329 ","61,062,317,145 ",122.2 
201301,경상북도,전체(시 / 군 / 구),교육용,"2,411 ","60,884,956 ","6,626,378,105 ",108.8 
201301,경상북도,전체(시 / 군 / 구),산업용,"28,151 ","2,752,250,425 ","291,139,075,166 ",105.8 
201301,경상북도,전체(시 / 군 / 구),농사용,"265,539 ","147,947,116 ","6,585,730,641 ",44.5 
201301,경상북도,전체(시 / 군 / 구),가로등,"147,553 ","24,355,163 ","2,263,506,999 ",92.9 
201301,경상북도,전체(시 / 군 / 구),심 야,"84,359 ","260,675,285 ","17,746,473,065 ",68.1 
201302,경상북도,전체(시 / 군 / 구),주택용,"1,010,599 ","296,747,327 ","37,950,014,269 ",127.9 
201302,경상북도,전체(시 / 군 / 구),일반용,"196,119 ","468,759,236 ","59,672,771,305 ",127.3 
201302,경상북도,전체(시 / 군 / 구),교육용,"2,413 ","55,543,475 ","6,299,846,319 ",113.4 
201302,경상북도,전체(시 / 군 / 구),산업용,"28,154 ","2,481,507,974 ","270,880,990,986 ",109.2 
201302,경상북도,전체(시 / 군 / 구),농사용,"264,576 ","144,036,725 ","6,606,965,597 ",45.9 
201302,경상북도,전체(시 / 군 / 구),가로등,"147,823 ","22,127,420 ","2,304,833,485 ",104.2 
201302,경상북도,전체(시 / 군 / 구),심 야,"84,323 ","249,020,946 ","17,615,100,014 ",70.7 
201303,경상북도,전체(시 / 군 / 구),주택용,"1,012,346 ","256,750,325 ","28,762,810,819 ",112.0 
201303,경상북도,전체(시 / 군 / 구),일반용,"196,427 ","388,787,366 ","47,439,099,829 ",122.0 
201303,경상북도,전체(시 / 군 / 구),교육용,"2,414 ","51,586,663 ","5,146,029,834 ",99.8 
201303,경상북도,전체(시 / 군 / 구),산업용,"28,122 ","2,837,508,746 ","251,243,612,179 ",88.5 
201303,경상북도,전체(시 / 군 / 구),농사용,"330,492 ","117,553,476 ","5,582,926,101 ",47.5 
201303,경상북도,전체(시 / 군 / 구),가로등,"148,050 ","21,003,010 ","2,277,182,693 ",108.4 
201303,경상북도,전체(시 / 군 / 구),심 야,"84,238 ","188,813,265 ","11,895,248,531 ",63.0 
201304,경상북도,전체(시 / 군 / 구),주택용,"1,014,536 ","269,857,219 ","31,216,385,246 ",115.7 
201304,경상북도,전체(시 / 군 / 구),일반용,"196,981 ","381,352,162 ","42,331,504,966 ",111.0 
201304,경상북도,전체(시 / 군 / 구),교육용,"2,409 ","51,009,189 ","4,800,062,789 ",94.1 
201304,경상북도,전체(시 / 군 / 구),산업용,"28,195 ","2,737,417,141 ","241,459,421,736 ",88.2 
201304,경상북도,전체(시 / 군 / 구),농사용,"265,176 ","104,343,551 ","5,092,047,104 ",48.8 
201304,경상북도,전체(시 / 군 / 구),가로등,"148,473 ","20,000,582 ","2,232,855,873 ",111.6 
201304,경상북도,전체(시 / 군 / 구),심 야,"84,189 ","157,241,255 ","8,106,491,767 ",51.6 
201305,경상북도,전체(시 / 군 / 구),주택용,"1,016,500 ","255,514,594 ","28,074,124,594 ",109.9 
201305,경상북도,전체(시 / 군 / 구),일반용,"197,240 ","353,341,320 ","40,632,231,940 ",115.0 
201305,경상북도,전체(시 / 군 / 구),교육용,"2,402 ","42,495,789 ","4,333,279,710 ",102.0 
201305,경상북도,전체(시 / 군 / 구),산업용,"28,289 ","2,815,761,470 ","247,531,702,410 ",87.9 
201305,경상북도,전체(시 / 군 / 구),농사용,"267,173 ","100,264,887 ","4,898,829,344 ",48.9 
201305,경상북도,전체(시 / 군 / 구),가로등,"148,807 ","18,602,049 ","2,164,301,424 ",116.3 
201305,경상북도,전체(시 / 군 / 구),심 야,"84,085 ","110,515,394 ","5,701,380,180 ",51.6 
201306,경상북도,전체(시 / 군 / 구),주택용,"1,018,826 ","253,518,669 ","27,485,379,423 ",108.4 
201306,경상북도,전체(시 / 군 / 구),일반용,"197,161 ","362,921,850 ","41,063,756,204 ",113.1 
201306,경상북도,전체(시 / 군 / 구),교육용,"2,402 ","40,530,153 ","4,203,786,032 ",103.7 
201306,경상북도,전체(시 / 군 / 구),산업용,"28,398 ","2,806,191,818 ","242,171,659,783 ",86.3 
201306,경상북도,전체(시 / 군 / 구),농사용,"270,033 ","117,195,385 ","5,400,661,894 ",46.1 
201306,경상북도,전체(시 / 군 / 구),가로등,"149,478 ","17,714,038 ","2,156,829,834 ",121.8 
201306,경상북도,전체(시 / 군 / 구),심 야,"83,971 ","53,716,693 ","2,796,029,543 ",52.1 
합계,합계,합계,합계,"10,502,917","22,697,612,824","2,171,879,087,255",95.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,경상북도,경산시,가로등,"10,496 ","1,742,238 ","162,271,231 ",93.1 
201301,경상북도,경산시,교육용,219 ,"12,505,032 ","1,257,349,743 ",100.5 
201301,경상북도,경산시,농사용,"12,106 ","5,336,191 ","245,609,715 ",46 
201301,경상북도,경산시,산업용,"2,730 ","151,542,872 ","16,843,171,754 ",111.1 
201301,경상북도,경산시,심 야,"9,281 ","17,277,296 ","1,188,200,969 ",68.8 
201301,경상북도,경산시,일반용,"14,863 ","39,211,452 ","4,722,913,974 ",120.4 
201301,경상북도,경산시,주택용,"85,498 ","30,066,968 ","3,615,870,906 ",120.3 
201301,경상북도,경산시,합계,"135,193 ","257,682,049 ","28,035,388,292 ",108.8 
201301,경상북도,경주시,가로등,"14,900 ","1,723,993 ","172,737,191 ",100.2 
201301,경상북도,경주시,교육용,229 ,"4,836,986 ","555,245,103 ",114.8 
201301,경상북도,경주시,농사용,"15,434 ","11,916,896 ","546,301,181 ",45.8 
201301,경상북도,경주시,산업용,"3,088 ","227,686,461 ","25,087,993,950 ",110.2 
201301,경상북도,경주시,심 야,"10,257 ","28,054,248 ","1,890,156,479 ",67.4 
201301,경상북도,경주시,일반용,"22,307 ","64,269,251 ","7,854,024,837 ",122.2 
201301,경상북도,경주시,주택용,"108,823 ","31,198,138 ","4,196,054,976 ",134.5 
201301,경상북도,경주시,합계,"175,038 ","369,685,973 ","40,302,513,717 ",109 
201301,경상북도,고령군,가로등,"3,656 ","403,203 ","38,982,546 ",96.7 
201301,경상북도,고령군,교육용,41 ,"451,406 ","56,158,239 ",124.4 
201301,경상북도,고령군,농사용,"5,587 ","6,296,412 ","275,605,940 ",43.8 
201301,경상북도,고령군,산업용,"1,211 ","81,798,694 ","9,228,023,456 ",112.8 
201301,경상북도,고령군,심 야,"1,588 ","5,225,961 ","347,214,740 ",66.4 
201301,경상북도,고령군,일반용,"2,811 ","5,432,425 ","666,751,912 ",122.7 
201301,경상북도,고령군,주택용,"12,981 ","3,574,067 ","456,985,347 ",127.9 
201301,경상북도,고령군,합계,"27,875 ","103,182,168 ","11,069,722,180 ",107.3 
201301,경상북도,구미시,가로등,"7,935 ","2,482,153 ","248,433,453 ",100.1 
201301,경상북도,구미시,교육용,353 ,"7,370,611 ","853,004,588 ",115.7 
201301,경상북도,구미시,농사용,"7,628 ","6,264,188 ","272,977,652 ",43.6 
201301,경상북도,구미시,산업용,"2,926 ","758,039,818 ","79,250,542,761 ",104.5 
201301,경상북도,구미시,심 야,"4,661 ","16,632,704 ","1,142,663,301 ",68.7 
201301,경상북도,구미시,일반용,"25,226 ","70,811,649 ","8,692,143,635 ",122.8 
201301,경상북도,구미시,주택용,"125,287 ","47,335,637 ","5,963,637,496 ",126 
201301,경상북도,구미시,합계,"174,016 ","908,936,760 ","96,423,402,886 ",106.1 
201301,경상북도,군위군,가로등,"2,169 ","373,797 ","32,276,533 ",86.3 
201301,경상북도,군위군,교육용,21 ,"417,406 ","58,754,617 ",140.8 
201301,경상북도,군위군,농사용,"7,636 ","5,732,015 ","250,879,903 ",43.8 
201301,경상북도,군위군,산업용,457 ,"13,474,349 ","1,506,413,153 ",111.8 
201301,경상북도,군위군,심 야,"1,337 ","3,873,985 ","263,664,604 ",68.1 
201301,경상북도,군위군,일반용,"1,900 ","4,291,407 ","529,534,996 ",123.4 
201301,경상북도,군위군,주택용,"12,335 ","2,254,034 ","293,343,659 ",130.1 
201301,경상북도,군위군,합계,"25,855 ","30,416,993 ","2,934,867,465 ",96.5 
201301,경상북도,김천시,가로등,"8,209 ","1,391,611 ","134,550,296 ",96.7 
201301,경상북도,김천시,교육용,136 ,"2,660,019 ","289,878,090 ",109 
201301,경상북도,김천시,농사용,"20,880 ","9,407,066 ","413,446,012 ",44 
201301,경상북도,김천시,산업용,"1,165 ","112,673,400 ","12,158,023,200 ",107.9 
201301,경상북도,김천시,심 야,"5,272 ","17,588,719 ","1,202,599,750 ",68.4 
201301,경상북도,김천시,일반용,"8,984 ","20,093,398 ","2,488,029,838 ",123.8 
201301,경상북도,김천시,주택용,"46,725 ","13,820,107 ","1,771,433,038 ",128.2 
201301,경상북도,김천시,합계,"91,371 ","177,634,320 ","18,457,960,224 ",103.9 
201301,경상북도,문경시,가로등,"3,861 ","1,024,241 ","95,620,790 ",93.4 
201301,경상북도,문경시,교육용,86 ,"1,438,466 ","160,775,474 ",111.8 
201301,경상북도,문경시,농사용,"9,735 ","5,036,995 ","227,119,842 ",45.1 
201301,경상북도,문경시,산업용,707 ,"18,629,022 ","2,111,626,376 ",113.4 
201301,경상북도,문경시,심 야,"3,434 ","11,825,784 ","804,004,373 ",68 
201301,경상북도,문경시,일반용,"6,058 ","14,824,012 ","1,832,291,070 ",123.6 
201301,경상북도,문경시,주택용,"32,981 ","8,243,379 ","1,099,700,848 ",133.4 
201301,경상북도,문경시,합계,"56,862 ","61,021,899 ","6,331,138,773 ",103.8 
201301,경상북도,봉화군,가로등,"4,072 ","422,365 ","38,199,605 ",90.4 
201301,경상북도,봉화군,교육용,46 ,"483,608 ","55,613,673 ",115 
201301,경상북도,봉화군,농사용,"10,557 ","3,364,563 ","159,842,433 ",47.5 
201301,경상북도,봉화군,산업용,440 ,"145,795,095 ","14,033,447,839 ",96.3 
201301,경상북도,봉화군,심 야,"2,499 ","8,099,435 ","553,202,752 ",68.3 
201301,경상북도,봉화군,일반용,"2,901 ","4,825,425 ","603,601,940 ",125.1 
201301,경상북도,봉화군,주택용,"17,396 ","3,396,385 ","423,113,178 ",124.6 
201301,경상북도,봉화군,합계,"37,911 ","166,386,876 ","15,867,021,420 ",95.4 
201301,경상북도,상주시,가로등,"5,842 ","1,403,370 ","127,659,610 ",91 
201301,경상북도,상주시,교육용,98 ,"2,246,527 ","242,904,852 ",108.1 
201301,경상북도,상주시,농사용,"22,422 ","14,473,577 ","645,834,530 ",44.6 
201301,경상북도,상주시,산업용,991 ,"11,735,455 ","1,424,849,504 ",121.4 
201301,경상북도,상주시,심 야,"5,037 ","15,585,053 ","1,068,848,986 ",68.6 
201301,경상북도,상주시,일반용,"7,306 ","16,179,568 ","1,964,041,482 ",121.4 
201301,경상북도,상주시,주택용,"47,261 ","11,029,766 ","1,440,921,795 ",130.6 
201301,경상북도,상주시,합계,"88,957 ","72,653,316 ","6,915,060,759 ",95.2 
201301,경상북도,성주군,가로등,"2,652 ","863,957 ","74,336,670 ",86 
201301,경상북도,성주군,교육용,41 ,"484,375 ","56,811,894 ",117.3 
201301,경상북도,성주군,농사용,"14,805 ","7,153,315 ","314,843,081 ",44 
201301,경상북도,성주군,산업용,"1,363 ","52,637,294 ","5,831,437,523 ",110.8 
201301,경상북도,성주군,심 야,"2,530 ","7,541,632 ","516,816,580 ",68.5 
201301,경상북도,성주군,일반용,"3,696 ","7,374,201 ","885,838,412 ",120.1 
201301,경상북도,성주군,주택용,"19,374 ","4,095,750 ","562,689,924 ",137.4 
201301,경상북도,성주군,합계,"44,461 ","80,150,524 ","8,242,774,084 ",102.8 
201301,경상북도,안동시,가로등,"8,154 ","1,308,883 ","122,380,078 ",93.5 
201301,경상북도,안동시,교육용,139 ,"4,931,497 ","520,033,650 ",105.5 
201301,경상북도,안동시,농사용,"20,155 ","8,513,393 ","383,522,427 ",45 
201301,경상북도,안동시,산업용,"1,196 ","19,767,129 ","2,210,777,184 ",111.8 
201301,경상북도,안동시,심 야,"6,184 ","19,564,668 ","1,343,081,238 ",68.6 
201301,경상북도,안동시,일반용,"12,225 ","35,727,383 ","4,272,689,424 ",119.6 
201301,경상북도,안동시,주택용,"60,272 ","19,424,409 ","2,521,534,887 ",129.8 
201301,경상북도,안동시,합계,"108,325 ","109,237,362 ","11,374,018,888 ",104.1 
201301,경상북도,영덕군,가로등,"4,913 ","547,242 ","47,433,151 ",86.7 
201301,경상북도,영덕군,교육용,32 ,"399,485 ","45,555,331 ",114 
201301,경상북도,영덕군,농사용,"5,135 ","2,000,137 ","92,218,705 ",46.1 
201301,경상북도,영덕군,산업용,617 ,"5,331,160 ","655,513,092 ",123 
201301,경상북도,영덕군,심 야,"1,823 ","6,151,424 ","422,816,557 ",68.7 
201301,경상북도,영덕군,일반용,"4,791 ","11,465,526 ","1,404,999,961 ",122.5 
201301,경상북도,영덕군,주택용,"20,489 ","4,371,512 ","581,257,537 ",133 
201301,경상북도,영덕군,합계,"37,800 ","30,266,486 ","3,249,794,334 ",107.4 
201301,경상북도,영양군,가로등,"3,129 ","149,996 ","12,744,474 ",85 
201301,경상북도,영양군,교육용,23 ,"416,049 ","45,690,567 ",109.8 
201301,경상북도,영양군,농사용,"5,946 ","729,569 ","39,117,373 ",53.6 
