계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,대전광역시,전체(시 / 군 / 구),주택용,"387,484 ","179,333,872 ","23,094,406,027 ",128.8 
201301,대전광역시,전체(시 / 군 / 구),일반용,"73,185 ","321,256,535 ","38,781,370,805 ",120.7 
201301,대전광역시,전체(시 / 군 / 구),교육용,987 ,"41,294,038 ","4,275,715,376 ",103.5 
201301,대전광역시,전체(시 / 군 / 구),산업용,"5,030 ","278,936,360 ","30,410,122,106 ",109.0 
201301,대전광역시,전체(시 / 군 / 구),농사용,"5,556 ","3,161,299 ","147,867,531 ",46.8 
201301,대전광역시,전체(시 / 군 / 구),가로등,"13,615 ","6,806,242 ","665,700,923 ",97.8 
201301,대전광역시,전체(시 / 군 / 구),심 야,"20,180 ","58,384,843 ","3,988,628,241 ",68.3 
201302,대전광역시,전체(시 / 군 / 구),주택용,"388,372 ","175,206,724 ","22,436,021,111 ",128.1 
201302,대전광역시,전체(시 / 군 / 구),일반용,"73,237 ","298,577,772 ","37,866,835,108 ",126.8 
201302,대전광역시,전체(시 / 군 / 구),교육용,990 ,"36,615,760 ","4,014,259,318 ",109.6 
201302,대전광역시,전체(시 / 군 / 구),산업용,"5,026 ","249,631,879 ","28,213,755,458 ",113.0 
201302,대전광역시,전체(시 / 군 / 구),농사용,"5,543 ","3,099,792 ","146,800,916 ",47.4 
201302,대전광역시,전체(시 / 군 / 구),가로등,"13,647 ","6,370,921 ","673,643,342 ",105.7 
201302,대전광역시,전체(시 / 군 / 구),심 야,"20,160 ","54,756,086 ","3,884,618,666 ",70.9 
201303,대전광역시,전체(시 / 군 / 구),주택용,"388,784 ","150,867,528 ","16,866,444,153 ",111.8 
