계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,서울특별시,전체(시 / 군 / 구),주택용,"2,792,509 ","1,211,149,340 ","143,702,322,748 ",118.6 
201807,서울특별시,전체(시 / 군 / 구),일반용,"540,487 ","2,357,574,734 ","339,239,631,998 ",143.9 
201807,서울특별시,전체(시 / 군 / 구),교육용,"2,686 ","148,408,884 ","17,027,931,854 ",114.7 
201807,서울특별시,전체(시 / 군 / 구),산업용,"45,633 ","446,290,261 ","58,718,771,894 ",131.6 
201807,서울특별시,전체(시 / 군 / 구),농사용,"1,852 ","1,376,631 ","69,090,310 ",50.2 
201807,서울특별시,전체(시 / 군 / 구),가로등,"188,676 ","22,898,818 ","2,775,307,607 ",121.2 
201807,서울특별시,전체(시 / 군 / 구),심 야,"15,235 ","72,845,051 ","5,417,477,210 ",74.4 
201808,서울특별시,전체(시 / 군 / 구),주택용,"2,796,153 ","1,810,791,176 ","239,966,690,718 ",132.5 
201808,서울특별시,전체(시 / 군 / 구),일반용,"541,431 ","2,810,484,309 ","390,721,774,123 ",139.0 
201808,서울특별시,전체(시 / 군 / 구),교육용,"2,681 ","160,285,704 ","18,510,216,233 ",115.5 
201808,서울특별시,전체(시 / 군 / 구),산업용,"45,635 ","503,152,921 ","64,837,835,379 ",128.9 
201808,서울특별시,전체(시 / 군 / 구),농사용,"1,838 ","1,581,086 ","77,796,875 ",49.2 
201808,서울특별시,전체(시 / 군 / 구),가로등,"188,730 ","24,135,721 ","2,831,223,761 ",117.3 
201808,서울특별시,전체(시 / 군 / 구),심 야,"15,144 ","84,306,893 ","6,343,323,453 ",75.2 
201809,서울특별시,전체(시 / 군 / 구),주택용,"2,799,258 ","1,291,084,839 ","125,258,230,956 ",97.0 
201809,서울특별시,전체(시 / 군 / 구),일반용,"541,408 ","2,292,423,850 ","282,215,157,833 ",123.1 
201809,서울특별시,전체(시 / 군 / 구),교육용,"2,683 ","147,205,752 ","15,045,097,707 ",102.2 
201809,서울특별시,전체(시 / 군 / 구),산업용,"45,654 ","452,073,281 ","52,005,577,392 ",115.0 
201809,서울특별시,전체(시 / 군 / 구),농사용,"1,836 ","1,442,486 ","70,549,255 ",48.9 
201809,서울특별시,전체(시 / 군 / 구),가로등,"188,511 ","25,501,656 ","2,904,604,733 ",113.9 
201809,서울특별시,전체(시 / 군 / 구),심 야,"15,093 ","52,939,946 ","3,870,642,540 ",73.1 
201810,서울특별시,전체(시 / 군 / 구),주택용,"2,801,507 ","1,000,840,828 ","99,285,274,606 ",99.2 
201810,서울특별시,전체(시 / 군 / 구),일반용,"540,771 ","1,778,141,633 ","209,073,882,540 ",117.6 
201810,서울특별시,전체(시 / 군 / 구),교육용,"2,679 ","107,535,006 ","9,756,503,004 ",90.7 
201810,서울특별시,전체(시 / 군 / 구),산업용,"45,617 ","383,641,787 ","41,837,740,280 ",109.1 
201810,서울특별시,전체(시 / 군 / 구),농사용,"1,842 ","1,181,296 ","59,759,155 ",50.6 
201810,서울특별시,전체(시 / 군 / 구),가로등,"188,538 ","27,347,523 ","2,977,013,210 ",108.9 
201810,서울특별시,전체(시 / 군 / 구),심 야,"15,040 ","21,393,534 ","1,639,179,115 ",76.6 
201811,서울특별시,전체(시 / 군 / 구),주택용,"2,805,755 ","1,054,196,680 ","110,023,954,172 ",104.4 
201811,서울특별시,전체(시 / 군 / 구),일반용,"541,101 ","1,828,025,294 ","246,512,032,109 ",134.9 
201811,서울특별시,전체(시 / 군 / 구),교육용,"2,676 ","127,620,658 ","13,146,476,308 ",103.0 
201811,서울특별시,전체(시 / 군 / 구),산업용,"45,481 ","402,654,226 ","49,523,324,863 ",123.0 
201811,서울특별시,전체(시 / 군 / 구),농사용,"2,107 ","1,365,652 ","65,046,310 ",47.6 
201811,서울특별시,전체(시 / 군 / 구),가로등,"188,740 ","29,346,884 ","3,118,194,268 ",106.3 
201811,서울특별시,전체(시 / 군 / 구),심 야,"14,989 ","17,699,640 ","1,438,176,208 ",81.3 
201812,서울특별시,전체(시 / 군 / 구),주택용,"2,809,435 ","1,115,940,971 ","121,242,932,276 ",108.6 
201812,서울특별시,전체(시 / 군 / 구),일반용,"542,095 ","2,167,398,306 ","297,018,430,353 ",137.0 
201812,서울특별시,전체(시 / 군 / 구),교육용,"2,679 ","176,006,932 ","17,578,071,809 ",99.9 
