계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,세종특별자치시,전체(시 / 군 / 구),주택용,"37,386 ","14,337,504 ","1,999,500,807 ",139.5 
201301,세종특별자치시,전체(시 / 군 / 구),일반용,"7,506 ","30,920,132 ","3,715,391,114 ",120.2 
201301,세종특별자치시,전체(시 / 군 / 구),교육용,87 ,"4,243,065 ","432,130,927 ",101.8 
201301,세종특별자치시,전체(시 / 군 / 구),산업용,"1,285 ","136,443,339 ","14,851,208,070 ",108.8 
201301,세종특별자치시,전체(시 / 군 / 구),농사용,"7,544 ","6,494,178 ","289,841,035 ",44.6 
201301,세종특별자치시,전체(시 / 군 / 구),가로등,"6,095 ","1,682,816 ","160,538,089 ",95.4 
201301,세종특별자치시,전체(시 / 군 / 구),심 야,"8,485 ","21,852,739 ","1,494,144,744 ",68.4 
201302,세종특별자치시,전체(시 / 군 / 구),주택용,"37,551 ","14,101,656 ","1,949,476,094 ",138.2 
201302,세종특별자치시,전체(시 / 군 / 구),일반용,"7,546 ","29,631,032 ","3,727,545,348 ",125.8 
201302,세종특별자치시,전체(시 / 군 / 구),교육용,87 ,"3,916,680 ","419,164,924 ",107.0 
201302,세종특별자치시,전체(시 / 군 / 구),산업용,"1,287 ","122,139,951 ","13,777,136,239 ",112.8 
201302,세종특별자치시,전체(시 / 군 / 구),농사용,"7,509 ","6,333,476 ","291,213,097 ",46.0 
201302,세종특별자치시,전체(시 / 군 / 구),가로등,"6,111 ","1,514,498 ","160,948,011 ",106.3 
201302,세종특별자치시,전체(시 / 군 / 구),심 야,"8,479 ","20,675,168 ","1,468,647,576 ",71.0 
201303,세종특별자치시,전체(시 / 군 / 구),주택용,"37,604 ","12,158,745 ","1,418,779,776 ",116.7 
201303,세종특별자치시,전체(시 / 군 / 구),일반용,"7,626 ","24,809,279 ","3,054,320,103 ",123.1 
201303,세종특별자치시,전체(시 / 군 / 구),교육용,88 ,"3,494,119 ","353,574,496 ",101.2 
201303,세종특별자치시,전체(시 / 군 / 구),산업용,"1,276 ","130,451,680 ","12,022,120,126 ",92.2 
201303,세종특별자치시,전체(시 / 군 / 구),농사용,"12,517 ","5,451,850 ","255,792,818 ",46.9 
201303,세종특별자치시,전체(시 / 군 / 구),가로등,"6,122 ","1,423,110 ","154,173,115 ",108.3 
201303,세종특별자치시,전체(시 / 군 / 구),심 야,"8,474 ","16,202,329 ","1,018,036,073 ",62.8 
201304,세종특별자치시,전체(시 / 군 / 구),주택용,"37,853 ","12,905,283 ","1,560,852,079 ",120.9 
201304,세종특별자치시,전체(시 / 군 / 구),일반용,"7,676 ","24,194,576 ","2,690,005,177 ",111.2 
201304,세종특별자치시,전체(시 / 군 / 구),교육용,87 ,"3,785,901 ","339,497,535 ",89.7 
201304,세종특별자치시,전체(시 / 군 / 구),산업용,"1,275 ","132,372,055 ","11,980,832,696 ",90.5 
201304,세종특별자치시,전체(시 / 군 / 구),농사용,"7,582 ","4,787,391 ","230,146,892 ",48.1 
201304,세종특별자치시,전체(시 / 군 / 구),가로등,"6,141 ","1,390,803 ","157,581,750 ",113.3 
201304,세종특별자치시,전체(시 / 군 / 구),심 야,"8,461 ","13,986,248 ","726,925,230 ",52.0 
201305,세종특별자치시,전체(시 / 군 / 구),주택용,"37,920 ","12,073,800 ","1,384,013,423 ",114.6 
201305,세종특별자치시,전체(시 / 군 / 구),일반용,"7,708 ","21,269,063 ","2,501,612,450 ",117.6 
201305,세종특별자치시,전체(시 / 군 / 구),교육용,86 ,"2,862,073 ","284,796,855 ",99.5 
201305,세종특별자치시,전체(시 / 군 / 구),산업용,"1,278 ","132,051,196 ","11,955,689,527 ",90.5 
201305,세종특별자치시,전체(시 / 군 / 구),농사용,"7,639 ","4,413,213 ","212,209,614 ",48.1 
201305,세종특별자치시,전체(시 / 군 / 구),가로등,"6,155 ","1,329,690 ","155,090,117 ",116.6 
201305,세종특별자치시,전체(시 / 군 / 구),심 야,"8,433 ","8,642,607 ","450,619,866 ",52.1 
201306,세종특별자치시,전체(시 / 군 / 구),주택용,"38,040 ","12,240,938 ","1,379,001,460 ",112.7 
201306,세종특별자치시,전체(시 / 군 / 구),일반용,"7,738 ","20,926,491 ","2,467,097,772 ",117.9 
201306,세종특별자치시,전체(시 / 군 / 구),교육용,87 ,"2,994,807 ","294,163,293 ",98.2 
201306,세종특별자치시,전체(시 / 군 / 구),산업용,"1,284 ","137,820,453 ","12,229,608,494 ",88.7 
201306,세종특별자치시,전체(시 / 군 / 구),농사용,"7,678 ","5,090,759 ","231,992,020 ",45.6 
201306,세종특별자치시,전체(시 / 군 / 구),가로등,"6,167 ","1,287,678 ","155,246,290 ",120.6 
201306,세종특별자치시,전체(시 / 군 / 구),심 야,"8,399 ","3,932,580 ","212,180,831 ",54.0 
합계,합계,합계,합계,"418,352","1,168,634,951","114,612,845,953",98.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,세종특별자치시,세종시,가로등,"6,095 ","1,682,816 ","160,538,089 ",95.4 
201301,세종특별자치시,세종시,교육용,87 ,"4,243,065 ","432,130,927 ",101.8 
201301,세종특별자치시,세종시,농사용,"7,544 ","6,494,178 ","289,841,035 ",44.6 
201301,세종특별자치시,세종시,산업용,"1,285 ","136,443,339 ","14,851,208,070 ",108.8 
201301,세종특별자치시,세종시,심 야,"8,485 ","21,852,739 ","1,494,144,744 ",68.4 
