계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,충청남도,전체(시 / 군 / 구),주택용,"768,463 ","241,307,987 ","25,456,681,385 ",105.5 
201807,충청남도,전체(시 / 군 / 구),일반용,"162,530 ","379,910,721 ","57,628,411,199 ",151.7 
201807,충청남도,전체(시 / 군 / 구),교육용,"1,114 ","36,284,559 ","4,502,498,461 ",124.1 
201807,충청남도,전체(시 / 군 / 구),산업용,"21,368 ","3,488,451,079 ","397,291,826,762 ",113.9 
201807,충청남도,전체(시 / 군 / 구),농사용,"189,021 ","151,466,320 ","7,227,230,337 ",47.7 
201807,충청남도,전체(시 / 군 / 구),가로등,"144,532 ","12,356,721 ","1,572,667,316 ",127.3 
201807,충청남도,전체(시 / 군 / 구),심 야,"90,265 ","32,613,551 ","1,863,113,423 ",57.1 
201808,충청남도,전체(시 / 군 / 구),주택용,"769,676 ","348,909,613 ","41,213,067,021 ",118.1 
201808,충청남도,전체(시 / 군 / 구),일반용,"162,966 ","484,122,441 ","68,552,626,540 ",141.6 
201808,충청남도,전체(시 / 군 / 구),교육용,"1,114 ","38,359,232 ","4,802,120,280 ",125.2 
201808,충청남도,전체(시 / 군 / 구),산업용,"21,432 ","3,482,154,319 ","397,643,678,457 ",114.2 
201808,충청남도,전체(시 / 군 / 구),농사용,"190,105 ","233,889,226 ","10,325,089,427 ",44.1 
201808,충청남도,전체(시 / 군 / 구),가로등,"145,151 ","13,391,997 ","1,621,952,095 ",121.1 
201808,충청남도,전체(시 / 군 / 구),심 야,"90,119 ","25,192,188 ","1,478,265,749 ",58.7 
201809,충청남도,전체(시 / 군 / 구),주택용,"771,561 ","281,756,487 ","24,092,902,822 ",85.5 
201809,충청남도,전체(시 / 군 / 구),일반용,"163,252 ","400,453,164 ","52,837,024,482 ",131.9 
201809,충청남도,전체(시 / 군 / 구),교육용,"1,115 ","35,491,764 ","3,921,871,849 ",110.5 
201809,충청남도,전체(시 / 군 / 구),산업용,"21,505 ","3,251,631,341 ","293,284,703,022 ",90.2 
201809,충청남도,전체(시 / 군 / 구),농사용,"190,925 ","185,880,957 ","8,746,059,943 ",47.1 
201809,충청남도,전체(시 / 군 / 구),가로등,"145,391 ","13,867,509 ","1,630,736,922 ",117.6 
201809,충청남도,전체(시 / 군 / 구),심 야,"89,954 ","26,673,859 ","1,533,140,409 ",57.5 
201810,충청남도,전체(시 / 군 / 구),주택용,"772,621 ","219,174,124 ","21,185,769,689 ",96.7 
201810,충청남도,전체(시 / 군 / 구),일반용,"163,343 ","316,352,532 ","38,743,087,004 ",122.5 
201810,충청남도,전체(시 / 군 / 구),교육용,"1,115 ","28,683,782 ","2,800,344,076 ",97.6 
201810,충청남도,전체(시 / 군 / 구),산업용,"21,561 ","3,371,245,509 ","300,229,566,920 ",89.1 
201810,충청남도,전체(시 / 군 / 구),농사용,"191,453 ","139,113,152 ","6,988,119,917 ",50.2 
201810,충청남도,전체(시 / 군 / 구),가로등,"145,736 ","15,050,475 ","1,663,124,848 ",110.5 
201810,충청남도,전체(시 / 군 / 구),심 야,"89,847 ","52,879,286 ","2,929,162,256 ",55.4 
201811,충청남도,전체(시 / 군 / 구),주택용,"774,071 ","235,297,281 ","24,061,459,143 ",102.3 
201811,충청남도,전체(시 / 군 / 구),일반용,"163,615 ","343,236,921 ","45,509,442,433 ",132.6 
201811,충청남도,전체(시 / 군 / 구),교육용,"1,118 ","37,636,373 ","4,071,768,995 ",108.2 
201811,충청남도,전체(시 / 군 / 구),산업용,"21,585 ","3,342,937,344 ","378,228,369,292 ",113.1 
201811,충청남도,전체(시 / 군 / 구),농사용,"300,966 ","270,189,401 ","10,470,464,038 ",38.8 
201811,충청남도,전체(시 / 군 / 구),가로등,"146,093 ","16,053,030 ","1,729,822,349 ",107.8 
201811,충청남도,전체(시 / 군 / 구),심 야,"89,758 ","112,715,356 ","7,201,957,599 ",63.9 
201812,충청남도,전체(시 / 군 / 구),주택용,"775,341 ","246,166,002 ","25,757,946,705 ",104.6 
201812,충청남도,전체(시 / 군 / 구),일반용,"164,222 ","401,277,227 ","55,631,441,225 ",138.6 
201812,충청남도,전체(시 / 군 / 구),교육용,"1,116 ","52,882,282 ","5,339,901,378 ",101.0 
201812,충청남도,전체(시 / 군 / 구),산업용,"21,646 ","3,496,158,995 ","387,141,302,903 ",110.7 
201812,충청남도,전체(시 / 군 / 구),농사용,"191,673 ","189,626,647 ","9,273,292,802 ",48.9 
201812,충청남도,전체(시 / 군 / 구),가로등,"146,435 ","16,603,870 ","1,734,650,643 ",104.5 
201812,충청남도,전체(시 / 군 / 구),심 야,"89,629 ","169,954,741 ","12,806,169,704 ",75.4 
합계,합계,합계,합계,"8,414,503","26,237,399,365","2,750,722,831,820",104.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,충청남도,계룡시,가로등,"1,213 ","173,205 ","21,094,186 ",121.8 
201807,충청남도,계룡시,교육용,17 ,"349,355 ","43,260,310 ",123.8 
201807,충청남도,계룡시,농사용,549 ,"303,766 ","15,820,568 ",52.1 
201807,충청남도,계룡시,산업용,113 ,"4,346,130 ","599,838,457 ",138 
201807,충청남도,계룡시,심 야,309 ,"679,582 ","45,628,341 ",67.1 
201807,충청남도,계룡시,일반용,"1,695 ","8,478,646 ","1,586,445,443 ",187.1 
201807,충청남도,계룡시,주택용,"4,007 ","5,263,020 ","589,281,740 ",112 
201807,충청남도,계룡시,합계,"7,903 ","19,593,704 ","2,901,369,045 ",148.1 
201807,충청남도,공주시,가로등,"8,837 ","1,348,556 ","164,108,211 ",121.7 
201807,충청남도,공주시,교육용,78 ,"2,481,028 ","299,951,102 ",120.9 
201807,충청남도,공주시,농사용,"14,454 ","9,501,118 ","463,747,358 ",48.8 
201807,충청남도,공주시,산업용,"1,190 ","39,113,406 ","5,035,866,311 ",128.8 
201807,충청남도,공주시,심 야,"6,923 ","2,434,449 ","137,321,377 ",56.4 
