계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,경기도,전체(시 / 군 / 구),주택용,"2,914,548 ","1,512,210,014 ","171,932,642,075 ",113.7 
201807,경기도,전체(시 / 군 / 구),일반용,"664,069 ","2,519,429,420 ","361,374,622,294 ",143.4 
201807,경기도,전체(시 / 군 / 구),교육용,"4,462 ","126,559,146 ","15,629,457,474 ",123.5 
201807,경기도,전체(시 / 군 / 구),산업용,"127,159 ","5,809,205,814 ","706,973,346,456 ",121.7 
201807,경기도,전체(시 / 군 / 구),농사용,"219,375 ","177,540,197 ","8,716,256,257 ",49.1 
201807,경기도,전체(시 / 군 / 구),가로등,"338,601 ","61,051,677 ","7,564,081,905 ",123.9 
201807,경기도,전체(시 / 군 / 구),심 야,"147,457 ","90,261,088 ","5,658,369,297 ",62.7 
201808,경기도,전체(시 / 군 / 구),주택용,"2,920,309 ","2,253,653,300 ","282,613,044,695 ",125.4 
201808,경기도,전체(시 / 군 / 구),일반용,"665,968 ","3,025,131,059 ","418,176,846,149 ",138.2 
201808,경기도,전체(시 / 군 / 구),교육용,"4,463 ","130,481,726 ","16,538,852,597 ",126.8 
201808,경기도,전체(시 / 군 / 구),산업용,"127,418 ","5,875,658,625 ","712,445,499,834 ",121.3 
201808,경기도,전체(시 / 군 / 구),농사용,"220,221 ","254,830,836 ","11,626,589,339 ",45.6 
201808,경기도,전체(시 / 군 / 구),가로등,"339,594 ","65,375,911 ","7,829,494,929 ",119.8 
201808,경기도,전체(시 / 군 / 구),심 야,"147,022 ","81,841,663 ","5,341,231,074 ",65.3 
201809,경기도,전체(시 / 군 / 구),주택용,"2,927,764 ","1,670,568,127 ","154,490,780,028 ",92.5 
201809,경기도,전체(시 / 군 / 구),일반용,"667,520 ","2,493,186,997 ","312,074,474,263 ",125.2 
201809,경기도,전체(시 / 군 / 구),교육용,"4,459 ","130,786,501 ","14,726,489,032 ",112.6 
201809,경기도,전체(시 / 군 / 구),산업용,"127,621 ","5,516,127,552 ","549,227,558,348 ",99.6 
201809,경기도,전체(시 / 군 / 구),농사용,"221,009 ","214,109,010 ","10,335,061,884 ",48.3 
201809,경기도,전체(시 / 군 / 구),가로등,"345,437 ","68,389,456 ","7,994,795,610 ",116.9 
201809,경기도,전체(시 / 군 / 구),심 야,"146,639 ","68,560,619 ","4,229,011,833 ",61.7 
201810,경기도,전체(시 / 군 / 구),주택용,"2,932,860 ","1,333,130,825 ","132,324,535,798 ",99.3 
201810,경기도,전체(시 / 군 / 구),일반용,"668,205 ","2,003,793,824 ","234,661,737,756 ",117.1 
201810,경기도,전체(시 / 군 / 구),교육용,"4,458 ","95,389,327 ","9,444,119,463 ",99.0 
201810,경기도,전체(시 / 군 / 구),산업용,"127,724 ","5,344,592,154 ","516,519,287,541 ",96.6 
201810,경기도,전체(시 / 군 / 구),농사용,"221,467 ","170,564,677 ","8,639,909,926 ",50.7 
201810,경기도,전체(시 / 군 / 구),가로등,"346,246 ","72,728,372 ","8,180,711,019 ",112.5 
201810,경기도,전체(시 / 군 / 구),심 야,"146,302 ","111,721,631 ","6,358,341,551 ",56.9 
201811,경기도,전체(시 / 군 / 구),주택용,"2,940,444 ","1,433,188,617 ","150,938,835,094 ",105.3 
201811,경기도,전체(시 / 군 / 구),일반용,"670,596 ","2,132,248,656 ","280,281,559,004 ",131.4 
201811,경기도,전체(시 / 군 / 구),교육용,"4,457 ","122,309,002 ","13,148,322,552 ",107.5 
201811,경기도,전체(시 / 군 / 구),산업용,"127,929 ","5,547,740,704 ","648,304,366,841 ",116.9 
201811,경기도,전체(시 / 군 / 구),농사용,"282,461 ","243,242,999 ","10,760,022,638 ",44.2 
201811,경기도,전체(시 / 군 / 구),가로등,"343,768 ","78,281,538 ","8,616,926,850 ",110.1 
201811,경기도,전체(시 / 군 / 구),심 야,"145,963 ","234,969,306 ","15,030,693,905 ",64.0 
201812,경기도,전체(시 / 군 / 구),주택용,"2,947,261 ","1,506,160,550 ","164,235,497,284 ",109.0 
201812,경기도,전체(시 / 군 / 구),일반용,"673,272 ","2,538,392,803 ","339,819,385,013 ",133.9 
201812,경기도,전체(시 / 군 / 구),교육용,"4,457 ","176,724,410 ","17,866,911,242 ",101.1 
201812,경기도,전체(시 / 군 / 구),산업용,"128,140 ","5,814,780,402 ","682,068,379,738 ",117.3 
201812,경기도,전체(시 / 군 / 구),농사용,"239,352 ","246,249,557 ","11,518,716,058 ",46.8 
201812,경기도,전체(시 / 군 / 구),가로등,"344,754 ","80,462,955 ","8,702,690,303 ",108.2 
201812,경기도,전체(시 / 군 / 구),심 야,"145,547 ","350,113,721 ","26,437,176,836 ",75.5 
합계,합계,합계,합계,"26,726,778","61,781,744,768","7,079,356,631,785",114.6
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,경기도,가평군,가로등,"9,399 ","752,555 ","87,788,149 ",116.7 
201807,경기도,가평군,교육용,48 ,"843,027 ","104,234,510 ",123.6 
201807,경기도,가평군,농사용,"7,001 ","2,802,845 ","149,023,673 ",53.2 
201807,경기도,가평군,산업용,"1,139 ","7,745,186 ","1,107,901,681 ",143 
201807,경기도,가평군,심 야,"5,937 ","3,446,612 ","191,450,021 ",55.5 
201807,경기도,가평군,일반용,"10,189 ","25,139,435 ","3,863,856,952 ",153.7 
201807,경기도,가평군,주택용,"31,335 ","6,519,729 ","745,805,927 ",114.4 
201807,경기도,가평군,합계,"65,048 ","47,249,389 ","6,250,060,913 ",132.3 
201807,경기도,고양시,가로등,"17,328 ","3,240,438 ","417,955,865 ",129 
201807,경기도,고양시,교육용,342 ,"7,989,209 ","988,090,190 ",123.7 
201807,경기도,고양시,농사용,"12,311 ","7,339,306 ","437,489,229 ",59.6 
201807,경기도,고양시,산업용,"5,578 ","62,731,338 ","8,480,635,415 ",135.2 
201807,경기도,고양시,심 야,"5,929 ","6,126,195 ","428,681,373 ",70 
201807,경기도,고양시,일반용,"40,844 ","173,089,573 ","24,851,685,429 ",143.6 
201807,경기도,고양시,주택용,"153,651 ","117,054,970 ","13,631,708,002 ",116.5 
201807,경기도,고양시,합계,"235,983 ","377,571,029 ","49,236,245,503 ",130.4 
201807,경기도,과천시,가로등,675 ,"406,834 ","52,215,501 ",128.3 
201807,경기도,과천시,교육용,25 ,"1,488,282 ","184,594,012 ",124 
201807,경기도,과천시,농사용,"1,185 ","583,249 ","31,065,278 ",53.3 
201807,경기도,과천시,산업용,82 ,"4,045,814 ","475,299,650 ",117.5 
201807,경기도,과천시,심 야,253 ,"1,511,426 ","110,763,659 ",73.3 
201807,경기도,과천시,일반용,"2,378 ","20,446,507 ","2,822,325,588 ",138 
201807,경기도,과천시,주택용,"10,754 ","6,224,329 ","778,127,090 ",125 
201807,경기도,과천시,합계,"15,352 ","34,706,441 ","4,454,390,778 ",128.3 
201807,경기도,광명시,가로등,"4,394 ","1,154,124 ","136,760,291 ",118.5 
201807,경기도,광명시,교육용,87 ,"1,932,535 ","231,200,418 ",119.6 
201807,경기도,광명시,농사용,"1,503 ","541,951 ","28,891,060 ",53.3 
201807,경기도,광명시,산업용,"1,124 ","24,719,914 ","3,242,046,278 ",131.2 
201807,경기도,광명시,심 야,894 ,"526,462 ","36,129,611 ",68.6 
201807,경기도,광명시,일반용,"11,282 ","37,892,287 ","5,579,588,943 ",147.2 
201807,경기도,광명시,주택용,"59,692 ","32,556,778 ","3,554,146,938 ",109.2 
201807,경기도,광명시,합계,"78,976 ","99,324,051 ","12,808,763,539 ",129 
201807,경기도,광주시,가로등,"12,839 ","2,595,073 ","306,571,455 ",118.1 
201807,경기도,광주시,교육용,114 ,"1,996,504 ","264,411,896 ",132.4 
201807,경기도,광주시,농사용,"7,841 ","5,432,859 ","277,406,952 ",51.1 
201807,경기도,광주시,산업용,"7,798 ","91,442,033 ","12,502,924,682 ",136.7 
201807,경기도,광주시,심 야,"6,994 ","3,984,565 ","239,181,657 ",60 
201807,경기도,광주시,일반용,"26,045 ","59,711,798 ","8,883,580,063 ",148.8 
201807,경기도,광주시,주택용,"121,631 ","41,046,888 ","4,802,942,160 ",117 
201807,경기도,광주시,합계,"183,262 ","206,209,720 ","27,277,018,865 ",132.3 
201807,경기도,구리시,가로등,"3,299 ","678,075 ","87,104,063 ",128.5 
201807,경기도,구리시,교육용,60 ,"1,162,660 ","142,567,901 ",122.6 
201807,경기도,구리시,농사용,855 ,"589,503 ","29,986,729 ",50.9 
201807,경기도,구리시,산업용,"1,006 ","10,007,700 ","1,345,793,251 ",134.5 
201807,경기도,구리시,심 야,266 ,"113,628 ","7,412,575 ",65.2 
201807,경기도,구리시,일반용,"10,512 ","34,958,505 ","5,069,381,222 ",145 
201807,경기도,구리시,주택용,"37,700 ","22,869,724 ","2,585,546,612 ",113.1 
201807,경기도,구리시,합계,"53,698 ","70,379,795 ","9,267,792,353 ",131.7 
201807,경기도,군포시,가로등,"1,925 ","1,063,713 ","128,390,820 ",120.7 
201807,경기도,군포시,교육용,84 ,"1,744,771 ","217,430,251 ",124.6 
201807,경기도,군포시,농사용,765 ,"169,303 ","9,904,005 ",58.5 
201807,경기도,군포시,산업용,"1,665 ","57,073,937 ","7,679,619,174 ",134.6 
201807,경기도,군포시,심 야,362 ,"490,440 ","34,787,092 ",70.9 
201807,경기도,군포시,일반용,"9,068 ","38,225,699 ","5,557,012,717 ",145.4 
201807,경기도,군포시,주택용,"48,522 ","29,649,362 ","3,153,328,340 ",106.4 
201807,경기도,군포시,합계,"62,391 ","128,417,225 ","16,780,472,399 ",130.7 
201807,경기도,김포시,가로등,"13,600 ","2,244,037 ","282,228,466 ",125.8 
201807,경기도,김포시,교육용,143 ,"3,211,433 ","390,952,329 ",121.7 
201807,경기도,김포시,농사용,"9,414 ","8,037,897 ","368,836,836 ",45.9 
201807,경기도,김포시,산업용,"10,464 ","157,983,233 ","22,971,970,605 ",145.4 
201807,경기도,김포시,심 야,"5,212 ","2,183,584 ","122,873,398 ",56.3 
201807,경기도,김포시,일반용,"21,783 ","68,586,199 ","10,407,674,100 ",151.7 
201807,경기도,김포시,주택용,"58,267 ","48,830,632 ","5,556,321,081 ",113.8 
201807,경기도,김포시,합계,"118,883 ","291,077,015 ","40,100,856,815 ",137.8 
201807,경기도,남양주시,가로등,"18,271 ","3,417,654 ","431,318,856 ",126.2 
201807,경기도,남양주시,교육용,207 ,"4,297,339 ","559,197,706 ",130.1 
201807,경기도,남양주시,농사용,"11,295 ","4,656,679 ","252,788,048 ",54.3 
201807,경기도,남양주시,산업용,"7,701 ","72,060,026 ","9,555,924,734 ",132.6 
201807,경기도,남양주시,심 야,"6,012 ","2,775,889 ","156,259,502 ",56.3 
201807,경기도,남양주시,일반용,"36,252 ","87,644,804 ","12,995,268,993 ",148.3 
201807,경기도,남양주시,주택용,"106,036 ","72,743,656 ","8,037,411,349 ",110.5 
201807,경기도,남양주시,합계,"185,774 ","247,596,047 ","31,988,169,188 ",129.2 
201807,경기도,동두천시,가로등,"3,627 ","552,122 ","70,755,223 ",128.2 
201807,경기도,동두천시,교육용,41 ,"864,051 ","116,296,684 ",134.6 
201807,경기도,동두천시,농사용,"1,219 ","533,961 ","28,470,818 ",53.3 
201807,경기도,동두천시,산업용,609 ,"22,617,807 ","2,941,813,627 ",130.1 
201807,경기도,동두천시,심 야,949 ,"423,992 ","24,977,287 ",58.9 
201807,경기도,동두천시,일반용,"6,193 ","19,759,836 ","2,693,310,412 ",136.3 
201807,경기도,동두천시,주택용,"28,743 ","11,280,958 ","1,189,944,398 ",105.5 
201807,경기도,동두천시,합계,"41,381 ","56,032,727 ","7,065,568,449 ",126.1 
201807,경기도,부천시,가로등,"15,163 ","1,948,837 ","241,124,211 ",123.7 
201807,경기도,부천시,교육용,277 ,"6,813,172 ","848,083,131 ",124.5 
201807,경기도,부천시,농사용,811 ,"384,412 ","20,206,206 ",52.6 
201807,경기도,부천시,산업용,"6,268 ","140,402,707 ","18,444,965,882 ",131.4 
201807,경기도,부천시,심 야,992 ,"3,015,484 ","238,653,722 ",79.1 
201807,경기도,부천시,일반용,"36,220 ","118,344,424 ","17,347,808,710 ",146.6 
201807,경기도,부천시,주택용,"224,750 ","99,668,127 ","11,623,153,373 ",116.6 
201807,경기도,부천시,합계,"284,481 ","370,577,163 ","48,763,995,235 ",131.6 
201807,경기도,성남시,가로등,"13,904 ","4,978,782 ","578,694,724 ",116.2 
