계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,경상북도,전체(시 / 군 / 구),주택용,"1,021,134 ","264,831,103 ","30,050,943,524 ",113.5 
201307,경상북도,전체(시 / 군 / 구),일반용,"197,664 ","402,821,508 ","51,483,572,038 ",127.8 
201307,경상북도,전체(시 / 군 / 구),교육용,"2,400 ","46,116,431 ","5,673,957,457 ",123.0 
201307,경상북도,전체(시 / 군 / 구),산업용,"28,443 ","2,850,230,400 ","307,222,614,845 ",107.8 
201307,경상북도,전체(시 / 군 / 구),농사용,"272,235 ","120,668,982 ","5,691,514,283 ",47.2 
201307,경상북도,전체(시 / 군 / 구),가로등,"150,351 ","17,531,775 ","2,107,206,028 ",120.2 
201307,경상북도,전체(시 / 군 / 구),심 야,"83,860 ","34,666,312 ","1,848,775,492 ",53.3 
201308,경상북도,전체(시 / 군 / 구),주택용,"1,025,078 ","327,388,773 ","46,613,810,541 ",142.4 
201308,경상북도,전체(시 / 군 / 구),일반용,"196,993 ","471,328,736 ","65,387,355,990 ",138.7 
201308,경상북도,전체(시 / 군 / 구),교육용,"2,403 ","42,822,021 ","5,750,031,147 ",134.3 
201308,경상북도,전체(시 / 군 / 구),산업용,"28,515 ","2,705,877,714 ","293,088,652,265 ",108.3 
201308,경상북도,전체(시 / 군 / 구),농사용,"275,150 ","168,769,028 ","7,615,342,480 ",45.1 
201308,경상북도,전체(시 / 군 / 구),가로등,"150,847 ","18,854,559 ","2,148,843,056 ",114.0 
201308,경상북도,전체(시 / 군 / 구),심 야,"83,759 ","27,509,711 ","1,509,222,572 ",54.9 
201309,경상북도,전체(시 / 군 / 구),주택용,"1,028,342 ","285,590,042 ","34,807,405,606 ",121.9 
201309,경상북도,전체(시 / 군 / 구),일반용,"196,755 ","409,078,774 ","52,201,336,209 ",127.6 
201309,경상북도,전체(시 / 군 / 구),교육용,"2,400 ","41,996,286 ","4,768,973,406 ",113.6 
201309,경상북도,전체(시 / 군 / 구),산업용,"28,627 ","2,722,663,904 ","241,874,075,239 ",88.8 
201309,경상북도,전체(시 / 군 / 구),농사용,"277,699 ","177,079,711 ","7,926,916,102 ",44.8 
201309,경상북도,전체(시 / 군 / 구),가로등,"151,174 ","20,010,759 ","2,187,344,687 ",109.3 
201309,경상북도,전체(시 / 군 / 구),심 야,"83,690 ","29,238,435 ","1,583,753,471 ",54.2 
201310,경상북도,전체(시 / 군 / 구),주택용,"1,030,690 ","251,191,562 ","26,922,295,175 ",107.2 
201310,경상북도,전체(시 / 군 / 구),일반용,"197,048 ","340,330,793 ","39,569,163,700 ",116.3 
