계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,대전광역시,전체(시 / 군 / 구),주택용,"434,847 ","169,322,207 ","17,305,773,230 ",102.2 
201807,대전광역시,전체(시 / 군 / 구),일반용,"79,005 ","311,051,922 ","44,536,662,794 ",143.2 
201807,대전광역시,전체(시 / 군 / 구),교육용,622 ,"35,271,221 ","4,008,804,994 ",113.7 
201807,대전광역시,전체(시 / 군 / 구),산업용,"5,587 ","291,211,819 ","35,606,523,089 ",122.3 
201807,대전광역시,전체(시 / 군 / 구),농사용,"7,087 ","2,372,965 ","129,691,089 ",54.7 
201807,대전광역시,전체(시 / 군 / 구),가로등,"37,454 ","6,186,170 ","737,825,151 ",119.3 
201807,대전광역시,전체(시 / 군 / 구),심 야,"16,688 ","9,236,261 ","585,492,980 ",63.4 
201808,대전광역시,전체(시 / 군 / 구),주택용,"435,040 ","258,740,336 ","30,153,144,130 ",116.5 
201808,대전광역시,전체(시 / 군 / 구),일반용,"79,205 ","377,611,471 ","52,101,983,770 ",138.0 
201808,대전광역시,전체(시 / 군 / 구),교육용,624 ,"37,650,536 ","4,280,568,335 ",113.7 
201808,대전광역시,전체(시 / 군 / 구),산업용,"5,606 ","286,442,449 ","34,923,390,713 ",121.9 
201808,대전광역시,전체(시 / 군 / 구),농사용,"7,132 ","3,704,217 ","183,254,414 ",49.5 
201808,대전광역시,전체(시 / 군 / 구),가로등,"37,551 ","6,637,454 ","768,637,282 ",115.8 
201808,대전광역시,전체(시 / 군 / 구),심 야,"16,572 ","9,145,481 ","601,384,963 ",65.8 
201809,대전광역시,전체(시 / 군 / 구),주택용,"435,956 ","189,748,364 ","16,078,901,799 ",84.7 
201809,대전광역시,전체(시 / 군 / 구),일반용,"79,244 ","312,227,566 ","38,955,313,296 ",124.8 
201809,대전광역시,전체(시 / 군 / 구),교육용,625 ,"32,719,332 ","3,306,281,521 ",101.0 
201809,대전광역시,전체(시 / 군 / 구),산업용,"5,610 ","265,622,584 ","26,124,848,853 ",98.4 
201809,대전광역시,전체(시 / 군 / 구),농사용,"7,169 ","2,832,259 ","149,813,635 ",52.9 
201809,대전광역시,전체(시 / 군 / 구),가로등,"43,669 ","6,869,939 ","780,585,918 ",113.6 
201809,대전광역시,전체(시 / 군 / 구),심 야,"16,489 ","6,827,850 ","440,539,612 ",64.5 
201810,대전광역시,전체(시 / 군 / 구),주택용,"436,311 ","146,174,740 ","13,338,110,974 ",91.2 
201810,대전광역시,전체(시 / 군 / 구),일반용,"79,138 ","243,401,771 ","28,271,185,942 ",116.2 
201810,대전광역시,전체(시 / 군 / 구),교육용,625 ,"25,581,873 ","2,308,398,692 ",90.2 
201810,대전광역시,전체(시 / 군 / 구),산업용,"5,618 ","262,362,705 ","25,046,258,463 ",95.5 
201810,대전광역시,전체(시 / 군 / 구),농사용,"7,174 ","2,274,049 ","126,929,376 ",55.8 
201810,대전광역시,전체(시 / 군 / 구),가로등,"37,275 ","7,318,851 ","803,863,008 ",109.8 
201810,대전광역시,전체(시 / 군 / 구),심 야,"16,437 ","7,717,112 ","456,197,200 ",59.1 
201811,대전광역시,전체(시 / 군 / 구),주택용,"437,128 ","153,942,435 ","14,836,064,549 ",96.4 
201811,대전광역시,전체(시 / 군 / 구),일반용,"79,254 ","252,757,995 ","33,087,080,706 ",130.9 
201811,대전광역시,전체(시 / 군 / 구),교육용,626 ,"29,502,237 ","3,027,827,313 ",102.6 
201811,대전광역시,전체(시 / 군 / 구),산업용,"5,636 ","263,537,270 ","31,218,096,244 ",118.5 
201811,대전광역시,전체(시 / 군 / 구),농사용,"8,611 ","3,554,124 ","159,889,051 ",45.0 
201811,대전광역시,전체(시 / 군 / 구),가로등,"37,312 ","7,850,910 ","845,890,334 ",107.7 
201811,대전광역시,전체(시 / 군 / 구),심 야,"16,411 ","15,874,624 ","1,019,639,044 ",64.2 
201812,대전광역시,전체(시 / 군 / 구),주택용,"438,110 ","164,917,806 ","16,466,273,683 ",99.8 
201812,대전광역시,전체(시 / 군 / 구),일반용,"79,518 ","292,157,876 ","39,798,729,665 ",136.2 
201812,대전광역시,전체(시 / 군 / 구),교육용,625 ,"38,318,131 ","3,873,831,528 ",101.1 
201812,대전광역시,전체(시 / 군 / 구),산업용,"5,649 ","268,783,080 ","31,897,087,041 ",118.7 
201812,대전광역시,전체(시 / 군 / 구),농사용,"7,209 ","3,004,500 ","155,163,066 ",51.6 
201812,대전광역시,전체(시 / 군 / 구),가로등,"37,366 ","8,156,836 ","865,714,773 ",106.1 
201812,대전광역시,전체(시 / 군 / 구),심 야,"16,376 ","24,707,803 ","1,855,870,870 ",75.1 
합계,합계,합계,합계,"3,504,191","4,843,329,131","561,217,523,090",115.9
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,대전광역시,대덕구,가로등,"5,891 ","779,319 ","95,642,864 ",122.7 
201807,대전광역시,대덕구,교육용,76 ,"1,892,120 ","245,028,569 ",129.5 
201807,대전광역시,대덕구,농사용,747 ,"322,339 ","16,334,744 ",50.7 
201807,대전광역시,대덕구,산업용,"1,899 ","185,289,200 ","21,829,450,743 ",117.8 
201807,대전광역시,대덕구,심 야,"2,323 ","623,200 ","34,009,122 ",54.6 
201807,대전광역시,대덕구,일반용,"12,121 ","31,302,691 ","4,658,327,510 ",148.8 
201807,대전광역시,대덕구,주택용,"59,490 ","19,361,559 ","1,884,924,694 ",97.4 
201807,대전광역시,대덕구,합계,"82,547 ","239,570,428 ","28,763,718,246 ",120.1 
201807,대전광역시,동구,가로등,"8,356 ","917,415 ","111,735,296 ",121.8 
201807,대전광역시,동구,교육용,115 ,"4,083,496 ","511,403,955 ",125.2 
201807,대전광역시,동구,농사용,"1,531 ","264,270 ","15,995,926 ",60.5 
201807,대전광역시,동구,산업용,"1,380 ","7,024,571 ","950,857,739 ",135.4 
201807,대전광역시,동구,심 야,"4,748 ","1,229,068 ","70,538,801 ",57.4 
201807,대전광역시,동구,일반용,"14,202 ","33,404,742 ","4,983,445,240 ",149.2 
201807,대전광역시,동구,주택용,"90,420 ","25,685,320 ","2,474,127,706 ",96.3 
201807,대전광역시,동구,합계,"120,752 ","72,608,882 ","9,118,104,663 ",125.6 
201807,대전광역시,서구,가로등,"9,162 ","1,708,194 ","196,521,382 ",115 
201807,대전광역시,서구,교육용,176 ,"4,996,275 ","638,786,929 ",127.9 
201807,대전광역시,서구,농사용,"1,235 ","336,539 ","20,015,723 ",59.5 
201807,대전광역시,서구,산업용,710 ,"4,429,571 ","630,504,388 ",142.3 
201807,대전광역시,서구,심 야,"3,786 ","2,488,435 ","162,683,469 ",65.4 
201807,대전광역시,서구,일반용,"20,959 ","91,494,303 ","13,307,143,115 ",145.4 
201807,대전광역시,서구,주택용,"132,062 ","53,308,181 ","5,310,868,201 ",99.6 
201807,대전광역시,서구,합계,"168,090 ","158,761,498 ","20,266,523,207 ",127.7 
201807,대전광역시,유성구,가로등,"6,376 ","1,981,749 ","237,421,563 ",119.8 
201807,대전광역시,유성구,교육용,145 ,"21,887,261 ","2,317,344,211 ",105.9 
201807,대전광역시,유성구,농사용,"2,887 ","1,292,412 ","68,552,352 ",53 
201807,대전광역시,유성구,산업용,"1,016 ","91,657,518 ","11,788,928,628 ",128.6 
201807,대전광역시,유성구,심 야,"2,368 ","3,150,293 ","217,304,979 ",69 
201807,대전광역시,유성구,일반용,"16,089 ","107,870,366 ","14,734,795,913 ",136.6 
201807,대전광역시,유성구,주택용,"77,739 ","43,051,829 ","4,689,533,091 ",108.9 
201807,대전광역시,유성구,합계,"106,620 ","270,891,428 ","34,053,880,737 ",125.7 
201807,대전광역시,중구,가로등,"7,669 ","799,493 ","96,504,046 ",120.7 
201807,대전광역시,중구,교육용,110 ,"2,412,069 ","296,241,330 ",122.8 
201807,대전광역시,중구,농사용,687 ,"157,405 ","8,792,344 ",55.9 
