계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,서울특별시,전체(시 / 군 / 구),주택용,"2,585,501 ","1,253,151,526 ","175,042,637,125 ",139.7 
201301,서울특별시,전체(시 / 군 / 구),일반용,"522,641 ","2,493,398,154 ","301,403,657,867 ",120.9 
201301,서울특별시,전체(시 / 군 / 구),교육용,"5,477 ","186,674,692 ","20,001,241,862 ",107.1 
201301,서울특별시,전체(시 / 군 / 구),산업용,"45,391 ","465,978,880 ","49,716,106,260 ",106.7 
201301,서울특별시,전체(시 / 군 / 구),농사용,"1,870 ","1,856,428 ","88,206,583 ",47.5 
201301,서울특별시,전체(시 / 군 / 구),가로등,"120,056 ","36,557,139 ","3,425,041,285 ",93.7 
201301,서울특별시,전체(시 / 군 / 구),심 야,"20,448 ","48,692,244 ","3,531,837,512 ",72.5 
201302,서울특별시,전체(시 / 군 / 구),주택용,"2,588,402 ","1,211,925,566 ","167,124,444,447 ",137.9 
201302,서울특별시,전체(시 / 군 / 구),일반용,"522,896 ","2,278,326,455 ","289,232,259,407 ",126.9 
201302,서울특별시,전체(시 / 군 / 구),교육용,"5,488 ","170,870,731 ","19,141,349,545 ",112.0 
201302,서울특별시,전체(시 / 군 / 구),산업용,"45,432 ","446,448,535 ","48,793,347,653 ",109.3 
201302,서울특별시,전체(시 / 군 / 구),농사용,"1,863 ","1,704,540 ","81,695,854 ",47.9 
201302,서울특별시,전체(시 / 군 / 구),가로등,"120,171 ","34,124,522 ","3,472,504,435 ",101.8 
201302,서울특별시,전체(시 / 군 / 구),심 야,"20,389 ","46,013,205 ","3,473,446,928 ",75.5 
201303,서울특별시,전체(시 / 군 / 구),주택용,"2,591,293 ","1,055,373,798 ","128,721,178,986 ",122.0 
201303,서울특별시,전체(시 / 군 / 구),일반용,"522,627 ","1,977,299,640 ","229,674,485,727 ",116.2 
201303,서울특별시,전체(시 / 군 / 구),교육용,"5,479 ","144,939,378 ","15,039,410,293 ",103.8 
201303,서울특별시,전체(시 / 군 / 구),산업용,"45,494 ","406,164,106 ","40,462,546,247 ",99.6 
201303,서울특별시,전체(시 / 군 / 구),농사용,"2,018 ","1,473,545 ","69,289,138 ",47.0 
201303,서울특별시,전체(시 / 군 / 구),가로등,"132,429 ","31,236,172 ","3,227,074,070 ",103.3 
201303,서울특별시,전체(시 / 군 / 구),심 야,"20,324 ","36,289,053 ","2,456,910,680 ",67.7 
201304,서울특별시,전체(시 / 군 / 구),주택용,"2,594,782 ","1,104,487,338 ","139,000,704,396 ",125.9 
201304,서울특별시,전체(시 / 군 / 구),일반용,"522,587 ","1,917,767,295 ","207,977,099,247 ",108.4 
201304,서울특별시,전체(시 / 군 / 구),교육용,"5,480 ","142,510,852 ","13,770,998,102 ",96.6 
201304,서울특별시,전체(시 / 군 / 구),산업용,"45,569 ","410,040,042 ","38,807,310,378 ",94.6 
201304,서울특별시,전체(시 / 군 / 구),농사용,"1,870 ","1,395,680 ","66,179,718 ",47.4 
201304,서울특별시,전체(시 / 군 / 구),가로등,"132,633 ","30,004,423 ","3,218,957,587 ",107.3 
201304,서울특별시,전체(시 / 군 / 구),심 야,"20,223 ","32,187,901 ","1,924,652,709 ",59.8 
201305,서울특별시,전체(시 / 군 / 구),주택용,"2,597,364 ","1,031,804,672 ","124,295,757,232 ",120.5 
201305,서울특별시,전체(시 / 군 / 구),일반용,"522,223 ","1,819,355,698 ","201,360,906,112 ",110.7 
201305,서울특별시,전체(시 / 군 / 구),교육용,"5,475 ","117,056,953 ","12,286,269,068 ",105.0 
201305,서울특별시,전체(시 / 군 / 구),산업용,"45,694 ","408,013,370 ","38,143,239,613 ",93.5 
201305,서울특별시,전체(시 / 군 / 구),농사용,"1,874 ","1,350,079 ","64,670,446 ",47.9 
201305,서울특별시,전체(시 / 군 / 구),가로등,"135,579 ","27,359,915 ","3,032,230,417 ",110.8 
201305,서울특별시,전체(시 / 군 / 구),심 야,"20,105 ","34,915,080 ","2,296,138,024 ",65.8 
201306,서울특별시,전체(시 / 군 / 구),주택용,"2,600,806 ","1,071,977,762 ","133,963,721,317 ",125.0 
201306,서울특별시,전체(시 / 군 / 구),일반용,"522,496 ","2,023,300,459 ","215,163,609,249 ",106.3 
201306,서울특별시,전체(시 / 군 / 구),교육용,"5,489 ","124,680,654 ","12,734,444,112 ",102.1 
201306,서울특별시,전체(시 / 군 / 구),산업용,"45,760 ","411,267,448 ","39,562,305,461 ",96.2 
201306,서울특별시,전체(시 / 군 / 구),농사용,"1,878 ","1,320,232 ","63,559,731 ",48.1 
201306,서울특별시,전체(시 / 군 / 구),가로등,"139,803 ","25,965,868 ","2,976,728,731 ",114.6 
201306,서울특별시,전체(시 / 군 / 구),심 야,"19,987 ","48,423,433 ","3,257,066,657 ",67.3 
합계,합계,합계,합계,"19,913,366","23,113,683,463","2,698,145,220,211",116.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,서울특별시,강남구,가로등,"11,897 ","2,637,796 ","246,894,338 ",93.6 
201301,서울특별시,강남구,교육용,203 ,"5,215,797 ","627,334,296 ",120.3 
201301,서울특별시,강남구,농사용,214 ,"185,163 ","9,706,464 ",52.4 
201301,서울특별시,강남구,산업용,999 ,"19,932,378 ","1,996,861,982 ",100.2 
201301,서울특별시,강남구,심 야,"1,103 ","2,780,273 ","213,828,277 ",76.9 
201301,서울특별시,강남구,일반용,"47,458 ","355,556,988 ","42,986,117,350 ",120.9 
201301,서울특별시,강남구,주택용,"132,987 ","78,800,307 ","12,411,718,611 ",157.5 
201301,서울특별시,강남구,합계,"194,861 ","465,108,702 ","58,492,461,318 ",125.8 
201301,서울특별시,강동구,가로등,964 ,"1,313,887 ","122,281,652 ",93.1 
201301,서울특별시,강동구,교육용,272 ,"3,923,208 ","481,928,692 ",122.8 
201301,서울특별시,강동구,농사용,517 ,"363,900 ","16,782,792 ",46.1 
201301,서울특별시,강동구,산업용,"1,251 ","7,894,846 ","1,419,082,076 ",179.7 
201301,서울특별시,강동구,심 야,545 ,"1,313,517 ","92,634,174 ",70.5 
201301,서울특별시,강동구,일반용,"19,490 ","73,188,625 ","8,861,576,684 ",121.1 
201301,서울특별시,강동구,주택용,"102,368 ","54,035,003 ","7,452,752,732 ",137.9 
201301,서울특별시,강동구,합계,"125,407 ","142,032,986 ","18,447,038,802 ",129.9 
201301,서울특별시,강북구,가로등,567 ,"717,954 ","64,911,438 ",90.4 
201301,서울특별시,강북구,교육용,226 ,"3,237,135 ","366,608,289 ",113.3 
201301,서울특별시,강북구,농사용,9 ,"5,203 ","243,130 ",46.7 
201301,서울특별시,강북구,산업용,"1,421 ","4,593,464 ","489,261,880 ",106.5 
201301,서울특별시,강북구,심 야,867 ,"1,935,927 ","134,076,005 ",69.3 
201301,서울특별시,강북구,일반용,"15,542 ","43,381,501 ","5,223,562,454 ",120.4 
201301,서울특별시,강북구,주택용,"106,448 ","38,655,494 ","5,226,320,026 ",135.2 
201301,서울특별시,강북구,합계,"125,080 ","92,526,678 ","11,504,983,222 ",124.3 
201301,서울특별시,강서구,가로등,"1,090 ","1,683,669 ","162,455,075 ",96.5 
201301,서울특별시,강서구,교육용,320 ,"4,788,308 ","568,428,001 ",118.7 
201301,서울특별시,강서구,농사용,154 ,"312,294 ","14,462,602 ",46.3 
201301,서울특별시,강서구,산업용,977 ,"25,145,258 ","2,459,096,895 ",97.8 
201301,서울특별시,강서구,심 야,807 ,"1,400,203 ","97,376,809 ",69.5 
201301,서울특별시,강서구,일반용,"21,812 ","98,654,593 ","11,735,612,014 ",119 
201301,서울특별시,강서구,주택용,"152,870 ","65,416,270 ","8,818,648,460 ",134.8 
201301,서울특별시,강서구,합계,"178,030 ","197,400,595 ","23,856,079,856 ",120.9 
201301,서울특별시,관악구,가로등,709 ,"971,320 ","89,522,006 ",92.2 
201301,서울특별시,관악구,교육용,214 ,"21,688,485 ","2,079,240,580 ",95.9 
201301,서울특별시,관악구,농사용,8 ,"3,969 ","162,287 ",40.9 
201301,서울특별시,관악구,산업용,"1,252 ","5,097,666 ","617,764,062 ",121.2 
201301,서울특별시,관악구,심 야,"1,448 ","2,423,432 ","168,876,169 ",69.7 
201301,서울특별시,관악구,일반용,"24,630 ","74,827,531 ","8,942,635,822 ",119.5 
201301,서울특별시,관악구,주택용,"189,516 ","60,611,322 ","7,720,563,172 ",127.4 
201301,서울특별시,관악구,합계,"217,777 ","165,623,725 ","19,618,764,098 ",118.5 
201301,서울특별시,광진구,가로등,701 ,"1,158,151 ","109,401,144 ",94.5 
201301,서울특별시,광진구,교육용,262 ,"8,652,263 ","900,598,382 ",104.1 
201301,서울특별시,광진구,농사용,6 ,"24,975 ","1,026,714 ",41.1 
201301,서울특별시,광진구,산업용,"1,584 ","36,137,857 ","3,587,709,379 ",99.3 
201301,서울특별시,광진구,심 야,"1,348 ","1,689,195 ","123,912,612 ",73.4 
201301,서울특별시,광진구,일반용,"19,801 ","66,387,603 ","8,066,653,848 ",121.5 
201301,서울특별시,광진구,주택용,"126,247 ","44,553,352 ","6,220,469,760 ",139.6 
201301,서울특별시,광진구,합계,"149,949 ","158,603,396 ","19,009,771,839 ",119.9 
201301,서울특별시,구로구,가로등,"9,656 ","1,297,345 ","121,617,765 ",93.7 
201301,서울특별시,구로구,교육용,230 ,"3,891,921 ","469,483,626 ",120.6 
201301,서울특별시,구로구,농사용,77 ,"35,169 ","1,746,338 ",49.7 
201301,서울특별시,구로구,산업용,"1,859 ","43,893,278 ","4,373,030,280 ",99.6 
201301,서울특별시,구로구,심 야,530 ,"1,512,649 ","109,463,859 ",72.4 
201301,서울특별시,구로구,일반용,"16,974 ","91,391,589 ","11,288,725,456 ",123.5 
201301,서울특별시,구로구,주택용,"90,133 ","53,350,507 ","6,979,042,807 ",130.8 
201301,서울특별시,구로구,합계,"119,459 ","195,372,458 ","23,343,110,131 ",119.5 
201301,서울특별시,금천구,가로등,"6,237 ","794,851 ","73,526,200 ",92.5 
201301,서울특별시,금천구,교육용,142 ,"1,845,482 ","229,553,958 ",124.4 
201301,서울특별시,금천구,농사용,5 ,"40,398 ","1,706,018 ",42.2 
201301,서울특별시,금천구,산업용,"2,360 ","32,815,152 ","3,882,659,290 ",118.3 
201301,서울특별시,금천구,심 야,358 ,"774,256 ","61,665,162 ",79.6 
201301,서울특별시,금천구,일반용,"12,705 ","94,832,967 ","11,610,104,130 ",122.4 
201301,서울특별시,금천구,주택용,"64,577 ","27,505,796 ","3,523,031,762 ",128.1 
201301,서울특별시,금천구,합계,"86,384 ","158,608,902 ","19,382,246,520 ",122.2 
201301,서울특별시,노원구,가로등,"1,144 ","1,658,821 ","159,229,573 ",96 
201301,서울특별시,노원구,교육용,279 ,"13,138,562 ","1,410,490,227 ",107.4 
201301,서울특별시,노원구,농사용,29 ,"8,241 ","429,995 ",52.2 
201301,서울특별시,노원구,산업용,885 ,"6,968,768 ","817,357,158 ",117.3 
201301,서울특별시,노원구,심 야,402 ,"1,715,174 ","118,536,647 ",69.1 
