계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,서울특별시,전체(시 / 군 / 구),주택용,"2,604,870 ","1,142,485,837 ","156,090,391,542 ",136.6 
201307,서울특별시,전체(시 / 군 / 구),일반용,"522,674 ","2,297,216,957 ","286,980,736,978 ",124.9 
201307,서울특별시,전체(시 / 군 / 구),교육용,"5,489 ","140,168,624 ","16,671,953,684 ",118.9 
201307,서울특별시,전체(시 / 군 / 구),산업용,"45,790 ","433,042,771 ","48,162,550,374 ",111.2 
201307,서울특별시,전체(시 / 군 / 구),농사용,"1,876 ","1,377,248 ","65,823,236 ",47.8 
201307,서울특별시,전체(시 / 군 / 구),가로등,"154,471 ","25,245,537 ","2,871,418,924 ",113.7 
201307,서울특별시,전체(시 / 군 / 구),심 야,"19,890 ","60,393,511 ","4,045,076,843 ",67.0 
201308,서울특별시,전체(시 / 군 / 구),주택용,"2,608,181 ","1,343,740,572 ","222,712,634,586 ",165.7 
201308,서울특별시,전체(시 / 군 / 구),일반용,"522,672 ","2,495,899,872 ","333,547,665,857 ",133.6 
201308,서울특별시,전체(시 / 군 / 구),교육용,"5,508 ","137,650,520 ","17,931,245,604 ",130.3 
201308,서울특별시,전체(시 / 군 / 구),산업용,"45,874 ","463,562,526 ","53,365,029,733 ",115.1 
201308,서울특별시,전체(시 / 군 / 구),농사용,"1,889 ","1,443,190 ","68,433,943 ",47.4 
201308,서울특별시,전체(시 / 군 / 구),가로등,"157,821 ","26,166,885 ","2,885,628,205 ",110.3 
201308,서울특별시,전체(시 / 군 / 구),심 야,"19,808 ","66,408,764 ","4,506,074,961 ",67.9 
201309,서울특별시,전체(시 / 군 / 구),주택용,"2,612,571 ","1,209,799,542 ","176,274,815,161 ",145.7 
201309,서울특별시,전체(시 / 군 / 구),일반용,"522,453 ","2,208,519,289 ","259,635,347,629 ",117.6 
201309,서울특별시,전체(시 / 군 / 구),교육용,"5,512 ","136,318,045 ","15,430,717,684 ",113.2 
