계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,울산광역시,전체(시 / 군 / 구),주택용,"328,315 ","131,409,532 ","14,333,926,028 ",109.1 
201807,울산광역시,전체(시 / 군 / 구),일반용,"71,880 ","183,576,250 ","27,609,244,285 ",150.4 
201807,울산광역시,전체(시 / 군 / 구),교육용,427 ,"18,663,562 ","2,082,981,428 ",111.6 
201807,울산광역시,전체(시 / 군 / 구),산업용,"6,417 ","2,568,387,292 ","273,497,427,413 ",106.5 
201807,울산광역시,전체(시 / 군 / 구),농사용,"14,097 ","6,226,291 ","325,832,174 ",52.3 
201807,울산광역시,전체(시 / 군 / 구),가로등,"34,990 ","4,902,358 ","608,391,688 ",124.1 
201807,울산광역시,전체(시 / 군 / 구),심 야,"6,919 ","4,432,864 ","283,905,950 ",64.0 
201808,울산광역시,전체(시 / 군 / 구),주택용,"328,449 ","191,715,022 ","22,560,617,116 ",117.7 
201808,울산광역시,전체(시 / 군 / 구),일반용,"71,971 ","229,557,840 ","32,761,794,577 ",142.7 
201808,울산광역시,전체(시 / 군 / 구),교육용,427 ,"18,398,719 ","2,102,475,603 ",114.3 
201808,울산광역시,전체(시 / 군 / 구),산업용,"6,425 ","2,624,043,924 ","277,922,625,225 ",105.9 
201808,울산광역시,전체(시 / 군 / 구),농사용,"14,188 ","9,105,973 ","440,409,050 ",48.4 
201808,울산광역시,전체(시 / 군 / 구),가로등,"35,012 ","5,341,043 ","634,895,426 ",118.9 
201808,울산광역시,전체(시 / 군 / 구),심 야,"6,889 ","3,712,167 ","254,324,300 ",68.5 
201809,울산광역시,전체(시 / 군 / 구),주택용,"328,805 ","144,993,450 ","13,116,890,631 ",90.5 
201809,울산광역시,전체(시 / 군 / 구),일반용,"71,924 ","194,518,512 ","25,417,162,920 ",130.7 
201809,울산광역시,전체(시 / 군 / 구),교육용,427 ,"16,898,407 ","1,684,410,385 ",99.7 
201809,울산광역시,전체(시 / 군 / 구),산업용,"6,452 ","2,549,221,323 ","207,450,419,685 ",81.4 
201809,울산광역시,전체(시 / 군 / 구),농사용,"14,250 ","8,116,380 ","404,651,356 ",49.9 
201809,울산광역시,전체(시 / 군 / 구),가로등,"35,074 ","5,544,246 ","641,052,115 ",115.6 
201809,울산광역시,전체(시 / 군 / 구),심 야,"6,869 ","3,141,990 ","199,293,974 ",63.4 
201810,울산광역시,전체(시 / 군 / 구),주택용,"329,132 ","117,183,430 ","11,588,142,566 ",98.9 
201810,울산광역시,전체(시 / 군 / 구),일반용,"71,853 ","151,674,462 ","18,344,932,317 ",120.9 
201810,울산광역시,전체(시 / 군 / 구),교육용,428 ,"13,043,240 ","1,170,876,487 ",89.8 
201810,울산광역시,전체(시 / 군 / 구),산업용,"6,464 ","2,535,957,900 ","208,311,746,128 ",82.1 
201810,울산광역시,전체(시 / 군 / 구),농사용,"14,268 ","6,292,834 ","332,606,948 ",52.9 
201810,울산광역시,전체(시 / 군 / 구),가로등,"35,113 ","5,917,557 ","652,674,815 ",110.3 
201810,울산광역시,전체(시 / 군 / 구),심 야,"6,835 ","4,560,859 ","253,439,987 ",55.6 
201811,울산광역시,전체(시 / 군 / 구),주택용,"329,654 ","122,539,286 ","12,618,761,053 ",103.0 
