계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,제주특별자치도,전체(시 / 군 / 구),주택용,"281,451 ","72,053,786 ","8,213,716,248 ",114.0 
201807,제주특별자치도,전체(시 / 군 / 구),일반용,"69,630 ","180,414,765 ","26,254,753,349 ",145.5 
201807,제주특별자치도,전체(시 / 군 / 구),교육용,348 ,"12,024,629 ","1,428,160,886 ",118.8 
201807,제주특별자치도,전체(시 / 군 / 구),산업용,"3,388 ","53,639,108 ","6,940,164,937 ",129.4 
201807,제주특별자치도,전체(시 / 군 / 구),농사용,"45,497 ","102,215,411 ","4,868,229,865 ",47.6 
201807,제주특별자치도,전체(시 / 군 / 구),가로등,"25,408 ","3,644,307 ","472,929,633 ",129.8 
201807,제주특별자치도,전체(시 / 군 / 구),심 야,"6,976 ","7,593,522 ","495,617,793 ",65.3 
201808,제주특별자치도,전체(시 / 군 / 구),주택용,"282,500 ","100,252,466 ","11,792,773,265 ",117.6 
201808,제주특별자치도,전체(시 / 군 / 구),일반용,"70,187 ","222,146,969 ","30,872,359,955 ",139.0 
201808,제주특별자치도,전체(시 / 군 / 구),교육용,347 ,"13,346,458 ","1,561,885,811 ",117.0 
201808,제주특별자치도,전체(시 / 군 / 구),산업용,"3,398 ","55,802,810 ","7,165,894,189 ",128.4 
201808,제주특별자치도,전체(시 / 군 / 구),농사용,"45,580 ","116,530,065 ","5,447,076,793 ",46.7 
201808,제주특별자치도,전체(시 / 군 / 구),가로등,"25,587 ","3,995,393 ","486,628,603 ",121.8 
201808,제주특별자치도,전체(시 / 군 / 구),심 야,"6,962 ","7,995,125 ","548,018,267 ",68.5 
201809,제주특별자치도,전체(시 / 군 / 구),주택용,"283,497 ","83,355,561 ","8,545,592,058 ",102.5 
201809,제주특별자치도,전체(시 / 군 / 구),일반용,"70,625 ","190,063,462 ","23,676,631,198 ",124.6 
201809,제주특별자치도,전체(시 / 군 / 구),교육용,347 ,"12,805,865 ","1,338,829,135 ",104.5 
201809,제주특별자치도,전체(시 / 군 / 구),산업용,"3,419 ","52,773,162 ","5,914,524,857 ",112.1 
201809,제주특별자치도,전체(시 / 군 / 구),농사용,"45,661 ","108,921,566 ","5,062,834,025 ",46.5 
201809,제주특별자치도,전체(시 / 군 / 구),가로등,"25,730 ","4,239,126 ","493,223,608 ",116.4 
201809,제주특별자치도,전체(시 / 군 / 구),심 야,"6,954 ","5,552,157 ","363,407,101 ",65.5 
201810,제주특별자치도,전체(시 / 군 / 구),주택용,"284,484 ","63,345,150 ","6,389,229,811 ",100.9 
201810,제주특별자치도,전체(시 / 군 / 구),일반용,"71,086 ","150,463,746 ","17,655,727,646 ",117.3 
201810,제주특별자치도,전체(시 / 군 / 구),교육용,345 ,"9,512,353 ","922,060,161 ",96.9 
