계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,충청남도,전체(시 / 군 / 구),주택용,"665,485 ","200,336,992 ","22,934,077,395 ",114.5 
201307,충청남도,전체(시 / 군 / 구),일반용,"142,049 ","312,142,246 ","40,103,442,081 ",128.5 
201307,충청남도,전체(시 / 군 / 구),교육용,"1,641 ","30,163,506 ","4,040,977,791 ",134.0 
201307,충청남도,전체(시 / 군 / 구),산업용,"18,007 ","3,014,953,399 ","325,980,337,667 ",108.1 
201307,충청남도,전체(시 / 군 / 구),농사용,"152,857 ","100,771,117 ","4,755,515,058 ",47.2 
201307,충청남도,전체(시 / 군 / 구),가로등,"115,878 ","10,864,658 ","1,313,317,794 ",120.9 
201307,충청남도,전체(시 / 군 / 구),심 야,"96,008 ","39,729,103 ","2,120,580,674 ",53.4 
201308,충청남도,전체(시 / 군 / 구),주택용,"667,342 ","237,584,174 ","32,462,803,104 ",136.6 
201308,충청남도,전체(시 / 군 / 구),일반용,"142,616 ","365,384,031 ","50,981,067,985 ",139.5 
201308,충청남도,전체(시 / 군 / 구),교육용,"1,639 ","30,212,635 ","4,368,329,489 ",144.6 
201308,충청남도,전체(시 / 군 / 구),산업용,"18,070 ","2,946,833,344 ","315,089,128,206 ",106.9 
201308,충청남도,전체(시 / 군 / 구),농사용,"154,455 ","140,853,871 ","6,340,636,706 ",45.0 
201308,충청남도,전체(시 / 군 / 구),가로등,"116,056 ","11,663,599 ","1,335,965,285 ",114.5 
201308,충청남도,전체(시 / 군 / 구),심 야,"95,905 ","34,444,410 ","1,857,926,256 ",53.9 
201309,충청남도,전체(시 / 군 / 구),주택용,"669,235 ","223,233,886 ","28,382,850,001 ",127.1 
201309,충청남도,전체(시 / 군 / 구),일반용,"143,088 ","323,174,253 ","41,373,031,604 ",128.0 
201309,충청남도,전체(시 / 군 / 구),교육용,"1,635 ","28,453,014 ","3,623,549,163 ",127.4 
201309,충청남도,전체(시 / 군 / 구),산업용,"18,144 ","2,906,755,768 ","248,274,206,800 ",85.4 
201309,충청남도,전체(시 / 군 / 구),농사용,"155,607 ","143,154,984 ","6,411,796,893 ",44.8 
201309,충청남도,전체(시 / 군 / 구),가로등,"116,377 ","12,368,637 ","1,363,234,633 ",110.2 
201309,충청남도,전체(시 / 군 / 구),심 야,"95,845 ","34,671,248 ","1,879,608,061 ",54.2 
201310,충청남도,전체(시 / 군 / 구),주택용,"670,925 ","191,986,739 ","20,973,825,081 ",109.2 
201310,충청남도,전체(시 / 군 / 구),일반용,"143,306 ","279,695,221 ","32,345,014,851 ",115.6 
201310,충청남도,전체(시 / 군 / 구),교육용,"1,630 ","25,599,131 ","3,092,874,037 ",120.8 
201310,충청남도,전체(시 / 군 / 구),산업용,"18,203 ","3,104,137,197 ","261,524,893,047 ",84.3 
201310,충청남도,전체(시 / 군 / 구),농사용,"156,048 ","102,909,396 ","5,063,636,955 ",49.2 
201310,충청남도,전체(시 / 군 / 구),가로등,"116,600 ","13,631,744 ","1,400,672,958 ",102.8 
201310,충청남도,전체(시 / 군 / 구),심 야,"95,806 ","58,250,960 ","3,080,591,062 ",52.9 
201311,충청남도,전체(시 / 군 / 구),주택용,"672,799 ","204,519,275 ","23,799,257,411 ",116.4 
201311,충청남도,전체(시 / 군 / 구),일반용,"143,987 ","299,777,922 ","37,898,595,821 ",126.4 
201311,충청남도,전체(시 / 군 / 구),교육용,"1,628 ","33,780,678 ","4,181,674,211 ",123.8 
201311,충청남도,전체(시 / 군 / 구),산업용,"18,246 ","3,065,227,401 ","331,919,822,754 ",108.3 
201311,충청남도,전체(시 / 군 / 구),농사용,"260,512 ","187,110,209 ","7,236,871,376 ",38.7 
201311,충청남도,전체(시 / 군 / 구),가로등,"116,782 ","14,580,219 ","1,453,783,530 ",99.7 
201311,충청남도,전체(시 / 군 / 구),심 야,"95,874 ","135,694,334 ","8,332,619,293 ",61.4 
201312,충청남도,전체(시 / 군 / 구),주택용,"675,005 ","212,345,847 ","26,086,389,498 ",122.8 
201312,충청남도,전체(시 / 군 / 구),일반용,"145,189 ","354,635,478 ","47,543,043,124 ",134.1 
201312,충청남도,전체(시 / 군 / 구),교육용,"1,072 ","46,115,065 ","5,185,251,518 ",112.4 
201312,충청남도,전체(시 / 군 / 구),산업용,"18,321 ","3,120,490,951 ","343,616,192,471 ",110.1 
201312,충청남도,전체(시 / 군 / 구),농사용,"156,196 ","137,980,172 ","6,693,708,220 ",48.5 
201312,충청남도,전체(시 / 군 / 구),가로등,"117,098 ","15,109,226 ","1,506,624,539 ",99.7 
