년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207,충청북도,괴산군,일반용,"2,845 ","4,852,055 ",16.056965576334285
201208,충청북도,괴산군,일반용,"2,891 ","6,088,290 ",18.33895644982426
201209,충청북도,괴산군,일반용,"2,906 ","4,592,379 ",14.631706655688696
201210,충청북도,괴산군,일반용,"2,914 ","4,224,914 ",13.629125023331278
201211,충청북도,괴산군,일반용,"2,936 ","5,129,735 ",13.310747141252616
201212,충청북도,괴산군,일반용,"2,953 ","6,373,763 ",13.963499055237987
201207,충청북도,괴산군,합계,"38,063 ","30,217,758 ",
201208,충청북도,괴산군,합계,"38,263 ","33,198,672 ",
201209,충청북도,괴산군,합계,"38,399 ","31,386,489 ",
201210,충청북도,괴산군,합계,"38,500 ","30,999,158 ",
201211,충청북도,괴산군,합계,"41,194 ","38,538,295 ",
201212,충청북도,괴산군,합계,"38,642 ","45,645,887 ",
201207,충청북도,단양군,일반용,"3,072 ","5,329,603 ",4.172468238731813
201208,충청북도,단양군,일반용,"3,075 ","6,084,182 ",5.388441471014334
201209,충청북도,단양군,일반용,"3,086 ","5,289,213 ",4.042172691369434
201210,충청북도,단양군,일반용,"3,089 ","4,771,142 ",3.991503395458581
201211,충청북도,단양군,일반용,"3,101 ","5,279,752 ",3.941613216664762
201212,충청북도,단양군,일반용,"3,104 ","6,430,253 ",4.782771175412448
201207,충청북도,단양군,합계,"29,324 ","127,732,620 ",
201208,충청북도,단양군,합계,"29,442 ","112,911,721 ",
201209,충청북도,단양군,합계,"29,514 ","130,850,743 ",
201210,충청북도,단양군,합계,"29,545 ","119,532,455 ",
201211,충청북도,단양군,합계,"29,672 ","133,949,013 ",
201212,충청북도,단양군,합계,"29,570 ","134,446,177 ",
201207,충청북도,보은군,일반용,"2,669 ","3,965,726 ",23.224978919796367
201208,충청북도,보은군,일반용,"2,668 ","5,008,355 ",24.944534966566582
201209,충청북도,보은군,일반용,"2,672 ","4,131,618 ",21.638024184036993
201210,충청북도,보은군,일반용,"2,679 ","3,734,620 ",20.484414929990198
201211,충청북도,보은군,일반용,"2,679 ","4,554,653 ",18.142746292104935
201212,충청북도,보은군,일반용,"2,681 ","5,308,587 ",18.67148962491022
201207,충청북도,보은군,합계,"35,461 ","17,075,262 ",
201208,충청북도,보은군,합계,"35,609 ","20,077,965 ",
201209,충청북도,보은군,합계,"35,711 ","19,094,248 ",
201210,충청북도,보은군,합계,"35,800 ","18,231,519 ",
201211,충청북도,보은군,합계,"39,140 ","25,104,540 ",
201212,충청북도,보은군,합계,"35,887 ","28,431,513 ",
201207,충청북도,영동군,일반용,"3,597 ","5,273,323 ",19.471604123739358
201208,충청북도,영동군,일반용,"3,613 ","6,508,689 ",22.304618194988688
201209,충청북도,영동군,일반용,"3,623 ","5,886,628 ",20.120171532994537
201210,충청북도,영동군,일반용,"3,641 ","4,856,144 ",17.343619194559924
201211,충청북도,영동군,일반용,"3,661 ","5,548,326 ",16.331178488144918
201212,충청북도,영동군,일반용,"3,674 ","6,653,549 ",17.129197945211633
201207,충청북도,영동군,합계,"48,246 ","27,082,119 ",
201208,충청북도,영동군,합계,"48,374 ","29,180,903 ",
201209,충청북도,영동군,합계,"48,745 ","29,257,345 ",
201210,충청북도,영동군,합계,"49,693 ","27,999,600 ",
201211,충청북도,영동군,합계,"50,887 ","33,973,825 ",
201212,충청북도,영동군,합계,"49,867 ","38,843,319 ",
201207,충청북도,옥천군,일반용,"3,555 ","6,324,607 ",14.623788395870504
201208,충청북도,옥천군,일반용,"3,571 ","7,590,472 ",16.608675942192185
201209,충청북도,옥천군,일반용,"3,589 ","6,695,877 ",15.216354700289006
201210,충청북도,옥천군,일반용,"3,592 ","5,655,699 ",13.76912414872351
201211,충청북도,옥천군,일반용,"3,612 ","6,683,833 ",13.541298213032753
201212,충청북도,옥천군,일반용,"3,643 ","8,239,359 ",14.615231806651835
201207,충청북도,옥천군,합계,"43,307 ","43,248,759 ",
201208,충청북도,옥천군,합계,"43,435 ","45,701,849 ",
201209,충청북도,옥천군,합계,"43,640 ","44,004,475 ",
