계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,강원도,전체(시 / 군 / 구),주택용,"507,057 ","181,710,905 ","23,478,724,174 ",129.2 
201201,강원도,전체(시 / 군 / 구),일반용,"118,121 ","393,935,328 ","43,701,800,435 ",110.9 
201201,강원도,전체(시 / 군 / 구),교육용,"1,540 ","31,777,612 ","3,265,573,414 ",102.8 
201201,강원도,전체(시 / 군 / 구),산업용,"11,259 ","581,408,142 ","55,187,040,829 ",94.9 
201201,강원도,전체(시 / 군 / 구),농사용,"65,193 ","36,105,700 ","1,610,830,555 ",44.6 
201201,강원도,전체(시 / 군 / 구),가로등,"88,093 ","16,284,421 ","1,462,579,337 ",89.8 
201201,강원도,전체(시 / 군 / 구),심 야,"97,060 ","354,402,984 ","22,859,854,094 ",64.5 
201202,강원도,전체(시 / 군 / 구),주택용,"506,645 ","183,887,448 ","24,063,667,910 ",130.9 
201202,강원도,전체(시 / 군 / 구),일반용,"118,756 ","380,390,372 ","43,491,008,041 ",114.3 
201202,강원도,전체(시 / 군 / 구),교육용,"1,541 ","29,958,084 ","3,185,361,617 ",106.3 
201202,강원도,전체(시 / 군 / 구),산업용,"11,258 ","537,959,873 ","53,040,030,542 ",98.6 
201202,강원도,전체(시 / 군 / 구),농사용,"65,176 ","37,079,696 ","1,651,201,516 ",44.5 
201202,강원도,전체(시 / 군 / 구),가로등,"88,331 ","15,650,134 ","1,462,281,408 ",93.4 
201202,강원도,전체(시 / 군 / 구),심 야,"97,045 ","361,172,341 ","23,287,034,141 ",64.5 
201203,강원도,전체(시 / 군 / 구),주택용,"507,036 ","165,417,318 ","19,326,785,961 ",116.8 
201203,강원도,전체(시 / 군 / 구),일반용,"118,828 ","325,480,053 ","34,588,423,108 ",106.3 
201203,강원도,전체(시 / 군 / 구),교육용,"1,543 ","29,738,692 ","2,851,395,594 ",95.9 
201203,강원도,전체(시 / 군 / 구),산업용,"11,271 ","614,494,922 ","48,282,035,458 ",78.6 
201203,강원도,전체(시 / 군 / 구),농사용,"88,005 ","34,953,679 ","1,570,654,493 ",44.9 
201203,강원도,전체(시 / 군 / 구),가로등,"88,438 ","14,827,596 ","1,495,070,728 ",100.8 
201203,강원도,전체(시 / 군 / 구),심 야,"97,005 ","287,015,826 ","16,502,787,950 ",57.5 
201204,강원도,전체(시 / 군 / 구),주택용,"507,443 ","167,439,497 ","19,614,726,230 ",117.1 
201204,강원도,전체(시 / 군 / 구),일반용,"119,314 ","298,915,849 ","29,469,258,321 ",98.6 
201204,강원도,전체(시 / 군 / 구),교육용,"1,539 ","28,387,919 ","2,503,181,086 ",88.2 
201204,강원도,전체(시 / 군 / 구),산업용,"11,282 ","602,629,232 ","46,754,679,507 ",77.6 
201204,강원도,전체(시 / 군 / 구),농사용,"66,002 ","32,445,801 ","1,477,797,471 ",45.5 
201204,강원도,전체(시 / 군 / 구),가로등,"88,596 ","14,660,213 ","1,443,687,452 ",98.5 
201204,강원도,전체(시 / 군 / 구),심 야,"96,880 ","238,400,841 ","11,151,120,103 ",46.8 
201205,강원도,전체(시 / 군 / 구),주택용,"507,754 ","152,061,588 ","16,274,622,866 ",107.0 
201205,강원도,전체(시 / 군 / 구),일반용,"119,655 ","264,209,735 ","27,324,730,945 ",103.4 
201205,강원도,전체(시 / 군 / 구),교육용,"1,531 ","19,213,284 ","2,000,127,329 ",104.1 
201205,강원도,전체(시 / 군 / 구),산업용,"11,329 ","623,123,684 ","49,511,573,284 ",79.5 
201205,강원도,전체(시 / 군 / 구),농사용,"66,736 ","28,290,097 ","1,320,243,346 ",46.7 
201205,강원도,전체(시 / 군 / 구),가로등,"88,868 ","13,704,971 ","1,391,950,275 ",101.6 
201205,강원도,전체(시 / 군 / 구),심 야,"96,795 ","129,989,571 ","6,080,486,596 ",46.8 
201206,강원도,전체(시 / 군 / 구),주택용,"508,421 ","151,143,915 ","16,084,066,371 ",106.4 
201206,강원도,전체(시 / 군 / 구),일반용,"120,075 ","271,076,322 ","27,478,361,557 ",101.4 
201206,강원도,전체(시 / 군 / 구),교육용,"1,529 ","18,273,428 ","1,955,075,758 ",107.0 
201206,강원도,전체(시 / 군 / 구),산업용,"11,364 ","623,503,577 ","50,719,881,243 ",81.3 
201206,강원도,전체(시 / 군 / 구),농사용,"67,743 ","30,949,460 ","1,380,413,919 ",44.6 
201206,강원도,전체(시 / 군 / 구),가로등,"89,235 ","13,034,711 ","1,364,651,233 ",104.7 
201206,강원도,전체(시 / 군 / 구),심 야,"96,705 ","78,388,911 ","3,678,062,301 ",46.9 
합계,합계,합계,합계,"5,367,997","8,413,493,732","745,342,838,498",88.6
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,강원도,강릉시,가로등,"10,492 ","2,274,478 ","200,144,679 ",88 
201201,강원도,강릉시,교육용,218 ,"4,302,508 ","456,853,556 ",106.2 
201201,강원도,강릉시,농사용,"3,268 ","4,100,456 ","169,731,586 ",41.4 
201201,강원도,강릉시,산업용,"1,055 ","67,835,314 ","6,193,199,217 ",91.3 
201201,강원도,강릉시,심 야,"9,578 ","29,228,771 ","1,894,649,631 ",64.8 
201201,강원도,강릉시,일반용,"15,817 ","43,600,925 ","5,009,076,532 ",114.9 
201201,강원도,강릉시,주택용,"74,728 ","26,661,302 ","3,512,050,178 ",131.7 
201201,강원도,강릉시,합계,"115,156 ","178,003,754 ","17,435,705,379 ",98 
201201,강원도,고성군,가로등,"2,605 ","443,823 ","39,250,211 ",88.4 
201201,강원도,고성군,교육용,45 ,"646,449 ","72,961,141 ",112.9 
201201,강원도,고성군,농사용,"2,233 ","1,152,535 ","51,024,586 ",44.3 
201201,강원도,고성군,산업용,418 ,"3,885,603 ","429,626,888 ",110.6 
201201,강원도,고성군,심 야,"2,913 ","9,694,214 ","621,552,694 ",64.1 
201201,강원도,고성군,일반용,"3,033 ","10,321,598 ","1,178,995,961 ",114.2 
201201,강원도,고성군,주택용,"13,565 ","3,223,485 ","416,517,763 ",129.2 
201201,강원도,고성군,합계,"24,812 ","29,367,707 ","2,809,929,244 ",95.7 
201201,강원도,동해시,가로등,"4,002 ","805,673 ","69,672,431 ",86.5 
201201,강원도,동해시,교육용,87 ,"1,078,167 ","121,477,204 ",112.7 
201201,강원도,동해시,농사용,819 ,"206,679 ","10,270,215 ",49.7 
201201,강원도,동해시,산업용,574 ,"225,523,039 ","20,106,260,669 ",89.2 
201201,강원도,동해시,심 야,"2,858 ","9,289,559 ","601,068,763 ",64.7 
201201,강원도,동해시,일반용,"6,017 ","17,588,274 ","2,011,876,424 ",114.4 
201201,강원도,동해시,주택용,"29,832 ","10,836,592 ","1,357,711,457 ",125.3 
201201,강원도,동해시,합계,"44,189 ","265,327,983 ","24,278,337,163 ",91.5 
201201,강원도,삼척시,가로등,"5,827 ","866,707 ","75,220,315 ",86.8 
201201,강원도,삼척시,교육용,81 ,"1,639,415 ","168,671,281 ",102.9 
201201,강원도,삼척시,농사용,"2,587 ","920,719 ","43,884,433 ",47.7 
201201,강원도,삼척시,산업용,460 ,"77,381,181 ","7,049,673,159 ",91.1 
201201,강원도,삼척시,심 야,"2,547 ","8,368,803 ","534,819,370 ",63.9 
201201,강원도,삼척시,일반용,"5,063 ","12,958,400 ","1,528,880,856 ",118 
201201,강원도,삼척시,주택용,"29,494 ","7,889,791 ","977,581,051 ",123.9 
201201,강원도,삼척시,합계,"46,059 ","110,025,016 ","10,378,730,465 ",94.3 
