계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,경상남도,전체(시 / 군 / 구),주택용,"1,016,960 ","376,746,193 ","49,138,896,605 ",130.4 
201201,경상남도,전체(시 / 군 / 구),일반용,"190,671 ","541,163,825 ","62,471,441,822 ",115.4 
201201,경상남도,전체(시 / 군 / 구),교육용,"2,768 ","41,456,462 ","4,607,332,649 ",111.1 
201201,경상남도,전체(시 / 군 / 구),산업용,"33,413 ","1,628,175,832 ","178,049,900,550 ",109.4 
201201,경상남도,전체(시 / 군 / 구),농사용,"138,034 ","202,018,158 ","8,322,020,622 ",41.2 
201201,경상남도,전체(시 / 군 / 구),가로등,"121,372 ","23,336,264 ","2,090,822,111 ",89.6 
201201,경상남도,전체(시 / 군 / 구),심 야,"101,752 ","231,620,767 ","15,031,243,159 ",64.9 
201202,경상남도,전체(시 / 군 / 구),주택용,"1,018,534 ","379,441,385 ","49,725,911,656 ",131.1 
201202,경상남도,전체(시 / 군 / 구),일반용,"192,530 ","533,242,916 ","62,623,838,948 ",117.4 
201202,경상남도,전체(시 / 군 / 구),교육용,"2,768 ","40,976,856 ","4,717,124,194 ",115.1 
201202,경상남도,전체(시 / 군 / 구),산업용,"33,463 ","1,715,068,047 ","182,832,821,313 ",106.6 
201202,경상남도,전체(시 / 군 / 구),농사용,"138,257 ","201,946,768 ","8,394,156,415 ",41.6 
201202,경상남도,전체(시 / 군 / 구),가로등,"121,755 ","21,956,180 ","2,060,154,246 ",93.8 
201202,경상남도,전체(시 / 군 / 구),심 야,"101,701 ","237,349,925 ","15,384,806,919 ",64.8 
201203,경상남도,전체(시 / 군 / 구),주택용,"1,020,538 ","343,045,648 ","40,585,701,338 ",118.3 
201203,경상남도,전체(시 / 군 / 구),일반용,"193,253 ","472,201,606 ","51,696,030,353 ",109.5 
201203,경상남도,전체(시 / 군 / 구),교육용,"2,763 ","40,232,942 ","4,101,130,884 ",101.9 
201203,경상남도,전체(시 / 군 / 구),산업용,"33,582 ","1,736,505,311 ","154,679,152,449 ",89.1 
201203,경상남도,전체(시 / 군 / 구),농사용,"163,299 ","169,712,622 ","7,191,859,076 ",42.4 
201203,경상남도,전체(시 / 군 / 구),가로등,"121,596 ","20,495,442 ","1,967,255,449 ",96.0 
201203,경상남도,전체(시 / 군 / 구),심 야,"101,606 ","194,090,334 ","11,152,556,032 ",57.5 
201204,경상남도,전체(시 / 군 / 구),주택용,"1,023,640 ","345,906,376 ","40,836,786,204 ",118.1 
201204,경상남도,전체(시 / 군 / 구),일반용,"193,901 ","440,100,836 ","43,976,244,221 ",99.9 
201204,경상남도,전체(시 / 군 / 구),교육용,"2,751 ","36,029,730 ","3,640,872,819 ",101.1 
201204,경상남도,전체(시 / 군 / 구),산업용,"33,695 ","1,647,354,069 ","144,758,193,853 ",87.9 
201204,경상남도,전체(시 / 군 / 구),농사용,"140,251 ","137,337,075 ","6,018,180,300 ",43.8 
201204,경상남도,전체(시 / 군 / 구),가로등,"122,094 ","19,858,822 ","1,991,097,487 ",100.3 
201204,경상남도,전체(시 / 군 / 구),심 야,"101,478 ","158,436,597 ","7,462,274,892 ",47.1 
201205,경상남도,전체(시 / 군 / 구),주택용,"1,026,173 ","317,325,548 ","34,440,133,674 ",108.5 
201205,경상남도,전체(시 / 군 / 구),일반용,"194,262 ","394,392,694 ","41,103,845,830 ",104.2 
201205,경상남도,전체(시 / 군 / 구),교육용,"2,746 ","27,968,929 ","3,190,102,035 ",114.1 
201205,경상남도,전체(시 / 군 / 구),산업용,"33,753 ","1,605,697,999 ","142,742,028,195 ",88.9 
201205,경상남도,전체(시 / 군 / 구),농사용,"141,869 ","88,810,182 ","4,192,817,383 ",47.2 
201205,경상남도,전체(시 / 군 / 구),가로등,"123,805 ","18,471,168 ","1,911,948,017 ",103.5 
201205,경상남도,전체(시 / 군 / 구),심 야,"101,330 ","88,781,557 ","4,188,809,135 ",47.2 
201206,경상남도,전체(시 / 군 / 구),주택용,"1,028,807 ","314,815,515 ","33,929,732,798 ",107.8 
201206,경상남도,전체(시 / 군 / 구),일반용,"194,863 ","415,466,695 ","42,459,120,658 ",102.2 
201206,경상남도,전체(시 / 군 / 구),교육용,"2,743 ","27,191,651 ","3,162,066,729 ",116.3 
201206,경상남도,전체(시 / 군 / 구),산업용,"33,773 ","1,648,675,822 ","145,035,961,762 ",88.0 
201206,경상남도,전체(시 / 군 / 구),농사용,"143,575 ","85,167,915 ","3,909,266,385 ",45.9 
201206,경상남도,전체(시 / 군 / 구),가로등,"125,240 ","17,941,018 ","1,911,214,657 ",106.5 
201206,경상남도,전체(시 / 군 / 구),심 야,"101,137 ","51,886,504 ","2,472,779,925 ",47.7 
합계,합계,합계,합계,"9,722,501","17,038,400,185","1,630,157,633,749",95.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,경상남도,거제시,가로등,"7,655 ","1,008,092 ","90,202,279 ",89.5 
201201,경상남도,거제시,교육용,188 ,"2,159,975 ","250,546,170 ",116 
201201,경상남도,거제시,농사용,"3,915 ","5,812,784 ","241,876,717 ",41.6 
201201,경상남도,거제시,산업용,"1,527 ","90,422,453 ","9,811,949,803 ",108.5 
201201,경상남도,거제시,심 야,"4,249 ","14,639,351 ","950,728,598 ",64.9 
201201,경상남도,거제시,일반용,"14,526 ","39,449,220 ","4,612,513,650 ",116.9 
201201,경상남도,거제시,주택용,"64,893 ","28,128,482 ","3,904,753,352 ",138.8 
201201,경상남도,거제시,합계,"96,953 ","181,620,357 ","19,862,570,569 ",109.4 
201201,경상남도,거창군,가로등,"5,006 ","595,931 ","53,130,101 ",89.2 
201201,경상남도,거창군,교육용,85 ,"1,167,391 ","124,872,077 ",107 
201201,경상남도,거창군,농사용,"8,243 ","5,712,921 ","245,758,942 ",43 
201201,경상남도,거창군,산업용,709 ,"8,245,825 ","939,981,187 ",114 
201201,경상남도,거창군,심 야,"2,727 ","7,167,071 ","467,473,870 ",65.2 
201201,경상남도,거창군,일반용,"4,342 ","9,817,053 ","1,129,170,519 ",115 
201201,경상남도,거창군,주택용,"27,116 ","7,415,175 ","885,675,180 ",119.4 
201201,경상남도,거창군,합계,"48,228 ","40,121,367 ","3,846,061,876 ",95.9 
201201,경상남도,고성군,가로등,"5,014 ","641,723 ","54,845,080 ",85.5 
201201,경상남도,고성군,교육용,64 ,"580,970 ","65,412,479 ",112.6 
201201,경상남도,고성군,농사용,"5,771 ","9,018,506 ","373,436,533 ",41.4 
201201,경상남도,고성군,산업용,912 ,"22,602,438 ","2,705,522,695 ",119.7 
201201,경상남도,고성군,심 야,"2,839 ","7,207,013 ","467,732,237 ",64.9 
201201,경상남도,고성군,일반용,"4,014 ","8,566,332 ","998,297,298 ",116.5 
201201,경상남도,고성군,주택용,"27,187 ","6,611,632 ","869,691,621 ",131.5 
201201,경상남도,고성군,합계,"45,801 ","55,228,614 ","5,534,937,943 ",100.2 
201201,경상남도,김해시,가로등,"9,920 ","3,228,707 ","294,348,805 ",91.2 
201201,경상남도,김해시,교육용,361 ,"5,426,189 ","623,171,284 ",114.8 
201201,경상남도,김해시,농사용,"7,371 ","17,847,483 ","712,476,519 ",39.9 
201201,경상남도,김해시,산업용,"8,125 ","290,641,357 ","32,019,582,391 ",110.2 
201201,경상남도,김해시,심 야,"7,563 ","19,716,773 ","1,284,864,499 ",65.2 
201201,경상남도,김해시,일반용,"25,315 ","78,999,512 ","9,136,794,362 ",115.7 
201201,경상남도,김해시,주택용,"107,257 ","57,589,415 ","7,531,026,730 ",130.8 
201201,경상남도,김해시,합계,"165,912 ","473,449,436 ","51,602,264,590 ",109 
201201,경상남도,남해군,가로등,"3,838 ","339,952 ","28,072,631 ",82.6 
201201,경상남도,남해군,교육용,57 ,"559,867 ","62,907,886 ",112.4 
201201,경상남도,남해군,농사용,"8,330 ","3,154,181 ","141,871,930 ",45 
201201,경상남도,남해군,산업용,841 ,"1,866,637 ","214,876,929 ",115.1 
201201,경상남도,남해군,심 야,"2,149 ","5,614,179 ","363,701,366 ",64.8 
201201,경상남도,남해군,일반용,"4,099 ","8,324,444 ","972,250,260 ",116.8 
201201,경상남도,남해군,주택용,"25,483 ","5,385,037 ","700,490,670 ",130.1 
201201,경상남도,남해군,합계,"44,797 ","25,244,297 ","2,484,171,672 ",98.4 
201201,경상남도,밀양시,가로등,"6,644 ","1,062,741 ","96,498,900 ",90.8 
201201,경상남도,밀양시,교육용,127 ,"1,672,081 ","178,593,820 ",106.8 
201201,경상남도,밀양시,농사용,"18,927 ","30,430,132 ","1,248,109,155 ",41 
201201,경상남도,밀양시,산업용,"1,259 ","31,678,636 ","3,410,327,813 ",107.7 
201201,경상남도,밀양시,심 야,"4,906 ","11,563,428 ","747,801,718 ",64.7 
201201,경상남도,밀양시,일반용,"8,040 ","16,155,286 ","1,864,469,789 ",115.4 
201201,경상남도,밀양시,주택용,"46,306 ","12,005,224 ","1,568,948,256 ",130.7 
201201,경상남도,밀양시,합계,"86,209 ","104,567,528 ","9,114,749,451 ",87.2 
201201,경상남도,사천시,가로등,"6,833 ","996,862 ","90,942,518 ",91.2 
201201,경상남도,사천시,교육용,128 ,"930,524 ","115,724,044 ",124.4 
201201,경상남도,사천시,농사용,"5,175 ","5,790,102 ","245,211,210 ",42.4 
201201,경상남도,사천시,산업용,"1,136 ","63,871,659 ","6,861,511,462 ",107.4 
201201,경상남도,사천시,심 야,"3,066 ","9,073,785 ","589,203,268 ",64.9 
201201,경상남도,사천시,일반용,"8,311 ","19,841,386 ","2,307,747,748 ",116.3 
201201,경상남도,사천시,주택용,"41,761 ","12,952,835 ","1,655,961,152 ",127.8 
201201,경상남도,사천시,합계,"66,410 ","113,457,153 ","11,866,301,402 ",104.6 
201201,경상남도,산청군,가로등,"2,723 ","360,922 ","33,155,177 ",91.9 
201201,경상남도,산청군,교육용,55 ,"492,633 ","58,081,392 ",117.9 
201201,경상남도,산청군,농사용,"8,089 ","7,415,359 ","318,584,058 ",43 
201201,경상남도,산청군,산업용,818 ,"4,273,570 ","487,489,124 ",114.1 
201201,경상남도,산청군,심 야,"2,087 ","5,962,811 ","383,353,120 ",64.3 
201201,경상남도,산청군,일반용,"2,844 ","5,261,230 ","621,945,264 ",118.2 
201201,경상남도,산청군,주택용,"18,421 ","3,492,418 ","428,600,399 ",122.7 
201201,경상남도,산청군,합계,"35,037 ","27,258,943 ","2,331,208,534 ",85.5 
201201,경상남도,양산시,가로등,"4,489 ","1,854,104 ","167,971,333 ",90.6 
201201,경상남도,양산시,교육용,177 ,"3,287,642 ","370,987,919 ",112.8 
201201,경상남도,양산시,농사용,"2,941 ","3,765,496 ","156,751,161 ",41.6 
201201,경상남도,양산시,산업용,"3,025 ","189,960,115 ","19,618,698,582 ",103.3 
201201,경상남도,양산시,심 야,"3,001 ","10,991,460 ","714,244,479 ",65 
201201,경상남도,양산시,일반용,"14,062 ","45,726,452 ","5,230,944,900 ",114.4 
201201,경상남도,양산시,주택용,"57,815 ","30,499,191 ","3,811,434,595 ",125 
201201,경상남도,양산시,합계,"85,510 ","286,084,460 ","30,071,032,969 ",105.1 
201201,경상남도,의령군,가로등,"4,274 ","376,055 ","28,855,561 ",76.7 
201201,경상남도,의령군,교육용,38 ,"360,497 ","43,338,827 ",120.2 
201201,경상남도,의령군,농사용,"5,000 ","7,207,757 ","291,607,235 ",40.5 
201201,경상남도,의령군,산업용,631 ,"18,734,969 ","1,988,294,258 ",106.1 
201201,경상남도,의령군,심 야,"1,612 ","4,065,446 ","256,531,069 ",63.1 
201201,경상남도,의령군,일반용,"2,013 ","3,924,621 ","456,483,074 ",116.3 
201201,경상남도,의령군,주택용,"15,788 ","2,941,186 ","361,086,255 ",122.8 
201201,경상남도,의령군,합계,"29,356 ","37,610,531 ","3,426,196,279 ",91.1 
201201,경상남도,진주시,가로등,"13,510 ","1,771,135 ","161,893,072 ",91.4 
201201,경상남도,진주시,교육용,270 ,"8,094,912 ","822,521,636 ",101.6 
201201,경상남도,진주시,농사용,"13,490 ","31,630,149 ","1,287,647,885 ",40.7 
201201,경상남도,진주시,산업용,"1,977 ","77,736,395 ","7,864,219,052 ",101.2 
201201,경상남도,진주시,심 야,"11,078 ","24,299,210 ","1,575,960,880 ",64.9 
201201,경상남도,진주시,일반용,"21,925 ","57,500,751 ","6,585,458,908 ",114.5 
201201,경상남도,진주시,주택용,"107,042 ","39,491,657 ","5,204,734,349 ",131.8 
201201,경상남도,진주시,합계,"169,292 ","240,524,209 ","23,502,435,782 ",97.7 
201201,경상남도,창녕군,가로등,"5,468 ","555,342 ","47,179,244 ",85 
201201,경상남도,창녕군,교육용,69 ,"625,664 ","72,414,343 ",115.7 
201201,경상남도,창녕군,농사용,"9,380 ","22,894,253 ","920,401,876 ",40.2 
201201,경상남도,창녕군,산업용,857 ,"19,890,482 ","2,293,513,987 ",115.3 
201201,경상남도,창녕군,심 야,"2,069 ","5,435,280 ","356,605,505 ",65.6 
201201,경상남도,창녕군,일반용,"4,790 ","11,974,531 ","1,380,206,566 ",115.3 
201201,경상남도,창녕군,주택용,"30,675 ","6,907,892 ","887,226,225 ",128.4 
201201,경상남도,창녕군,합계,"53,308 ","68,283,444 ","5,957,547,746 ",87.2 
201201,경상남도,창원시,가로등,"23,930 ","7,329,398 ","655,991,939 ",89.5 
201201,경상남도,창원시,교육용,802 ,"12,808,167 ","1,424,365,365 ",111.2 
201201,경상남도,창원시,농사용,"9,087 ","14,695,083 ","600,997,524 ",40.9 
201201,경상남도,창원시,산업용,"5,957 ","609,883,662 ","63,116,755,483 ",103.5 
201201,경상남도,창원시,심 야,"41,555 ","70,283,756 ","4,574,323,203 ",65.1 
201201,경상남도,창원시,일반용,"52,332 ","177,962,556 ","20,442,192,276 ",114.9 
201201,경상남도,창원시,주택용,"298,711 ","124,515,853 ","16,222,168,963 ",130.3 
201201,경상남도,창원시,합계,"432,374 ","1,017,478,475 ","107,036,794,753 ",105.2 
201201,경상남도,통영시,가로등,"7,223 ","839,676 ","75,627,852 ",90.1 
201201,경상남도,통영시,교육용,109 ,"1,119,946 ","136,730,052 ",122.1 
201201,경상남도,통영시,농사용,"2,515 ","9,679,357 ","392,906,871 ",40.6 
201201,경상남도,통영시,산업용,"1,220 ","56,940,426 ","5,589,934,269 ",98.2 
201201,경상남도,통영시,심 야,"2,614 ","7,608,996 ","493,346,458 ",64.8 
201201,경상남도,통영시,일반용,"9,532 ","27,025,147 ","3,152,917,910 ",116.7 
201201,경상남도,통영시,주택용,"50,896 ","16,898,265 ","2,322,393,430 ",137.4 
201201,경상남도,통영시,합계,"74,109 ","120,111,813 ","12,163,856,842 ",101.3 
201201,경상남도,하동군,가로등,"5,250 ","374,027 ","33,739,200 ",90.2 
201201,경상남도,하동군,교육용,57 ,"448,802 ","55,546,859 ",123.8 
201201,경상남도,하동군,농사용,"8,652 ","7,262,816 ","314,307,972 ",43.3 
201201,경상남도,하동군,산업용,870 ,"4,433,104 ","783,804,870 ",176.8 
201201,경상남도,하동군,심 야,"2,799 ","6,844,380 ","444,137,506 ",64.9 
201201,경상남도,하동군,일반용,"3,644 ","7,121,892 ","846,337,017 ",118.8 
201201,경상남도,하동군,주택용,"24,344 ","4,930,251 ","622,766,934 ",126.3 
201201,경상남도,하동군,합계,"45,616 ","31,415,272 ","3,100,640,358 ",98.7 
201201,경상남도,함안군,가로등,"3,498 ","891,026 ","81,151,562 ",91.1 
201201,경상남도,함안군,교육용,75 ,"731,177 ","85,989,218 ",117.6 
201201,경상남도,함안군,농사용,"7,114 ","8,352,329 ","346,215,180 ",41.5 
201201,경상남도,함안군,산업용,"1,904 ","117,423,844 ","18,206,024,680 ",155 
201201,경상남도,함안군,심 야,"3,390 ","8,523,095 ","552,744,187 ",64.9 
201201,경상남도,함안군,일반용,"4,489 ","10,281,755 ","1,191,663,795 ",115.9 
201201,경상남도,함안군,주택용,"25,678 ","7,501,927 ","981,073,779 ",130.8 
201201,경상남도,함안군,합계,"46,148 ","153,705,153 ","21,444,862,401 ",139.5 
201201,경상남도,함양군,가로등,"3,543 ","539,793 ","48,828,097 ",90.5 
201201,경상남도,함양군,교육용,46 ,"473,653 ","53,794,208 ",113.6 
201201,경상남도,함양군,농사용,"6,288 ","4,412,375 ","186,740,002 ",42.3 
201201,경상남도,함양군,산업용,683 ,"12,820,516 ","1,410,990,140 ",110.1 
201201,경상남도,함양군,심 야,"1,746 ","5,282,551 ","335,908,864 ",63.6 
201201,경상남도,함양군,일반용,"3,064 ","5,705,199 ","682,029,968 ",119.5 
201201,경상남도,함양군,주택용,"20,608 ","4,450,526 ","554,152,740 ",124.5 
201201,경상남도,함양군,합계,"35,978 ","33,684,613 ","3,272,444,019 ",97.1 
201201,경상남도,합천군,가로등,"2,554 ","570,778 ","48,388,760 ",84.8 
201201,경상남도,합천군,교육용,60 ,"516,372 ","62,335,070 ",120.7 
201201,경상남도,합천군,농사용,"7,746 ","6,937,075 ","297,119,852 ",42.8 
201201,경상남도,합천군,산업용,962 ,"6,749,744 ","726,423,825 ",107.6 
201201,경상남도,합천군,심 야,"2,302 ","7,342,182 ","472,582,332 ",64.4 
201201,경상남도,합천군,일반용,"3,329 ","7,526,458 ","860,018,518 ",114.3 
201201,경상남도,합천군,주택용,"26,979 ","5,029,227 ","626,711,975 ",124.6 
201201,경상남도,합천군,합계,"43,932 ","34,671,836 ","3,093,580,332 ",89.2 
201202,경상남도,거제시,가로등,"7,660 ","949,638 ","88,097,660 ",92.8 
201202,경상남도,거제시,교육용,189 ,"2,120,171 ","259,238,816 ",122.3 
