계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,서울특별시,전체(시 / 군 / 구),주택용,"2,536,783 ","1,204,661,945 ","163,333,653,587 ",135.6 
201201,서울특별시,전체(시 / 군 / 구),일반용,"517,240 ","2,412,395,180 ","271,828,800,081 ",112.7 
201201,서울특별시,전체(시 / 군 / 구),교육용,"5,455 ","167,717,649 ","17,090,375,928 ",101.9 
201201,서울특별시,전체(시 / 군 / 구),산업용,"44,673 ","476,003,025 ","45,226,651,491 ",95.0 
201201,서울특별시,전체(시 / 군 / 구),농사용,"1,893 ","1,800,227 ","79,077,491 ",43.9 
201201,서울특별시,전체(시 / 군 / 구),가로등,"91,777 ","37,623,397 ","3,334,324,757 ",88.6 
201201,서울특별시,전체(시 / 군 / 구),심 야,"21,381 ","49,132,628 ","3,356,835,139 ",68.3 
201202,서울특별시,전체(시 / 군 / 구),주택용,"2,540,552 ","1,209,164,347 ","163,439,923,152 ",135.2 
201202,서울특별시,전체(시 / 군 / 구),일반용,"517,564 ","2,368,392,037 ","272,378,485,306 ",115.0 
201202,서울특별시,전체(시 / 군 / 구),교육용,"5,457 ","169,996,970 ","17,676,917,593 ",104.0 
201202,서울특별시,전체(시 / 군 / 구),산업용,"44,774 ","463,841,697 ","45,391,576,807 ",97.9 
201202,서울특별시,전체(시 / 군 / 구),농사용,"1,879 ","1,842,309 ","82,034,108 ",44.5 
201202,서울특별시,전체(시 / 군 / 구),가로등,"100,295 ","35,768,707 ","3,249,093,682 ",90.8 
201202,서울특별시,전체(시 / 군 / 구),심 야,"21,299 ","49,782,886 ","3,398,127,038 ",68.3 
201203,서울특별시,전체(시 / 군 / 구),주택용,"2,544,117 ","1,095,407,233 ","133,690,207,174 ",122.0 
201203,서울특별시,전체(시 / 군 / 구),일반용,"517,663 ","2,087,412,088 ","215,167,735,105 ",103.1 
201203,서울특별시,전체(시 / 군 / 구),교육용,"5,457 ","151,848,458 ","14,575,072,186 ",96.0 
201203,서울특별시,전체(시 / 군 / 구),산업용,"44,875 ","427,809,208 ","37,762,695,052 ",88.3 
201203,서울특별시,전체(시 / 군 / 구),농사용,"2,015 ","1,614,218 ","71,610,218 ",44.4 
201203,서울특별시,전체(시 / 군 / 구),가로등,"107,868 ","32,219,815 ","3,014,753,438 ",93.6 
201203,서울특별시,전체(시 / 군 / 구),심 야,"21,210 ","41,226,861 ","2,512,898,440 ",61.0 
201204,서울특별시,전체(시 / 군 / 구),주택용,"2,548,181 ","1,113,920,047 ","136,944,750,843 ",122.9 
201204,서울특별시,전체(시 / 군 / 구),일반용,"518,079 ","1,953,932,624 ","187,323,374,755 ",95.9 
201204,서울특별시,전체(시 / 군 / 구),교육용,"5,460 ","140,496,923 ","12,730,052,390 ",90.6 
201204,서울특별시,전체(시 / 군 / 구),산업용,"44,931 ","417,451,527 ","34,511,175,769 ",82.7 
201204,서울특별시,전체(시 / 군 / 구),농사용,"1,874 ","1,488,962 ","68,774,626 ",46.2 
201204,서울특별시,전체(시 / 군 / 구),가로등,"109,548 ","30,829,836 ","3,003,777,583 ",97.4 
201204,서울특별시,전체(시 / 군 / 구),심 야,"21,125 ","37,394,871 ","2,033,195,825 ",54.4 
201205,서울특별시,전체(시 / 군 / 구),주택용,"2,551,389 ","1,032,064,696 ","120,167,722,644 ",116.4 
201205,서울특별시,전체(시 / 군 / 구),일반용,"518,002 ","1,871,457,650 ","182,334,282,647 ",97.4 
201205,서울특별시,전체(시 / 군 / 구),교육용,"5,469 ","114,046,741 ","11,272,339,644 ",98.8 
201205,서울특별시,전체(시 / 군 / 구),산업용,"45,144 ","397,270,311 ","33,503,504,292 ",84.3 
201205,서울특별시,전체(시 / 군 / 구),농사용,"1,880 ","1,372,570 ","61,515,156 ",44.8 
201205,서울특별시,전체(시 / 군 / 구),가로등,"109,575 ","27,860,709 ","2,806,100,152 ",100.7 
201205,서울특별시,전체(시 / 군 / 구),심 야,"21,010 ","39,585,074 ","2,379,684,037 ",60.1 
201206,서울특별시,전체(시 / 군 / 구),주택용,"2,556,085 ","1,068,539,469 ","128,258,534,272 ",120.0 
201206,서울특별시,전체(시 / 군 / 구),일반용,"518,212 ","2,051,520,353 ","193,899,984,290 ",94.5 
201206,서울특별시,전체(시 / 군 / 구),교육용,"5,468 ","125,960,871 ","11,923,367,304 ",94.7 
201206,서울특별시,전체(시 / 군 / 구),산업용,"45,205 ","414,217,747 ","34,733,406,838 ",83.9 
201206,서울특별시,전체(시 / 군 / 구),농사용,"1,888 ","1,431,219 ","63,758,762 ",44.5 
201206,서울특별시,전체(시 / 군 / 구),가로등,"112,739 ","26,317,205 ","2,732,424,116 ",103.8 
201206,서울특별시,전체(시 / 군 / 구),심 야,"20,930 ","48,571,495 ","2,977,245,417 ",61.3 
합계,합계,합계,합계,"19,456,421","23,401,391,785","2,520,389,819,135",107.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,서울특별시,강남구,가로등,"11,764 ","2,731,902 ","242,956,603 ",88.9 
201201,서울특별시,강남구,교육용,203 ,"4,669,267 ","525,272,341 ",112.5 
201201,서울특별시,강남구,농사용,259 ,"180,338 ","8,619,098 ",47.8 
201201,서울특별시,강남구,산업용,984 ,"19,421,936 ","1,830,418,379 ",94.2 
201201,서울특별시,강남구,심 야,"1,145 ","2,755,921 ","201,819,143 ",73.2 
