년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201201-201206,인천광역시,강화군,일반용,6512,78949091,27.28
201201-201206,인천광역시,강화군,합계,10147,289384404,
201201-201206,인천광역시,계양구,일반용,11978,233243273,34.77
201201-201206,인천광역시,계양구,합계,15851,670733259,
201201-201206,인천광역시,남구,일반용,20356,309456173,27.58
201201-201206,인천광역시,남구,합계,29575,1122221267,
201201-201206,인천광역시,남동구,일반용,20128,428545050,21.14
201201-201206,인천광역시,남동구,합계,22416,2027098916,
201201-201206,인천광역시,동구,일반용,3703,56587567,2.64
201201-201206,인천광역시,동구,합계,3946,2139490160,
201201-201206,인천광역시,부평구,일반용,21805,399526145,31.47
201201-201206,인천광역시,부평구,합계,26018,1269418734,
201201-201206,인천광역시,서구,일반용,17951,341111978,15.32
201201-201206,인천광역시,서구,합계,21480,2225902422,
201201-201206,인천광역시,연수구,일반용,7639,243454661,30.92
201201-201206,인천광역시,연수구,합계,8905,787353142,
201201-201206,인천광역시,옹진군,일반용,2993,45153190,43.39
201201-201206,인천광역시,옹진군,합계,2946,104056364,
201201-201206,인천광역시,중구,일반용,8973,416012005,50.23
201201-201206,인천광역시,중구,합계,6804,828199347,
