계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,제주특별자치도,전체(시 / 군 / 구),주택용,"195,361 ","60,187,810 ","8,241,345,113 ",136.9 
201201,제주특별자치도,전체(시 / 군 / 구),일반용,"40,832 ","120,692,465 ","14,141,411,968 ",117.2 
201201,제주특별자치도,전체(시 / 군 / 구),교육용,733 ,"10,219,134 ","1,125,756,479 ",110.2 
201201,제주특별자치도,전체(시 / 군 / 구),산업용,"3,000 ","39,153,640 ","4,191,198,558 ",107.0 
201201,제주특별자치도,전체(시 / 군 / 구),농사용,"35,890 ","97,982,453 ","3,990,796,782 ",40.7 
201201,제주특별자치도,전체(시 / 군 / 구),가로등,"14,514 ","4,319,910 ","375,645,081 ",87.0 
201201,제주특별자치도,전체(시 / 군 / 구),심 야,"7,988 ","23,411,783 ","1,515,177,372 ",64.7 
201202,제주특별자치도,전체(시 / 군 / 구),주택용,"196,339 ","60,962,807 ","8,398,329,850 ",137.8 
201202,제주특별자치도,전체(시 / 군 / 구),일반용,"41,007 ","119,271,170 ","14,193,139,027 ",119.0 
201202,제주특별자치도,전체(시 / 군 / 구),교육용,726 ,"9,894,433 ","1,126,706,729 ",113.9 
201202,제주특별자치도,전체(시 / 군 / 구),산업용,"3,001 ","37,310,206 ","4,084,517,824 ",109.5 
201202,제주특별자치도,전체(시 / 군 / 구),농사용,"35,992 ","102,476,860 ","4,155,283,062 ",40.5 
201202,제주특별자치도,전체(시 / 군 / 구),가로등,"14,595 ","3,927,413 ","370,608,218 ",94.4 
201202,제주특별자치도,전체(시 / 군 / 구),심 야,"7,979 ","24,163,777 ","1,561,420,369 ",64.6 
201203,제주특별자치도,전체(시 / 군 / 구),주택용,"197,276 ","55,674,664 ","6,892,901,057 ",123.8 
201203,제주특별자치도,전체(시 / 군 / 구),일반용,"41,389 ","110,772,847 ","11,994,061,202 ",108.3 
201203,제주특별자치도,전체(시 / 군 / 구),교육용,720 ,"9,541,550 ","964,472,425 ",101.1 
