년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201201-201206,충청남도,계룡시,일반용,1467,53673502,47.18
201201-201206,충청남도,계룡시,합계,1029,113765162,
201201-201206,충청남도,공주시,일반용,9009,127450917,22.19
201201-201206,충청남도,공주시,합계,14085,574280547,
201201-201206,충청남도,금산군,일반용,4641,51325591,10.76
201201-201206,충청남도,금산군,합계,7588,476851057,
201201-201206,충청남도,논산시,일반용,8904,112790398,18.03
201201-201206,충청남도,논산시,합계,14762,625703626,
201201-201206,충청남도,당진시,일반용,11447,147227844,2.91
201201-201206,충청남도,당진시,합계,16695,5062044987,
201201-201206,충청남도,보령시,일반용,9261,110648192,21.63
201201-201206,충청남도,보령시,합계,11878,511471437,
201201-201206,충청남도,부여군,일반용,4637,50295060,17.03
201201-201206,충청남도,부여군,합계,10478,295356510,
201201-201206,충청남도,서산시,일반용,10768,154438260,5.19
201201-201206,충청남도,서산시,합계,15402,2975665230,
201201-201206,충청남도,서천군,일반용,4463,47051553,7.23
201201-201206,충청남도,서천군,합계,8153,650865081,
201201-201206,충청남도,아산시,일반용,15120,264009372,4.85
201201-201206,충청남도,아산시,합계,19111,5446582270,
201201-201206,충청남도,연기군,일반용,5897,98923850,11.77
201201-201206,충청남도,연기군,합계,8903,840172760,
201201-201206,충청남도,예산군,일반용,6210,75136430,17.42
201201-201206,충청남도,예산군,합계,10713,431342974,
201201-201206,충청남도,천안시,일반용,32936,585460071,14.93
201201-201206,충청남도,천안시,합계,37819,3921475714,
201201-201206,충청남도,청양군,일반용,2454,22453869,15.52
201201-201206,충청남도,청양군,합계,5762,144648173,
201201-201206,충청남도,태안군,일반용,7531,82556874,29.55
201201-201206,충청남도,태안군,합계,9127,279378718,
201201-201206,충청남도,홍성군,일반용,6490,77317296,20.06
201201-201206,충청남도,홍성군,합계,11180,385435703,
