년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207,강원도,강릉시,일반용,"16,205 ","34,530,914 ",23.239733996417474
201208,강원도,강릉시,일반용,"16,272 ","42,030,483 ",28.461476594909698
201209,강원도,강릉시,일반용,"16,344 ","36,690,466 ",29.78688747208083
201210,강원도,강릉시,일반용,"16,431 ","31,690,515 ",24.208582061840687
201211,강원도,강릉시,일반용,"16,539 ","34,694,500 ",24.29133158394017
201212,강원도,강릉시,일반용,"16,637 ","39,909,152 ",24.45790410183578
201207,강원도,강릉시,합계,"116,209 ","148,585,668 ",
201208,강원도,강릉시,합계,"116,448 ","147,674,991 ",
201209,강원도,강릉시,합계,"116,810 ","123,176,569 ",
201210,강원도,강릉시,합계,"117,059 ","130,906,118 ",
201211,강원도,강릉시,합계,"117,473 ","142,826,670 ",
201212,강원도,강릉시,합계,"117,416 ","163,174,865 ",
201207,강원도,고성군,일반용,"3,120 ","8,763,807 ",45.885338997187446
201208,강원도,고성군,일반용,"3,163 ","10,414,016 ",50.39559318459445
201209,강원도,고성군,일반용,"3,176 ","8,666,668 ",43.527039679276754
201210,강원도,고성군,일반용,"3,185 ","8,079,070 ",41.39051879970892
201211,강원도,고성군,일반용,"3,202 ","8,581,720 ",38.1181915699282
201212,강원도,고성군,일반용,"3,263 ","9,859,342 ",37.037673434094046
201207,강원도,고성군,합계,"24,967 ","19,099,362 ",
201208,강원도,고성군,합계,"25,093 ","20,664,537 ",
201209,강원도,고성군,합계,"25,194 ","19,910,998 ",
201210,강원도,고성군,합계,"25,236 ","19,519,132 ",
201211,강원도,고성군,합계,"26,269 ","22,513,450 ",
201212,강원도,고성군,합계,"25,352 ","26,619,766 ",
201207,강원도,동해시,일반용,"6,130 ","14,140,153 ",5.4121304617977035
201208,강원도,동해시,일반용,"6,182 ","16,874,020 ",7.086342789184408
201209,강원도,동해시,일반용,"6,216 ","15,029,276 ",6.078413597885862
201210,강원도,동해시,일반용,"6,215 ","13,247,357 ",5.090492174846313
201211,강원도,동해시,일반용,"6,233 ","14,938,390 ",5.8283604595371745
201212,강원도,동해시,일반용,"6,269 ","17,259,732 ",6.469597226309411
201207,강원도,동해시,합계,"44,429 ","261,267,778 ",
201208,강원도,동해시,합계,"44,539 ","238,120,290 ",
201209,강원도,동해시,합계,"44,745 ","247,256,554 ",
201210,강원도,동해시,합계,"44,765 ","260,237,253 ",
201211,강원도,동해시,합계,"45,011 ","256,305,184 ",
201212,강원도,동해시,합계,"44,890 ","266,782,172 ",
201207,강원도,삼척시,일반용,"5,191 ","10,464,113 ",11.162182856064321
