년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,경기도,가평군,일반용,8101,122319176,43.83
201207-201212,경기도,가평군,합계,9115,279071015,
201207-201212,경기도,고양시,일반용,37155,925718098,43.28
201207-201212,경기도,고양시,합계,34248,2139087996,
201207-201212,경기도,과천시,일반용,2070,126761921,59.76
201207-201212,경기도,과천시,합계,2263,212105016,
201207-201212,경기도,광명시,일반용,10689,219981208,36.65
201207-201212,경기도,광명시,합계,12962,600218827,
201207-201212,경기도,광주시,일반용,21072,254852780,24.19
201207-201212,경기도,광주시,합계,21234,1053559697,
201207-201212,경기도,구리시,일반용,9790,178547333,46.79
201207-201212,경기도,구리시,합계,8153,381574320,
201207-201212,경기도,군포시,일반용,8095,174030566,23.68
201207-201212,경기도,군포시,합계,9202,734924836,
201207-201212,경기도,김포시,일반용,16069,241240735,18.53
201207-201212,경기도,김포시,합계,14836,1302121037,
201207-201212,경기도,남양주시,일반용,28182,381483140,30.22
201207-201212,경기도,남양주시,합계,25097,1262536092,
201207-201212,경기도,동두천시,일반용,5757,112980941,37.26
201207-201212,경기도,동두천시,합계,6037,303190220,
201207-201212,경기도,부천시,일반용,33853,663414594,31.23
201207-201212,경기도,부천시,합계,42988,2124069658,
201207-201212,경기도,성남시,일반용,32056,1143627334,48.07
201207-201212,경기도,성남시,합계,44607,2379327677,
201207-201212,경기도,수원시,일반용,46988,1238339509,49.73
201207-201212,경기도,수원시,합계,53986,2490271763,
201207-201212,경기도,시흥시,일반용,21059,335890502,16.59
201207-201212,경기도,시흥시,합계,22900,2025090873,
201207-201212,경기도,안산시,일반용,27471,570022064,13.93
201207-201212,경기도,안산시,합계,45032,4092156214,
201207-201212,경기도,안성시,일반용,12772,195871942,15.89
201207-201212,경기도,안성시,합계,17952,1232638453,
201207-201212,경기도,안양시,일반용,23739,561916678,43.73
201207-201212,경기도,안양시,합계,23019,1285020180,
201207-201212,경기도,양주시,일반용,12449,190609698,19.66
201207-201212,경기도,양주시,합계,12349,969727310,
201207-201212,경기도,양평군,일반용,9989,109283436,28.09
201207-201212,경기도,양평군,합계,15024,388989115,
201207-201212,경기도,여주시,일반용,8343,140226415,23.8
201207-201212,경기도,여주시,합계,12245,589138795,
201207-201212,경기도,연천군,일반용,4795,64058471,26.52
201207-201212,경기도,연천군,합계,6638,241532100,
201207-201212,경기도,오산시,일반용,9032,153418298,25.6
201207-201212,경기도,오산시,합계,8877,599272995,
201207-201212,경기도,용인시,일반용,32319,967503636,22.32
201207-201212,경기도,용인시,합계,31839,4335087162,
201207-201212,경기도,의왕시,일반용,5211,120844151,36.33
201207-201212,경기도,의왕시,합계,5478,332661591,
201207-201212,경기도,의정부시,일반용,19149,349065275,43.91
201207-201212,경기도,의정부시,합계,17089,795005244,
201207-201212,경기도,이천시,일반용,13678,236947955,11.48
201207-201212,경기도,이천시,합계,16985,2063712722,
201207-201212,경기도,파주시,일반용,23115,379823115,10.24
201207-201212,경기도,파주시,합계,22356,3708298541,
201207-201212,경기도,평택시,일반용,28837,527044929,15.49
201207-201212,경기도,평택시,합계,30420,3402055285,
201207-201212,경기도,포천시,일반용,16547,212718767,18.58
201207-201212,경기도,포천시,합계,16729,1144705749,
201207-201212,경기도,하남시,일반용,11959,159067200,30.31
201207-201212,경기도,하남시,합계,7498,524779167,
201207-201212,경기도,화성시,일반용,30007,612513168,9.57
201207-201212,경기도,화성시,합계,29956,6397787229,
