계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 07 월 ~ 2012년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,경상남도,전체(시 / 군 / 구),주택용,"1,031,233 ","320,611,159 ","35,313,117,450 ",110.1 
201207,경상남도,전체(시 / 군 / 구),일반용,"195,290 ","450,134,032 ","53,297,228,656 ",118.4 
201207,경상남도,전체(시 / 군 / 구),교육용,"2,749 ","31,607,955 ","4,066,165,235 ",128.6 
201207,경상남도,전체(시 / 군 / 구),산업용,"33,843 ","1,672,173,344 ","179,535,524,180 ",107.4 
201207,경상남도,전체(시 / 군 / 구),농사용,"145,084 ","92,489,329 ","4,159,453,655 ",45.0 
201207,경상남도,전체(시 / 군 / 구),가로등,"125,826 ","17,409,073 ","1,844,257,826 ",105.9 
201207,경상남도,전체(시 / 군 / 구),심 야,"100,843 ","39,074,396 ","1,901,472,181 ",48.7 
201208,경상남도,전체(시 / 군 / 구),주택용,"1,034,030 ","408,699,846 ","58,858,369,683 ",144.0 
201208,경상남도,전체(시 / 군 / 구),일반용,"196,276 ","553,309,052 ","72,353,570,957 ",130.8 
201208,경상남도,전체(시 / 군 / 구),교육용,"2,750 ","33,566,569 ","4,628,715,236 ",137.9 
201208,경상남도,전체(시 / 군 / 구),산업용,"33,899 ","1,570,826,810 ","185,082,859,597 ",117.8 
201208,경상남도,전체(시 / 군 / 구),농사용,"147,494 ","119,964,743 ","5,268,045,768 ",43.9 
201208,경상남도,전체(시 / 군 / 구),가로등,"126,472 ","18,528,363 ","1,937,106,166 ",104.5 
201208,경상남도,전체(시 / 군 / 구),심 야,"100,737 ","30,977,579 ","1,568,253,006 ",50.6 
201209,경상남도,전체(시 / 군 / 구),주택용,"1,036,454 ","357,309,135 ","44,322,625,255 ",124.0 
201209,경상남도,전체(시 / 군 / 구),일반용,"196,574 ","485,348,299 ","58,704,067,432 ",121.0 
201209,경상남도,전체(시 / 군 / 구),교육용,"2,738 ","33,600,311 ","4,044,015,997 ",120.4 
201209,경상남도,전체(시 / 군 / 구),산업용,"33,962 ","1,575,476,229 ","157,083,409,886 ",99.7 
201209,경상남도,전체(시 / 군 / 구),농사용,"149,144 ","111,524,403 ","5,097,544,670 ",45.7 
201209,경상남도,전체(시 / 군 / 구),가로등,"126,726 ","19,257,007 ","2,017,842,876 ",104.8 
