계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 07 월 ~ 2012년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,전라북도,전체(시 / 군 / 구),주택용,"581,987 ","179,913,819 ","19,287,323,530 ",107.2 
201207,전라북도,전체(시 / 군 / 구),일반용,"120,453 ","257,716,175 ","30,502,035,120 ",118.4 
201207,전라북도,전체(시 / 군 / 구),교육용,"1,783 ","24,882,387 ","2,972,030,897 ",119.4 
201207,전라북도,전체(시 / 군 / 구),산업용,"12,662 ","1,172,689,153 ","110,921,467,420 ",94.6 
201207,전라북도,전체(시 / 군 / 구),농사용,"108,235 ","77,414,990 ","3,344,989,581 ",43.2 
201207,전라북도,전체(시 / 군 / 구),가로등,"77,236 ","12,324,317 ","1,321,229,720 ",107.2 
201207,전라북도,전체(시 / 군 / 구),심 야,"72,005 ","24,775,384 ","1,210,225,171 ",48.8 
201208,전라북도,전체(시 / 군 / 구),주택용,"583,118 ","225,349,380 ","31,054,361,828 ",137.8 
201208,전라북도,전체(시 / 군 / 구),일반용,"121,350 ","310,582,334 ","40,976,004,825 ",131.9 
201208,전라북도,전체(시 / 군 / 구),교육용,"1,783 ","26,749,725 ","4,052,184,522 ",151.5 
201208,전라북도,전체(시 / 군 / 구),산업용,"12,693 ","1,060,123,380 ","112,469,069,244 ",106.1 
201208,전라북도,전체(시 / 군 / 구),농사용,"110,530 ","100,739,549 ","4,298,351,109 ",42.7 
201208,전라북도,전체(시 / 군 / 구),가로등,"77,745 ","13,159,263 ","1,362,925,639 ",103.6 
201208,전라북도,전체(시 / 군 / 구),심 야,"71,838 ","20,857,048 ","1,056,311,865 ",50.6 
201209,전라북도,전체(시 / 군 / 구),주택용,"584,731 ","198,512,605 ","23,832,674,407 ",120.1 
201209,전라북도,전체(시 / 군 / 구),일반용,"121,619 ","266,134,870 ","33,002,826,416 ",124.0 
201209,전라북도,전체(시 / 군 / 구),교육용,"1,782 ","24,721,287 ","3,013,996,575 ",121.9 
201209,전라북도,전체(시 / 군 / 구),산업용,"12,719 ","1,109,644,562 ","94,379,692,193 ",85.1 
201209,전라북도,전체(시 / 군 / 구),농사용,"111,884 ","88,549,484 ","4,067,304,394 ",45.9 
201209,전라북도,전체(시 / 군 / 구),가로등,"78,084 ","13,509,084 ","1,396,602,749 ",103.4 
201209,전라북도,전체(시 / 군 / 구),심 야,"71,728 ","23,593,261 ","1,206,894,794 ",51.2 
201210,전라북도,전체(시 / 군 / 구),주택용,"586,362 ","177,782,310 ","19,180,326,506 ",107.9 
201210,전라북도,전체(시 / 군 / 구),일반용,"122,186 ","217,333,659 ","24,549,875,509 ",113.0 
201210,전라북도,전체(시 / 군 / 구),교육용,"1,782 ","20,878,305 ","2,396,850,994 ",114.8 
201210,전라북도,전체(시 / 군 / 구),산업용,"12,752 ","1,029,242,878 ","87,762,904,666 ",85.3 
