계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,강원도,전체(시 / 군 / 구),주택용,"511,914 ","187,005,617 ","25,313,049,618 ",135.4 
201301,강원도,전체(시 / 군 / 구),일반용,"126,234 ","414,714,841 ","49,577,746,633 ",119.5 
201301,강원도,전체(시 / 군 / 구),교육용,"1,516 ","34,795,857 ","3,824,668,030 ",109.9 
201301,강원도,전체(시 / 군 / 구),산업용,"11,584 ","554,660,933 ","58,051,485,269 ",104.7 
201301,강원도,전체(시 / 군 / 구),농사용,"71,262 ","42,499,124 ","1,951,201,357 ",45.9 
201301,강원도,전체(시 / 군 / 구),가로등,"91,121 ","15,678,002 ","1,500,274,999 ",95.7 
201301,강원도,전체(시 / 군 / 구),심 야,"96,518 ","362,886,698 ","24,680,906,384 ",68.0 
201302,강원도,전체(시 / 군 / 구),주택용,"512,401 ","183,518,134 ","24,666,512,549 ",134.4 
201302,강원도,전체(시 / 군 / 구),일반용,"126,175 ","385,395,753 ","48,210,664,294 ",125.1 
201302,강원도,전체(시 / 군 / 구),교육용,"1,510 ","31,548,776 ","3,580,715,596 ",113.5 
201302,강원도,전체(시 / 군 / 구),산업용,"11,581 ","495,934,431 ","53,846,943,780 ",108.6 
201302,강원도,전체(시 / 군 / 구),농사용,"71,326 ","41,168,506 ","1,932,751,198 ",46.9 
201302,강원도,전체(시 / 군 / 구),가로등,"91,161 ","15,391,799 ","1,596,674,270 ",103.7 
201302,강원도,전체(시 / 군 / 구),심 야,"96,476 ","341,239,119 ","24,083,237,620 ",70.6 
201303,강원도,전체(시 / 군 / 구),주택용,"512,688 ","157,909,837 ","18,491,172,818 ",117.1 
201303,강원도,전체(시 / 군 / 구),일반용,"126,182 ","318,294,687 ","37,921,971,650 ",119.1 
201303,강원도,전체(시 / 군 / 구),교육용,"1,512 ","28,476,873 ","3,048,354,260 ",107.0 
201303,강원도,전체(시 / 군 / 구),산업용,"11,564 ","586,599,870 ","51,552,641,665 ",87.9 
201303,강원도,전체(시 / 군 / 구),농사용,"92,725 ","36,736,674 ","1,766,664,275 ",48.1 
201303,강원도,전체(시 / 군 / 구),가로등,"91,465 ","13,711,436 ","1,454,104,882 ",106.1 
201303,강원도,전체(시 / 군 / 구),심 야,"96,445 ","259,882,064 ","16,436,452,463 ",63.2 
201304,강원도,전체(시 / 군 / 구),주택용,"513,280 ","165,618,049 ","20,060,212,347 ",121.1 
201304,강원도,전체(시 / 군 / 구),일반용,"126,418 ","302,888,204 ","33,194,960,217 ",109.6 
201304,강원도,전체(시 / 군 / 구),교육용,"1,509 ","29,107,910 ","2,807,831,133 ",96.5 
201304,강원도,전체(시 / 군 / 구),산업용,"11,583 ","602,432,845 ","52,574,360,079 ",87.3 
201304,강원도,전체(시 / 군 / 구),농사용,"71,586 ","36,630,746 ","1,766,826,084 ",48.2 
201304,강원도,전체(시 / 군 / 구),가로등,"91,603 ","13,698,233 ","1,503,693,996 ",109.8 
201304,강원도,전체(시 / 군 / 구),심 야,"96,367 ","223,353,971 ","11,504,076,845 ",51.5 
201305,강원도,전체(시 / 군 / 구),주택용,"513,582 ","154,480,999 ","17,577,166,950 ",113.8 
201305,강원도,전체(시 / 군 / 구),일반용,"126,693 ","278,667,650 ","31,678,805,090 ",113.7 
201305,강원도,전체(시 / 군 / 구),교육용,"1,507 ","21,971,472 ","2,409,262,944 ",109.7 
201305,강원도,전체(시 / 군 / 구),산업용,"11,620 ","629,470,495 ","54,254,015,694 ",86.2 
201305,강원도,전체(시 / 군 / 구),농사용,"72,490 ","32,486,886 ","1,583,043,544 ",48.7 
201305,강원도,전체(시 / 군 / 구),가로등,"91,593 ","12,812,344 ","1,455,926,026 ",113.6 
201305,강원도,전체(시 / 군 / 구),심 야,"96,257 ","151,505,415 ","7,819,810,479 ",51.6 
201306,강원도,전체(시 / 군 / 구),주택용,"514,217 ","152,033,753 ","17,024,662,496 ",112.0 
201306,강원도,전체(시 / 군 / 구),일반용,"127,112 ","283,667,399 ","31,928,897,032 ",112.6 
