계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,경기도,전체(시 / 군 / 구),주택용,"2,476,159 ","1,465,640,790 ","198,855,876,942 ",135.7 
201301,경기도,전체(시 / 군 / 구),일반용,"576,568 ","2,471,845,899 ","296,550,197,148 ",120.0 
201301,경기도,전체(시 / 군 / 구),교육용,"7,296 ","181,865,667 ","20,239,583,669 ",111.3 
201301,경기도,전체(시 / 군 / 구),산업용,"106,411 ","4,870,413,478 ","532,644,940,416 ",109.4 
201301,경기도,전체(시 / 군 / 구),농사용,"177,556 ","238,336,675 ","10,143,023,962 ",42.6 
201301,경기도,전체(시 / 군 / 구),가로등,"272,609 ","72,864,115 ","7,096,517,670 ",97.4 
201301,경기도,전체(시 / 군 / 구),심 야,"168,007 ","700,556,067 ","48,045,427,919 ",68.6 
201302,경기도,전체(시 / 군 / 구),주택용,"2,480,679 ","1,427,829,360 ","192,395,572,306 ",134.7 
201302,경기도,전체(시 / 군 / 구),일반용,"576,897 ","2,275,017,810 ","286,259,269,071 ",125.8 
201302,경기도,전체(시 / 군 / 구),교육용,"7,323 ","163,050,696 ","19,147,973,261 ",117.4 
201302,경기도,전체(시 / 군 / 구),산업용,"106,727 ","4,452,910,418 ","504,407,364,356 ",113.3 
201302,경기도,전체(시 / 군 / 구),농사용,"177,983 ","225,087,787 ","9,843,474,835 ",43.7 
201302,경기도,전체(시 / 군 / 구),가로등,"273,706 ","68,463,614 ","7,229,892,783 ",105.6 
201302,경기도,전체(시 / 군 / 구),심 야,"167,803 ","653,622,575 ","46,521,903,321 ",71.2 
201303,경기도,전체(시 / 군 / 구),주택용,"2,484,256 ","1,235,642,897 ","146,169,514,087 ",118.3 
201303,경기도,전체(시 / 군 / 구),일반용,"576,736 ","1,938,980,626 ","226,750,111,019 ",116.9 
201303,경기도,전체(시 / 군 / 구),교육용,"7,361 ","141,929,131 ","15,561,692,688 ",109.6 
201303,경기도,전체(시 / 군 / 구),산업용,"106,964 ","4,511,274,600 ","429,310,146,905 ",95.2 
201303,경기도,전체(시 / 군 / 구),농사용,"246,123 ","178,862,954 ","8,046,231,878 ",45.0 
201303,경기도,전체(시 / 군 / 구),가로등,"274,327 ","62,670,973 ","6,743,947,581 ",107.6 
201303,경기도,전체(시 / 군 / 구),심 야,"167,576 ","495,154,483 ","31,507,734,503 ",63.6 
201304,경기도,전체(시 / 군 / 구),주택용,"2,489,525 ","1,299,202,576 ","158,928,148,931 ",122.3 
201304,경기도,전체(시 / 군 / 구),일반용,"577,933 ","1,859,290,600 ","202,479,889,616 ",108.9 
201304,경기도,전체(시 / 군 / 구),교육용,"7,361 ","135,699,409 ","14,033,770,439 ",103.4 
201304,경기도,전체(시 / 군 / 구),산업용,"107,346 ","4,477,366,451 ","414,998,680,772 ",92.7 
201304,경기도,전체(시 / 군 / 구),농사용,"185,134 ","165,557,006 ","7,523,311,731 ",45.4 
201304,경기도,전체(시 / 군 / 구),가로등,"275,044 ","61,989,640 ","6,874,490,876 ",110.9 
201304,경기도,전체(시 / 군 / 구),심 야,"167,312 ","420,992,366 ","21,927,564,755 ",52.1 
201305,경기도,전체(시 / 군 / 구),주택용,"2,495,022 ","1,214,106,274 ","141,548,653,431 ",116.6 
201305,경기도,전체(시 / 군 / 구),일반용,"578,507 ","1,706,583,568 ","191,601,810,604 ",112.3 
201305,경기도,전체(시 / 군 / 구),교육용,"7,360 ","103,684,496 ","12,104,776,708 ",116.7 
201305,경기도,전체(시 / 군 / 구),산업용,"107,684 ","4,413,901,325 ","410,878,907,321 ",93.1 
201305,경기도,전체(시 / 군 / 구),농사용,"178,821 ","146,073,825 ","6,576,335,860 ",45.0 
201305,경기도,전체(시 / 군 / 구),가로등,"276,006 ","57,048,664 ","6,562,207,473 ",115.0 
201305,경기도,전체(시 / 군 / 구),심 야,"166,855 ","275,114,990 ","14,460,833,778 ",52.6 
201306,경기도,전체(시 / 군 / 구),주택용,"2,501,708 ","1,237,929,692 ","146,981,529,759 ",118.7 
201306,경기도,전체(시 / 군 / 구),일반용,"579,498 ","1,817,612,551 ","198,591,647,670 ",109.3 
201306,경기도,전체(시 / 군 / 구),교육용,"7,355 ","101,571,400 ","11,979,765,094 ",117.9 
201306,경기도,전체(시 / 군 / 구),산업용,"108,005 ","4,399,138,375 ","408,076,691,762 ",92.8 
201306,경기도,전체(시 / 군 / 구),농사용,"180,078 ","142,429,850 ","6,439,712,685 ",45.2 
201306,경기도,전체(시 / 군 / 구),가로등,"277,186 ","56,423,982 ","6,457,510,016 ",114.4 
201306,경기도,전체(시 / 군 / 구),심 야,"166,332 ","141,757,916 ","7,633,207,210 ",53.8 
