계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 광주광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,광주광역시,전체(시 / 군 / 구),주택용,"348,666 ","164,024,592 ","21,258,848,868 ",129.6 
201301,광주광역시,전체(시 / 군 / 구),일반용,"78,671 ","257,006,831 ","31,324,780,280 ",121.9 
201301,광주광역시,전체(시 / 군 / 구),교육용,953 ,"29,011,844 ","3,201,008,598 ",110.3 
201301,광주광역시,전체(시 / 군 / 구),산업용,"5,312 ","264,679,886 ","30,268,956,814 ",114.4 
201301,광주광역시,전체(시 / 군 / 구),농사용,"8,945 ","10,357,231 ","418,843,129 ",40.4 
201301,광주광역시,전체(시 / 군 / 구),가로등,"34,379 ","7,026,821 ","685,548,772 ",97.6 
201301,광주광역시,전체(시 / 군 / 구),심 야,"8,738 ","15,918,293 ","1,301,749,313 ",81.8 
201302,광주광역시,전체(시 / 군 / 구),주택용,"349,601 ","161,437,847 ","21,052,555,584 ",130.4 
201302,광주광역시,전체(시 / 군 / 구),일반용,"78,772 ","245,102,893 ","31,172,385,965 ",127.2 
201302,광주광역시,전체(시 / 군 / 구),교육용,964 ,"26,694,871 ","3,118,196,341 ",116.8 
201302,광주광역시,전체(시 / 군 / 구),산업용,"5,328 ","233,629,727 ","27,866,147,083 ",119.3 
201302,광주광역시,전체(시 / 군 / 구),농사용,"8,933 ","9,902,293 ","410,712,630 ",41.5 
201302,광주광역시,전체(시 / 군 / 구),가로등,"34,424 ","6,640,193 ","702,573,834 ",105.8 
201302,광주광역시,전체(시 / 군 / 구),심 야,"8,714 ","26,085,142 ","1,840,181,446 ",70.5 
201303,광주광역시,전체(시 / 군 / 구),주택용,"350,116 ","140,214,958 ","16,041,406,246 ",114.4 
201303,광주광역시,전체(시 / 군 / 구),일반용,"78,825 ","209,888,852 ","24,981,084,832 ",119.0 
201303,광주광역시,전체(시 / 군 / 구),교육용,966 ,"23,644,178 ","2,538,377,600 ",107.4 
201303,광주광역시,전체(시 / 군 / 구),산업용,"5,333 ","250,041,245 ","24,965,701,433 ",99.8 
201303,광주광역시,전체(시 / 군 / 구),농사용,"13,182 ","7,896,250 ","338,629,468 ",42.9 
201303,광주광역시,전체(시 / 군 / 구),가로등,"34,500 ","5,956,076 ","645,422,769 ",108.4 
201303,광주광역시,전체(시 / 군 / 구),심 야,"8,677 ","20,885,787 ","1,316,702,366 ",63.0 
201304,광주광역시,전체(시 / 군 / 구),주택용,"354,794 ","157,742,159 ","18,786,698,772 ",119.1 
201304,광주광역시,전체(시 / 군 / 구),일반용,"81,548 ","214,522,572 ","23,093,775,171 ",107.7 
201304,광주광역시,전체(시 / 군 / 구),교육용,998 ,"24,557,825 ","2,436,463,114 ",99.2 
201304,광주광역시,전체(시 / 군 / 구),산업용,"5,399 ","255,315,141 ","24,078,094,818 ",94.3 
201304,광주광역시,전체(시 / 군 / 구),농사용,"9,018 ","6,198,297 ","276,479,963 ",44.6 
201304,광주광역시,전체(시 / 군 / 구),가로등,"34,709 ","6,297,880 ","704,486,359 ",111.9 
201304,광주광역시,전체(시 / 군 / 구),심 야,"8,643 ","17,877,626 ","936,011,027 ",52.4 
201305,광주광역시,전체(시 / 군 / 구),주택용,"355,470 ","147,466,801 ","16,717,516,209 ",113.4 
201305,광주광역시,전체(시 / 군 / 구),일반용,"81,658 ","196,945,062 ","21,813,464,184 ",110.8 
201305,광주광역시,전체(시 / 군 / 구),교육용,998 ,"20,054,690 ","2,149,855,933 ",107.2 
201305,광주광역시,전체(시 / 군 / 구),산업용,"5,414 ","252,204,406 ","24,030,354,818 ",95.3 
201305,광주광역시,전체(시 / 군 / 구),농사용,"9,097 ","4,227,859 ","203,916,451 ",48.2 
201305,광주광역시,전체(시 / 군 / 구),가로등,"34,753 ","5,606,182 ","652,521,889 ",116.4 
201305,광주광역시,전체(시 / 군 / 구),심 야,"8,602 ","11,135,519 ","610,937,351 ",54.9 
201306,광주광역시,전체(시 / 군 / 구),주택용,"356,465 ","147,784,891 ","16,625,504,644 ",112.5 
201306,광주광역시,전체(시 / 군 / 구),일반용,"81,813 ","212,481,385 ","22,768,364,446 ",107.2 
201306,광주광역시,전체(시 / 군 / 구),교육용,994 ,"20,094,273 ","2,151,639,734 ",107.1 
201306,광주광역시,전체(시 / 군 / 구),산업용,"5,426 ","259,029,411 ","24,351,459,871 ",94.0 
201306,광주광역시,전체(시 / 군 / 구),농사용,"9,156 ","3,486,881 ","177,852,677 ",51.0 
201306,광주광역시,전체(시 / 군 / 구),가로등,"34,908 ","5,304,849 ","636,786,388 ",120.0 
201306,광주광역시,전체(시 / 군 / 구),심 야,"8,575 ","6,562,079 ","394,187,466 ",60.1 
합계,합계,합계,합계,"2,952,437","4,090,941,598","449,046,184,656",109.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,광주광역시,광산구,가로등,"4,674 ","2,054,324 ","200,006,094 ",97.4 
201301,광주광역시,광산구,교육용,258 ,"5,264,773 ","614,921,716 ",116.8 
201301,광주광역시,광산구,농사용,"4,608 ","6,223,808 ","251,784,650 ",40.5 
201301,광주광역시,광산구,산업용,"2,418 ","172,978,961 ","20,195,454,623 ",116.8 
201301,광주광역시,광산구,심 야,"1,868 ","6,131,687 ","413,364,241 ",67.4 
201301,광주광역시,광산구,일반용,"15,322 ","50,555,374 ","6,285,436,950 ",124.3 
201301,광주광역시,광산구,주택용,"63,892 ","34,591,355 ","4,247,534,232 ",122.8 
