계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,대구광역시,전체(시 / 군 / 구),주택용,"610,752 ","293,782,906 ","38,953,302,361 ",132.6 
201301,대구광역시,전체(시 / 군 / 구),일반용,"140,662 ","426,665,997 ","52,050,896,556 ",122.0 
201301,대구광역시,전체(시 / 군 / 구),교육용,"1,559 ","34,726,801 ","3,883,672,661 ",111.8 
201301,대구광역시,전체(시 / 군 / 구),산업용,"19,001 ","602,429,091 ","66,015,652,876 ",109.6 
201301,대구광역시,전체(시 / 군 / 구),농사용,"10,376 ","8,120,158 ","359,612,700 ",44.3 
201301,대구광역시,전체(시 / 군 / 구),가로등,"34,273 ","11,138,991 ","1,053,672,628 ",94.6 
201301,대구광역시,전체(시 / 군 / 구),심 야,"23,974 ","61,013,061 ","4,176,059,732 ",68.4 
201302,대구광역시,전체(시 / 군 / 구),주택용,"611,649 ","286,694,796 ","37,710,634,684 ",131.5 
201302,대구광역시,전체(시 / 군 / 구),일반용,"140,670 ","399,146,233 ","50,720,925,145 ",127.1 
201302,대구광역시,전체(시 / 군 / 구),교육용,"1,561 ","31,142,687 ","3,671,103,359 ",117.9 
201302,대구광역시,전체(시 / 군 / 구),산업용,"19,027 ","542,917,705 ","62,710,554,602 ",115.5 
201302,대구광역시,전체(시 / 군 / 구),농사용,"10,350 ","8,116,563 ","369,827,634 ",45.6 
201302,대구광역시,전체(시 / 군 / 구),가로등,"34,325 ","10,423,933 ","1,058,422,371 ",101.5 
201302,대구광역시,전체(시 / 군 / 구),심 야,"23,945 ","57,858,724 ","4,120,995,019 ",71.2 
201303,대구광역시,전체(시 / 군 / 구),주택용,"612,263 ","248,275,799 ","28,542,449,290 ",115.0 
201303,대구광역시,전체(시 / 군 / 구),일반용,"140,684 ","333,179,547 ","40,011,249,074 ",120.1 
201303,대구광역시,전체(시 / 군 / 구),교육용,"1,566 ","26,180,836 ","2,887,601,154 ",110.3 
201303,대구광역시,전체(시 / 군 / 구),산업용,"19,050 ","548,327,463 ","54,014,801,261 ",98.5 
201303,대구광역시,전체(시 / 군 / 구),농사용,"10,691 ","6,237,496 ","295,997,694 ",47.5 
201303,대구광역시,전체(시 / 군 / 구),가로등,"34,397 ","9,439,501 ","981,051,799 ",103.9 
201303,대구광역시,전체(시 / 군 / 구),심 야,"23,902 ","43,188,769 ","2,747,611,606 ",63.6 
201304,대구광역시,전체(시 / 군 / 구),주택용,"613,220 ","259,363,184 ","30,720,611,189 ",118.4 
201304,대구광역시,전체(시 / 군 / 구),일반용,"140,809 ","324,000,657 ","35,701,866,340 ",110.2 
201304,대구광역시,전체(시 / 군 / 구),교육용,"1,567 ","25,519,453 ","2,663,406,160 ",104.4 
201304,대구광역시,전체(시 / 군 / 구),산업용,"19,097 ","562,169,873 ","52,708,138,464 ",93.8 
201304,대구광역시,전체(시 / 군 / 구),농사용,"10,491 ","5,239,318 ","259,237,283 ",49.5 
201304,대구광역시,전체(시 / 군 / 구),가로등,"34,606 ","9,466,611 ","1,005,141,172 ",106.2 
201304,대구광역시,전체(시 / 군 / 구),심 야,"23,861 ","34,340,492 ","1,802,310,488 ",52.5 
201305,대구광역시,전체(시 / 군 / 구),주택용,"613,942 ","243,818,013 ","27,414,827,237 ",112.4 
201305,대구광역시,전체(시 / 군 / 구),일반용,"140,876 ","311,107,202 ","34,857,233,251 ",112.0 
201305,대구광역시,전체(시 / 군 / 구),교육용,"1,570 ","22,046,476 ","2,464,303,527 ",111.8 
201305,대구광역시,전체(시 / 군 / 구),산업용,"19,151 ","550,244,048 ","51,969,261,434 ",94.4 
201305,대구광역시,전체(시 / 군 / 구),농사용,"10,603 ","4,609,052 ","233,972,725 ",50.8 
201305,대구광역시,전체(시 / 군 / 구),가로등,"34,830 ","8,875,688 ","967,527,631 ",109.0 
201305,대구광역시,전체(시 / 군 / 구),심 야,"23,784 ","25,524,094 ","1,378,103,925 ",54.0 
201306,대구광역시,전체(시 / 군 / 구),주택용,"614,910 ","243,060,726 ","27,362,717,611 ",112.6 
201306,대구광역시,전체(시 / 군 / 구),일반용,"140,981 ","332,995,156 ","36,477,306,146 ",109.5 
201306,대구광역시,전체(시 / 군 / 구),교육용,"1,566 ","23,189,950 ","2,527,364,121 ",109.0 
201306,대구광역시,전체(시 / 군 / 구),산업용,"19,203 ","548,075,942 ","51,635,664,685 ",94.2 
201306,대구광역시,전체(시 / 군 / 구),농사용,"10,679 ","5,625,659 ","255,533,568 ",45.4 
201306,대구광역시,전체(시 / 군 / 구),가로등,"34,950 ","8,117,386 ","917,785,241 ",113.1 
201306,대구광역시,전체(시 / 군 / 구),심 야,"23,696 ","14,438,640 ","826,677,936 ",57.3 
합계,합계,합계,합계,"5,059,069","7,550,834,677","820,485,084,340",108.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,대구광역시,남구,가로등,"3,497 ","570,138 ","51,604,492 ",90.5 
201301,대구광역시,남구,교육용,97 ,"3,514,972 ","389,049,124 ",110.7 
201301,대구광역시,남구,농사용,16 ,"24,305 ","1,001,355 ",41.2 
201301,대구광역시,남구,산업용,344 ,"1,216,021 ","135,802,388 ",111.7 
201301,대구광역시,남구,심 야,"3,954 ","7,742,476 ","527,307,293 ",68.1 
201301,대구광역시,남구,일반용,"11,747 ","29,674,721 ","3,462,543,068 ",116.7 
201301,대구광역시,남구,주택용,"73,728 ","20,818,702 ","2,827,753,513 ",135.8 
201301,대구광역시,남구,합계,"93,383 ","63,561,335 ","7,395,061,233 ",116.3 
201301,대구광역시,달서구,가로등,"3,855 ","2,132,261 ","201,707,848 ",94.6 
201301,대구광역시,달서구,교육용,351 ,"7,239,895 ","825,463,776 ",114 
201301,대구광역시,달서구,농사용,109 ,"52,290 ","2,341,791 ",44.8 
201301,대구광역시,달서구,산업용,"3,447 ","221,979,443 ","24,564,205,441 ",110.7 
201301,대구광역시,달서구,심 야,"3,247 ","7,811,384 ","536,690,898 ",68.7 
201301,대구광역시,달서구,일반용,"26,404 ","81,284,837 ","9,964,459,369 ",122.6 
201301,대구광역시,달서구,주택용,"110,183 ","71,770,475 ","9,148,231,637 ",127.5 
201301,대구광역시,달서구,합계,"147,596 ","392,270,585 ","45,243,100,760 ",115.3 
201301,대구광역시,달성군,가로등,"2,986 ","1,473,758 ","143,190,263 ",97.2 
201301,대구광역시,달성군,교육용,138 ,"3,112,051 ","337,532,703 ",108.5 
201301,대구광역시,달성군,농사용,"4,986 ","5,425,345 ","233,540,423 ",43 
201301,대구광역시,달성군,산업용,"3,614 ","218,549,177 ","23,507,927,227 ",107.6 
201301,대구광역시,달성군,심 야,"2,577 ","8,571,133 ","588,487,714 ",68.7 
201301,대구광역시,달성군,일반용,"9,004 ","26,722,611 ","3,163,154,144 ",118.4 
201301,대구광역시,달성군,주택용,"32,843 ","17,770,614 ","2,288,266,918 ",128.8 
201301,대구광역시,달성군,합계,"56,148 ","281,624,689 ","30,262,099,392 ",107.5 
201301,대구광역시,동구,가로등,"3,437 ","1,675,505 ","162,711,710 ",97.1 
201301,대구광역시,동구,교육용,205 ,"2,877,239 ","340,617,605 ",118.4 
201301,대구광역시,동구,농사용,"3,429 ","1,320,067 ","62,414,446 ",47.3 
201301,대구광역시,동구,산업용,"1,163 ","12,962,102 ","1,466,365,151 ",113.1 
201301,대구광역시,동구,심 야,"4,142 ","11,282,896 ","767,732,156 ",68 
201301,대구광역시,동구,일반용,"18,988 ","55,892,529 ","6,749,418,753 ",120.8 
201301,대구광역시,동구,주택용,"96,343 ","40,022,726 ","5,308,157,765 ",132.6 
201301,대구광역시,동구,합계,"127,707 ","126,033,064 ","14,857,417,586 ",117.9 
201301,대구광역시,북구,가로등,"10,375 ","2,112,422 ","200,236,267 ",94.8 
201301,대구광역시,북구,교육용,282 ,"10,260,854 ","1,098,388,318 ",107 
201301,대구광역시,북구,농사용,"1,007 ","879,490 ","40,245,425 ",45.8 
201301,대구광역시,북구,산업용,"6,396 ","85,978,279 ","9,250,087,498 ",107.6 
201301,대구광역시,북구,심 야,"3,134 ","7,915,400 ","538,748,333 ",68.1 
201301,대구광역시,북구,일반용,"23,511 ","75,193,252 ","9,175,191,189 ",122 
201301,대구광역시,북구,주택용,"93,942 ","52,119,798 ","6,726,946,061 ",129.1 
201301,대구광역시,북구,합계,"138,647 ","234,459,495 ","27,029,843,091 ",115.3 
201301,대구광역시,서구,가로등,"3,580 ","774,276 ","64,666,140 ",83.5 
201301,대구광역시,서구,교육용,179 ,"1,540,323 ","184,281,738 ",119.6 
201301,대구광역시,서구,농사용,24 ,"23,019 ","1,273,490 ",55.3 
201301,대구광역시,서구,산업용,"2,210 ","43,287,256 ","5,035,713,238 ",116.3 
201301,대구광역시,서구,심 야,"1,915 ","5,128,432 ","349,536,944 ",68.2 
201301,대구광역시,서구,일반용,"14,170 ","31,773,927 ","3,883,490,757 ",122.2 
201301,대구광역시,서구,주택용,"81,308 ","25,420,310 ","3,474,767,058 ",136.7 
201301,대구광역시,서구,합계,"103,386 ","107,947,543 ","12,993,729,365 ",120.4 
201301,대구광역시,수성구,가로등,"3,209 ","1,562,994 ","153,355,272 ",98.1 
201301,대구광역시,수성구,교육용,245 ,"4,615,002 ","534,918,500 ",115.9 
201301,대구광역시,수성구,농사용,788 ,"359,153 ","17,251,569 ",48 
201301,대구광역시,수성구,산업용,675 ,"14,793,189 ","1,641,797,214 ",111 
201301,대구광역시,수성구,심 야,"3,765 ","9,732,836 ","664,862,229 ",68.3 
201301,대구광역시,수성구,일반용,"21,803 ","72,121,932 ","8,844,236,333 ",122.6 
