계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,제주특별자치도,전체(시 / 군 / 구),주택용,"203,931 ","62,568,806 ","8,776,296,827 ",140.3 
201301,제주특별자치도,전체(시 / 군 / 구),일반용,"43,966 ","127,249,636 ","15,966,714,879 ",125.5 
201301,제주특별자치도,전체(시 / 군 / 구),교육용,655 ,"10,497,475 ","1,251,537,919 ",119.2 
201301,제주특별자치도,전체(시 / 군 / 구),산업용,"2,989 ","40,583,958 ","4,691,204,340 ",115.6 
201301,제주특별자치도,전체(시 / 군 / 구),농사용,"37,452 ","105,806,348 ","4,496,326,088 ",42.5 
201301,제주특별자치도,전체(시 / 군 / 구),가로등,"15,537 ","4,460,867 ","411,990,233 ",92.4 
201301,제주특별자치도,전체(시 / 군 / 구),심 야,"7,897 ","22,596,415 ","1,540,245,939 ",68.2 
201302,제주특별자치도,전체(시 / 군 / 구),주택용,"205,571 ","61,200,908 ","8,607,233,803 ",140.6 
201302,제주특별자치도,전체(시 / 군 / 구),일반용,"44,296 ","122,130,154 ","16,006,151,672 ",131.1 
201302,제주특별자치도,전체(시 / 군 / 구),교육용,654 ,"9,481,626 ","1,184,434,264 ",124.9 
201302,제주특별자치도,전체(시 / 군 / 구),산업용,"3,000 ","38,785,350 ","4,695,562,332 ",121.1 
201302,제주특별자치도,전체(시 / 군 / 구),농사용,"37,441 ","112,384,603 ","4,873,152,727 ",43.4 
201302,제주특별자치도,전체(시 / 군 / 구),가로등,"15,648 ","4,047,056 ","425,274,510 ",105.1 
201302,제주특별자치도,전체(시 / 군 / 구),심 야,"7,888 ","22,092,446 ","1,561,450,434 ",70.7 
201303,제주특별자치도,전체(시 / 군 / 구),주택용,"206,296 ","53,525,042 ","6,457,333,144 ",120.6 
201303,제주특별자치도,전체(시 / 군 / 구),일반용,"44,388 ","108,396,312 ","13,105,570,093 ",120.9 
201303,제주특별자치도,전체(시 / 군 / 구),교육용,654 ,"8,611,698 ","978,724,507 ",113.7 
201303,제주특별자치도,전체(시 / 군 / 구),산업용,"2,994 ","37,546,599 ","4,043,705,948 ",107.7 
201303,제주특별자치도,전체(시 / 군 / 구),농사용,"37,387 ","102,110,291 ","4,491,249,180 ",44.0 
201303,제주특별자치도,전체(시 / 군 / 구),가로등,"15,703 ","3,841,291 ","405,609,660 ",105.6 
201303,제주특별자치도,전체(시 / 군 / 구),심 야,"7,888 ","17,558,441 ","1,091,871,100 ",62.2 
201304,제주특별자치도,전체(시 / 군 / 구),주택용,"206,781 ","55,342,553 ","6,978,109,098 ",126.1 
201304,제주특별자치도,전체(시 / 군 / 구),일반용,"44,615 ","110,800,000 ","12,209,645,977 ",110.2 
201304,제주특별자치도,전체(시 / 군 / 구),교육용,652 ,"8,799,898 ","930,517,750 ",105.7 
201304,제주특별자치도,전체(시 / 군 / 구),산업용,"2,985 ","38,922,962 ","3,932,222,845 ",101.0 
201304,제주특별자치도,전체(시 / 군 / 구),농사용,"37,592 ","109,780,488 ","4,799,825,019 ",43.7 
201304,제주특별자치도,전체(시 / 군 / 구),가로등,"15,845 ","3,606,763 ","409,985,638 ",113.7 
201304,제주특별자치도,전체(시 / 군 / 구),심 야,"7,874 ","15,715,650 ","809,784,692 ",51.5 
201305,제주특별자치도,전체(시 / 군 / 구),주택용,"207,458 ","50,336,963 ","5,747,910,876 ",114.2 
201305,제주특별자치도,전체(시 / 군 / 구),일반용,"44,670 ","105,407,650 ","11,903,184,308 ",112.9 
201305,제주특별자치도,전체(시 / 군 / 구),교육용,651 ,"7,470,769 ","853,461,032 ",114.2 
201305,제주특별자치도,전체(시 / 군 / 구),산업용,"2,939 ","37,619,987 ","3,843,403,249 ",102.2 
201305,제주특별자치도,전체(시 / 군 / 구),농사용,"37,825 ","100,083,884 ","4,441,245,613 ",44.4 
201305,제주특별자치도,전체(시 / 군 / 구),가로등,"15,918 ","3,322,181 ","395,446,494 ",119.0 
201305,제주특별자치도,전체(시 / 군 / 구),심 야,"7,863 ","10,848,757 ","567,972,651 ",52.4 
201306,제주특별자치도,전체(시 / 군 / 구),주택용,"208,017 ","49,723,017 ","5,603,801,524 ",112.7 
201306,제주특별자치도,전체(시 / 군 / 구),일반용,"44,870 ","108,599,646 ","12,101,605,872 ",111.4 
201306,제주특별자치도,전체(시 / 군 / 구),교육용,649 ,"7,424,261 ","846,118,469 ",114.0 
201306,제주특별자치도,전체(시 / 군 / 구),산업용,"2,872 ","39,157,498 ","3,920,010,871 ",100.1 
201306,제주특별자치도,전체(시 / 군 / 구),농사용,"38,064 ","90,101,561 ","4,045,208,366 ",44.9 
201306,제주특별자치도,전체(시 / 군 / 구),가로등,"16,063 ","3,105,062 ","391,635,185 ",126.1 
201306,제주특별자치도,전체(시 / 군 / 구),심 야,"7,850 ","7,039,727 ","377,297,846 ",53.6 
합계,합계,합계,합계,"1,894,288","2,038,684,599","190,170,032,974",93.3
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,제주특별자치도,서귀포시,가로등,"5,928 ","1,575,069 ","143,865,810 ",91.3 
201301,제주특별자치도,서귀포시,교육용,204 ,"3,195,684 ","386,164,311 ",120.8 
201301,제주특별자치도,서귀포시,농사용,"23,746 ","68,881,549 ","2,919,801,371 ",42.4 
201301,제주특별자치도,서귀포시,산업용,914 ,"11,876,845 ","1,440,213,464 ",121.3 
201301,제주특별자치도,서귀포시,심 야,"2,555 ","6,290,295 ","429,583,169 ",68.3 
201301,제주특별자치도,서귀포시,일반용,"12,327 ","35,338,062 ","4,466,701,372 ",126.4 
201301,제주특별자치도,서귀포시,주택용,"55,979 ","15,243,673 ","2,122,770,743 ",139.3 
201301,제주특별자치도,서귀포시,합계,"101,653 ","142,401,177 ","11,909,100,240 ",83.6 
201301,제주특별자치도,제주시,가로등,"9,609 ","2,885,798 ","268,124,423 ",92.9 
201301,제주특별자치도,제주시,교육용,451 ,"7,301,791 ","865,373,608 ",118.5 
201301,제주특별자치도,제주시,농사용,"13,706 ","36,924,799 ","1,576,524,717 ",42.7 
201301,제주특별자치도,제주시,산업용,"2,075 ","28,707,113 ","3,250,990,876 ",113.2 
201301,제주특별자치도,제주시,심 야,"5,342 ","16,306,120 ","1,110,662,770 ",68.1 
201301,제주특별자치도,제주시,일반용,"31,639 ","91,911,574 ","11,500,013,507 ",125.1 
201301,제주특별자치도,제주시,주택용,"147,952 ","47,325,133 ","6,653,526,084 ",140.6 
201301,제주특별자치도,제주시,합계,"210,774 ","231,362,328 ","25,225,215,985 ",109 
201302,제주특별자치도,서귀포시,가로등,"5,976 ","1,411,839 ","147,462,892 ",104.4 
201302,제주특별자치도,서귀포시,교육용,204 ,"2,889,759 ","366,605,396 ",126.9 
201302,제주특별자치도,서귀포시,농사용,"23,713 ","74,808,779 ","3,234,965,757 ",43.2 
201302,제주특별자치도,서귀포시,산업용,921 ,"10,800,170 ","1,394,990,156 ",129.2 
201302,제주특별자치도,서귀포시,심 야,"2,552 ","6,268,113 ","443,732,016 ",70.8 
201302,제주특별자치도,서귀포시,일반용,"12,363 ","33,971,823 ","4,456,049,076 ",131.2 
201302,제주특별자치도,서귀포시,주택용,"56,064 ","15,088,022 ","2,086,857,206 ",138.3 
201302,제주특별자치도,서귀포시,합계,"101,793 ","145,238,505 ","12,130,662,499 ",83.5 
201302,제주특별자치도,제주시,가로등,"9,672 ","2,635,217 ","277,811,618 ",105.4 
201302,제주특별자치도,제주시,교육용,450 ,"6,591,867 ","817,828,868 ",124.1 
201302,제주특별자치도,제주시,농사용,"13,728 ","37,575,824 ","1,638,186,970 ",43.6 
201302,제주특별자치도,제주시,산업용,"2,079 ","27,985,180 ","3,300,572,176 ",117.9 
201302,제주특별자치도,제주시,심 야,"5,336 ","15,824,333 ","1,117,718,418 ",70.6 
201302,제주특별자치도,제주시,일반용,"31,933 ","88,158,331 ","11,550,102,596 ",131 
201302,제주특별자치도,제주시,주택용,"149,507 ","46,112,886 ","6,520,376,597 ",141.4 
201302,제주특별자치도,제주시,합계,"212,705 ","224,883,638 ","25,222,597,243 ",112.2 
201303,제주특별자치도,서귀포시,가로등,"5,992 ","1,337,346 ","140,280,308 ",104.9 
201303,제주특별자치도,서귀포시,교육용,203 ,"2,573,550 ","295,329,196 ",114.8 
201303,제주특별자치도,서귀포시,농사용,"23,713 ","67,888,086 ","2,981,938,439 ",43.9 
201303,제주특별자치도,서귀포시,산업용,917 ,"10,067,882 ","1,187,077,804 ",117.9 
201303,제주특별자치도,서귀포시,심 야,"2,552 ","4,975,003 ","315,241,601 ",63.4 
201303,제주특별자치도,서귀포시,일반용,"12,388 ","30,515,983 ","3,692,660,573 ",121 
201303,제주특별자치도,서귀포시,주택용,"56,173 ","13,033,392 ","1,561,061,594 ",119.8 
201303,제주특별자치도,서귀포시,합계,"101,938 ","130,391,242 ","10,173,589,515 ",78 
201303,제주특별자치도,제주시,가로등,"9,711 ","2,503,945 ","265,329,352 ",106 
201303,제주특별자치도,제주시,교육용,451 ,"6,038,148 ","683,395,311 ",113.2 
201303,제주특별자치도,제주시,농사용,"13,674 ","34,222,205 ","1,509,310,741 ",44.1 
201303,제주특별자치도,제주시,산업용,"2,077 ","27,478,717 ","2,856,628,144 ",104 
201303,제주특별자치도,제주시,심 야,"5,336 ","12,583,438 ","776,629,499 ",61.7 
201303,제주특별자치도,제주시,일반용,"32,000 ","77,880,329 ","9,412,909,520 ",120.9 
201303,제주특별자치도,제주시,주택용,"150,123 ","40,491,650 ","4,896,271,550 ",120.9 
201303,제주특별자치도,제주시,합계,"213,372 ","201,198,432 ","20,400,474,117 ",101.4 
201304,제주특별자치도,서귀포시,가로등,"6,010 ","1,266,455 ","143,497,968 ",113.3 
201304,제주특별자치도,서귀포시,교육용,203 ,"2,400,442 ","270,474,869 ",112.7 
201304,제주특별자치도,서귀포시,농사용,"23,846 ","73,492,442 ","3,207,503,065 ",43.6 
201304,제주특별자치도,서귀포시,산업용,909 ,"10,220,594 ","1,134,718,193 ",111 
201304,제주특별자치도,서귀포시,심 야,"2,543 ","4,455,861 ","230,709,277 ",51.8 
201304,제주특별자치도,서귀포시,일반용,"12,484 ","31,164,433 ","3,449,904,262 ",110.7 
201304,제주특별자치도,서귀포시,주택용,"56,249 ","13,527,652 ","1,671,006,943 ",123.5 
201304,제주특별자치도,서귀포시,합계,"102,244 ","136,527,879 ","10,107,814,577 ",74 
201304,제주특별자치도,제주시,가로등,"9,835 ","2,340,308 ","266,487,670 ",113.9 
201304,제주특별자치도,제주시,교육용,449 ,"6,399,456 ","660,042,881 ",103.1 
201304,제주특별자치도,제주시,농사용,"13,746 ","36,288,046 ","1,592,321,954 ",43.9 
201304,제주특별자치도,제주시,산업용,"2,076 ","28,702,368 ","2,797,504,652 ",97.5 
201304,제주특별자치도,제주시,심 야,"5,331 ","11,259,789 ","579,075,415 ",51.4 
201304,제주특별자치도,제주시,일반용,"32,131 ","79,635,567 ","8,759,741,715 ",110 
201304,제주특별자치도,제주시,주택용,"150,532 ","41,814,901 ","5,307,102,155 ",126.9 
201304,제주특별자치도,제주시,합계,"214,100 ","206,440,435 ","19,962,276,442 ",96.7 
201305,제주특별자치도,서귀포시,가로등,"6,014 ","1,160,915 ","137,738,592 ",118.6 
201305,제주특별자치도,서귀포시,교육용,204 ,"2,187,009 ","259,719,156 ",118.8 
201305,제주특별자치도,서귀포시,농사용,"23,975 ","66,139,808 ","2,936,779,513 ",44.4 
201305,제주특별자치도,서귀포시,산업용,899 ,"9,906,678 ","1,120,768,949 ",113.1 
201305,제주특별자치도,서귀포시,심 야,"2,540 ","3,528,455 ","186,745,001 ",52.9 
201305,제주특별자치도,서귀포시,일반용,"12,537 ","30,472,867 ","3,429,892,211 ",112.6 
201305,제주특별자치도,서귀포시,주택용,"56,383 ","12,494,189 ","1,438,270,343 ",115.1 
201305,제주특별자치도,서귀포시,합계,"102,552 ","125,889,921 ","9,509,913,765 ",75.5 
201305,제주특별자치도,제주시,가로등,"9,904 ","2,161,266 ","257,707,902 ",119.2 
201305,제주특별자치도,제주시,교육용,447 ,"5,283,760 ","593,741,876 ",112.4 
201305,제주특별자치도,제주시,농사용,"13,850 ","33,944,076 ","1,504,466,100 ",44.3 
201305,제주특별자치도,제주시,산업용,"2,040 ","27,713,309 ","2,722,634,300 ",98.2 
201305,제주특별자치도,제주시,심 야,"5,323 ","7,320,302 ","381,227,650 ",52.1 
201305,제주특별자치도,제주시,일반용,"32,133 ","74,934,783 ","8,473,292,097 ",113.1 
201305,제주특별자치도,제주시,주택용,"151,075 ","37,842,774 ","4,309,640,533 ",113.9 
201305,제주특별자치도,제주시,합계,"214,772 ","189,200,270 ","18,242,710,458 ",96.4 
201306,제주특별자치도,서귀포시,가로등,"6,086 ","1,082,991 ","137,279,965 ",126.8 
201306,제주특별자치도,서귀포시,교육용,205 ,"2,246,288 ","263,567,855 ",117.3 
201306,제주특별자치도,서귀포시,농사용,"24,123 ","56,544,666 ","2,551,808,073 ",45.1 
201306,제주특별자치도,서귀포시,산업용,894 ,"10,161,854 ","1,127,118,710 ",110.9 
201306,제주특별자치도,서귀포시,심 야,"2,537 ","2,591,168 ","140,979,016 ",54.4 
201306,제주특별자치도,서귀포시,일반용,"12,603 ","31,678,295 ","3,514,081,479 ",110.9 
201306,제주특별자치도,서귀포시,주택용,"56,509 ","12,429,750 ","1,428,692,849 ",114.9 
201306,제주특별자치도,서귀포시,합계,"102,957 ","116,735,012 ","9,163,527,947 ",78.5 
201306,제주특별자치도,제주시,가로등,"9,977 ","2,022,071 ","254,355,220 ",125.8 
201306,제주특별자치도,제주시,교육용,444 ,"5,177,973 ","582,550,614 ",112.5 
201306,제주특별자치도,제주시,농사용,"13,941 ","33,556,895 ","1,493,400,293 ",44.5 
201306,제주특별자치도,제주시,산업용,"1,978 ","28,995,644 ","2,792,892,161 ",96.3 
201306,제주특별자치도,제주시,심 야,"5,313 ","4,448,559 ","236,318,830 ",53.1 
201306,제주특별자치도,제주시,일반용,"32,267 ","76,921,351 ","8,587,524,393 ",111.6 
201306,제주특별자치도,제주시,주택용,"151,508 ","37,293,267 ","4,175,108,675 ",112 
201306,제주특별자치도,제주시,합계,"215,428 ","188,415,760 ","18,122,150,186 ",96.2 
