계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,충청남도,전체(시 / 군 / 구),주택용,"655,980 ","233,228,374 ","30,907,965,148 ",132.5 
201301,충청남도,전체(시 / 군 / 구),일반용,"140,971 ","411,337,840 ","49,895,615,445 ",121.3 
201301,충청남도,전체(시 / 군 / 구),교육용,"1,638 ","53,598,227 ","5,807,221,462 ",108.3 
201301,충청남도,전체(시 / 군 / 구),산업용,"17,758 ","2,907,993,423 ","302,317,850,633 ",104.0 
201301,충청남도,전체(시 / 군 / 구),농사용,"149,021 ","172,052,280 ","7,556,149,744 ",43.9 
201301,충청남도,전체(시 / 군 / 구),가로등,"112,222 ","15,151,414 ","1,406,073,288 ",92.8 
201301,충청남도,전체(시 / 군 / 구),심 야,"96,608 ","318,213,927 ","21,800,078,268 ",68.5 
201302,충청남도,전체(시 / 군 / 구),주택용,"658,130 ","230,315,618 ","30,641,489,748 ",133.0 
201302,충청남도,전체(시 / 군 / 구),일반용,"141,264 ","386,631,122 ","49,006,733,873 ",126.8 
201302,충청남도,전체(시 / 군 / 구),교육용,"1,642 ","45,765,724 ","5,274,468,253 ",115.2 
201302,충청남도,전체(시 / 군 / 구),산업용,"17,776 ","2,474,100,582 ","269,905,284,511 ",109.1 
201302,충청남도,전체(시 / 군 / 구),농사용,"149,625 ","169,487,142 ","7,607,886,349 ",44.9 
201302,충청남도,전체(시 / 군 / 구),가로등,"112,455 ","13,799,403 ","1,441,588,393 ",104.5 
201302,충청남도,전체(시 / 군 / 구),심 야,"96,646 ","302,147,220 ","21,501,914,445 ",71.2 
201303,충청남도,전체(시 / 군 / 구),주택용,"658,869 ","199,254,978 ","23,102,525,519 ",115.9 
201303,충청남도,전체(시 / 군 / 구),일반용,"141,354 ","327,917,313 ","39,441,645,037 ",120.3 
201303,충청남도,전체(시 / 군 / 구),교육용,"1,642 ","41,456,326 ","4,323,094,538 ",104.3 
201303,충청남도,전체(시 / 군 / 구),산업용,"17,807 ","2,833,149,880 ","242,846,046,429 ",85.7 
201303,충청남도,전체(시 / 군 / 구),농사용,"253,411 ","159,474,812 ","7,235,370,481 ",45.4 
