계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,충청북도,전체(시 / 군 / 구),주택용,"520,597 ","183,707,617 ","24,637,479,010 ",134.1 
201301,충청북도,전체(시 / 군 / 구),일반용,"103,066 ","301,496,300 ","36,794,873,715 ",122.0 
201301,충청북도,전체(시 / 군 / 구),교육용,"1,242 ","36,452,810 ","3,849,366,322 ",105.6 
201301,충청북도,전체(시 / 군 / 구),산업용,"13,938 ","1,160,388,891 ","127,888,956,035 ",110.2 
201301,충청북도,전체(시 / 군 / 구),농사용,"105,009 ","60,579,590 ","2,720,864,801 ",44.9 
201301,충청북도,전체(시 / 군 / 구),가로등,"81,201 ","13,478,200 ","1,249,758,531 ",92.7 
201301,충청북도,전체(시 / 군 / 구),심 야,"94,280 ","274,089,941 ","18,541,567,715 ",67.6 
201302,충청북도,전체(시 / 군 / 구),주택용,"521,435 ","179,987,375 ","23,986,791,096 ",133.3 
201302,충청북도,전체(시 / 군 / 구),일반용,"103,289 ","281,452,894 ","35,990,537,441 ",127.9 
201302,충청북도,전체(시 / 군 / 구),교육용,"1,249 ","33,939,936 ","3,795,658,514 ",111.8 
201302,충청북도,전체(시 / 군 / 구),산업용,"13,941 ","1,057,321,879 ","120,324,589,033 ",113.8 
201302,충청북도,전체(시 / 군 / 구),농사용,"104,911 ","58,876,412 ","2,677,481,667 ",45.5 
201302,충청북도,전체(시 / 군 / 구),가로등,"81,381 ","12,532,293 ","1,319,195,801 ",105.3 
201302,충청북도,전체(시 / 군 / 구),심 야,"94,263 ","254,381,181 ","17,870,418,280 ",70.3 
201303,충청북도,전체(시 / 군 / 구),주택용,"521,718 ","155,430,968 ","17,991,349,362 ",115.8 
201303,충청북도,전체(시 / 군 / 구),일반용,"103,425 ","235,060,410 ","28,785,789,591 ",122.5 
201303,충청북도,전체(시 / 군 / 구),교육용,"1,253 ","28,989,267 ","3,065,792,647 ",105.8 
201303,충청북도,전체(시 / 군 / 구),산업용,"13,933 ","1,156,173,925 ","105,932,338,857 ",91.6 
201303,충청북도,전체(시 / 군 / 구),농사용,"140,359 ","49,828,917 ","2,364,785,440 ",47.5 
