계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,강원도,전체(시 / 군 / 구),주택용,"515,059 ","152,377,626 ","17,200,610,907 ",112.9 
201307,강원도,전체(시 / 군 / 구),일반용,"127,627 ","304,667,864 ","39,177,151,582 ",128.6 
201307,강원도,전체(시 / 군 / 구),교육용,"1,507 ","20,950,006 ","2,723,983,570 ",130.0 
201307,강원도,전체(시 / 군 / 구),산업용,"11,659 ","565,264,620 ","60,224,954,727 ",106.5 
201307,강원도,전체(시 / 군 / 구),농사용,"74,529 ","33,188,400 ","1,660,241,909 ",50.0 
201307,강원도,전체(시 / 군 / 구),가로등,"92,597 ","11,881,240 ","1,387,579,449 ",116.8 
201307,강원도,전체(시 / 군 / 구),심 야,"95,981 ","47,117,174 ","2,474,427,439 ",52.5 
201308,강원도,전체(시 / 군 / 구),주택용,"516,208 ","175,192,312 ","22,895,592,671 ",130.7 
201308,강원도,전체(시 / 군 / 구),일반용,"128,091 ","352,177,227 ","48,654,272,413 ",138.2 
201308,강원도,전체(시 / 군 / 구),교육용,"1,505 ","20,206,551 ","2,990,795,459 ",148.0 
201308,강원도,전체(시 / 군 / 구),산업용,"11,674 ","548,367,685 ","58,070,735,454 ",105.9 
201308,강원도,전체(시 / 군 / 구),농사용,"75,636 ","41,561,149 ","2,003,560,056 ",48.2 
201308,강원도,전체(시 / 군 / 구),가로등,"93,173 ","12,392,278 ","1,391,871,740 ",112.3 
201308,강원도,전체(시 / 군 / 구),심 야,"95,909 ","42,167,159 ","2,236,625,830 ",53.0 
201309,강원도,전체(시 / 군 / 구),주택용,"517,424 ","164,632,271 ","20,025,731,670 ",121.6 
201309,강원도,전체(시 / 군 / 구),일반용,"128,466 ","307,007,369 ","39,063,457,643 ",127.2 
201309,강원도,전체(시 / 군 / 구),교육용,"1,504 ","20,493,259 ","2,717,203,472 ",132.6 
201309,강원도,전체(시 / 군 / 구),산업용,"11,737 ","565,758,684 ","50,142,322,223 ",88.6 
201309,강원도,전체(시 / 군 / 구),농사용,"76,540 ","47,364,349 ","2,248,962,512 ",47.5 
201309,강원도,전체(시 / 군 / 구),가로등,"93,698 ","13,235,519 ","1,440,424,597 ",108.8 
201309,강원도,전체(시 / 군 / 구),심 야,"95,854 ","44,719,861 ","2,346,583,790 ",52.5 
201310,강원도,전체(시 / 군 / 구),주택용,"518,225 ","150,688,390 ","16,735,251,566 ",111.1 
201310,강원도,전체(시 / 군 / 구),일반용,"128,468 ","267,079,147 ","30,794,770,220 ",115.3 
201310,강원도,전체(시 / 군 / 구),교육용,"1,505 ","17,736,106 ","2,164,423,550 ",122.0 
201310,강원도,전체(시 / 군 / 구),산업용,"11,760 ","586,656,580 ","51,101,983,429 ",87.1 
201310,강원도,전체(시 / 군 / 구),농사용,"76,787 ","41,685,062 ","2,050,396,828 ",49.2 
201310,강원도,전체(시 / 군 / 구),가로등,"93,762 ","14,044,204 ","1,456,551,124 ",103.7 
201310,강원도,전체(시 / 군 / 구),심 야,"95,849 ","80,436,673 ","4,191,569,662 ",52.1 
201311,강원도,전체(시 / 군 / 구),주택용,"519,262 ","161,959,579 ","19,179,837,607 ",118.4 
201311,강원도,전체(시 / 군 / 구),일반용,"129,006 ","311,636,527 ","38,721,356,456 ",124.3 
201311,강원도,전체(시 / 군 / 구),교육용,"1,501 ","23,799,143 ","2,816,676,843 ",118.4 
201311,강원도,전체(시 / 군 / 구),산업용,"11,795 ","590,577,713 ","64,445,549,971 ",109.1 
201311,강원도,전체(시 / 군 / 구),농사용,"98,639 ","51,150,979 ","2,250,311,340 ",44.0 
201311,강원도,전체(시 / 군 / 구),가로등,"93,867 ","15,226,205 ","1,545,334,722 ",101.5 
201311,강원도,전체(시 / 군 / 구),심 야,"95,878 ","165,119,373 ","9,928,327,764 ",60.1 
201312,강원도,전체(시 / 군 / 구),주택용,"520,962 ","167,900,621 ","20,982,395,747 ",125.0 
201312,강원도,전체(시 / 군 / 구),일반용,"129,722 ","365,650,215 ","48,110,643,859 ",131.6 
201312,강원도,전체(시 / 군 / 구),교육용,"1,045 ","33,949,580 ","3,808,278,870 ",112.2 
201312,강원도,전체(시 / 군 / 구),산업용,"11,872 ","603,102,513 ","67,208,842,432 ",111.4 
201312,강원도,전체(시 / 군 / 구),농사용,"76,852 ","40,392,285 ","2,021,433,266 ",50.0 
201312,강원도,전체(시 / 군 / 구),가로등,"94,099 ","15,507,432 ","1,596,816,481 ",103.0 
201312,강원도,전체(시 / 군 / 구),심 야,"95,911 ","257,411,094 ","19,074,483,111 ",74.1 
합계,합계,합계,합계,"5,573,145","7,452,432,024","791,262,323,961",106.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,강원도,강릉시,가로등,"10,870 ","1,584,341 ","185,868,396 ",117.3 
201307,강원도,강릉시,교육용,217 ,"2,979,524 ","392,242,864 ",131.6 
201307,강원도,강릉시,농사용,"3,999 ","3,238,112 ","153,776,789 ",47.5 
201307,강원도,강릉시,산업용,"1,086 ","72,236,850 ","7,712,219,018 ",106.8 
201307,강원도,강릉시,심 야,"9,510 ","4,535,369 ","240,508,161 ",53 
201307,강원도,강릉시,일반용,"16,891 ","37,157,378 ","4,709,980,361 ",126.8 
201307,강원도,강릉시,주택용,"75,952 ","21,810,935 ","2,460,478,367 ",112.8 
201307,강원도,강릉시,합계,"118,525 ","143,542,509 ","15,855,073,956 ",110.5 
201307,강원도,고성군,가로등,"2,848 ","335,821 ","41,549,682 ",123.7 
201307,강원도,고성군,교육용,45 ,"523,114 ","73,560,142 ",140.6 
201307,강원도,고성군,농사용,"2,618 ","1,102,021 ","55,620,053 ",50.5 
201307,강원도,고성군,산업용,437 ,"4,010,232 ","469,155,260 ",117 
201307,강원도,고성군,심 야,"2,887 ","1,866,542 ","93,729,106 ",50.2 
201307,강원도,고성군,일반용,"3,389 ","9,294,739 ","1,167,795,172 ",125.6 
201307,강원도,고성군,주택용,"13,399 ","2,631,782 ","291,994,293 ",110.9 
201307,강원도,고성군,합계,"25,623 ","19,764,251 ","2,193,403,708 ",111 
201307,강원도,동해시,가로등,"4,173 ","521,305 ","60,956,564 ",116.9 
201307,강원도,동해시,교육용,88 ,"673,450 ","96,046,569 ",142.6 
201307,강원도,동해시,농사용,"1,008 ","187,535 ","10,787,749 ",57.5 
